Unnamed: 0,NAME,PAGE,IMG_URL,LOGP,PKA,MW,FORM,SOL,DESC
101,Amifostine,https://www.drugbank.ca/drugs/DB01143,https://www.drugbank.ca/structures/DB01143/thumb.svg,-1.9,2.06,214.223,C5H15N2O3PS,18.7,A phosphorothioate proposed as a radiation-protective agent. It causes splenic vasodilation and may block autonomic ganglia. [PubChem]
102,Diclofenamide,https://www.drugbank.ca/drugs/DB01144,https://www.drugbank.ca/structures/DB01144/thumb.svg,0.2,7.94,305.159,C6H6Cl2N2O4S2,0.398,A carbonic anhydrase inhibitor that is used in the treatment of glaucoma. [PubChem]
103,Sulfoxone,https://www.drugbank.ca/drugs/DB01145,https://www.drugbank.ca/structures/DB01145/thumb.svg,-2.8,-1.5,404.482,C14H16N2O6S3,2.63,Sulfoxone is a water-soluble sulfone used as an antileprosy drug. It has been used with limited success in the treatment of dermatitis herpetiformis.
104,Cloxacillin,https://www.drugbank.ca/drugs/DB01147,https://www.drugbank.ca/structures/DB01147/thumb.svg,2.48,3.75,435.881,C19H18ClN3O5S,0.0532,A semi-synthetic antibiotic that is a chlorinated derivative of oxacillin. [PubChem]
105,Cefprozil,https://www.drugbank.ca/drugs/DB01150,https://www.drugbank.ca/structures/DB01150/thumb.svg,0.6,3.53,389.426,C18H19N3O5S,0.149,"Cefprozil is a cephalosporin antibiotic. It can be used to treat bronchitis, ear infections, skin infections, and other bacterial infections."
106,Candicidin,https://www.drugbank.ca/drugs/DB01152,https://www.drugbank.ca/structures/DB01152/thumb.svg,1.7,3.68,1109.3009,C59H84N2O18,0.00934,Candicidin is an antibiotic obtained from a streptomyces (Streptomyces griseus) and active against some fungi of the genus Candida (C. albicans). Candicidin is administered intravaginally in the treatment of vulvovaginal candidiasis.
107,Thiamylal,https://www.drugbank.ca/drugs/DB01154,https://www.drugbank.ca/structures/DB01154/thumb.svg,3.23,7.2,254.349,C12H18N2O2S,0.0506,"A barbiturate that is administered intravenously for the production of complete anesthesia of short duration, for the induction of general anesthesia, or for inducing a hypnotic state. (From Martindale, The Extra Pharmacopoeia, 30th ed, p919)"
108,Gemifloxacin,https://www.drugbank.ca/drugs/DB01155,https://www.drugbank.ca/structures/DB01155/thumb.svg,2.3,5.53,389.3809,C18H20FN5O4,0.21,"Gemifloxacin is an oral broad-spectrum quinolone antibacterial agent used in the treatment of acute bacterial exacerbation of chronic bronchitis and mild-to-moderate pneumonia. Gemifloxacin acts by inhibiting DNA synthesis through the inhibition of both DNA gyrase and topoisomerase IV, which are essential for bacterial growth."
109,Bupropion,https://www.drugbank.ca/drugs/DB01156,https://www.drugbank.ca/structures/DB01156/thumb.svg,3.6,18.29,239.741,C13H18ClNO,0.0693,"A unicyclic, aminoketone antidepressant. The mechanism of its therapeutic actions is not well understood, but it does appear to block dopamine uptake. The hydrochloride is available as an aid to smoking cessation treatment. [PubChem]"
110,Trimetrexate,https://www.drugbank.ca/drugs/DB01157,https://www.drugbank.ca/structures/DB01157/thumb.svg,2.55,17.04,369.4176,C19H23N5O3,0.0309,A nonclassical folic acid inhibitor through its inhibition of the enzyme dihydrofolate reductase. It is being tested for efficacy as an antineoplastic agent and as an antiparasitic agent against pneumocystis pneumonia in AIDS patients. Myelosuppression is its dose-limiting toxic effect. [PubChem]
111,Bretylium,https://www.drugbank.ca/drugs/DB01158,https://www.drugbank.ca/structures/DB01158/thumb.svg,-1.4,17.58,243.163,C11H17BrN,0.000154,"Bretylium blocks the release of noradrenaline from the peripheral sympathetic nervous system, and is used in emergency medicine, cardiology, and other specialties for the acute management of ventricular tachycardia and ventricular fibrillation. The primary mode of action for bretylium is thought to be inhibition of voltage-gated K(+) channels. Recent evidence has shown that bretylium may also inhibit the Na,K-ATPase by binding to the extracellular K-site."
112,Terazosin,https://www.drugbank.ca/drugs/DB01162,https://www.drugbank.ca/structures/DB01162/thumb.svg,1.0,19.93,387.4329,C19H25N5O4,1.5,"Terazosin is a selective alpha1-antagonist used for treatment of symptoms of benign prostatic hyperplasia (BPH). It also acts to lower blood pressure, so it is a drug of choice for men with hypertension and prostate enlargement. It works by blocking the action of adrenaline on smooth muscle of the bladder and the blood vessel walls."
113,Amdinocillin,https://www.drugbank.ca/drugs/DB01163,https://www.drugbank.ca/structures/DB01163/thumb.svg,1.3,3.3,325.426,C15H23N3O3S,0.979,Amidinopenicillanic acid derivative with broad spectrum antibacterial action. It is poorly absorbed if given orally and is used in urinary infections and typhus. Amdinocillin is not available in the United States.
114,Ofloxacin,https://www.drugbank.ca/drugs/DB01165,https://www.drugbank.ca/structures/DB01165/thumb.svg,-0.39,5.45,361.3675,C18H20FN3O4,1.44,"A synthetic fluoroquinolone (fluoroquinolones) antibacterial agent that inhibits the supercoiling activity of bacterial DNA gyrase, halting DNA replication. [PubChem]"
115,Cilostazol,https://www.drugbank.ca/drugs/DB01166,https://www.drugbank.ca/structures/DB01166/thumb.svg,2.3,14.42,369.4607,C20H27N5O2,0.0324,"Cilostazol is a medication used in the alleviation of the symptom of intermittent claudication in individuals with peripheral vascular disease. It is manufactured by Otsuka Pharmaceutical Co. under the trade name Pletal. Although drugs similar to cilostazol have increased the risk of death in patients with congestive heart failure, studies of significant size have not addressed people without the disease. [Wikipedia]"
116,Procarbazine,https://www.drugbank.ca/drugs/DB01168,https://www.drugbank.ca/structures/DB01168/thumb.svg,0.06,15.03,221.2988,C12H19N3O,0.228,"An antineoplastic agent used primarily in combination with mechlorethamine, vincristine, and prednisone (the MOPP protocol) in the treatment of Hodgkin's disease."
117,Moclobemide,https://www.drugbank.ca/drugs/DB01171,https://www.drugbank.ca/structures/DB01171/thumb.svg,1.5,14.73,268.739,C13H17ClN2O2,1.12,A reversible monoamine oxidase inhibitor (MAOI) selective for isoform A (RIMA) used to treat major depressive disorder.
118,Kanamycin,https://www.drugbank.ca/drugs/DB01172,https://www.drugbank.ca/structures/DB01172/thumb.svg,-6.3,12.11,484.4986,C18H36N4O11,92.3,"Kanamycin (also known as kanamycin A) is an aminoglycoside bacteriocidal antibiotic, available in oral, intravenous, and intramuscular forms, and used to treat a wide variety of infections. Kanamycin is isolated from the bacterium Streptomyces kanamyceticus and its most commonly used form is kanamycin sulfate."
119,Phenobarbital,https://www.drugbank.ca/drugs/DB01174,https://www.drugbank.ca/structures/DB01174/thumb.svg,1.47,8.14,232.2353,C12H12N2O3,0.276,"A barbituric acid derivative that acts as a nonselective central nervous system depressant. It promotes binding to inhibitory gamma-aminobutyric acid subtype receptors, and modulates chloride currents through receptor channels. It also inhibits glutamate induced depolarizations. [PubChem]"
120,Idarubicin,https://www.drugbank.ca/drugs/DB01177,https://www.drugbank.ca/structures/DB01177/thumb.svg,0.2,9.55,497.4939,C26H27NO9,0.772,"An orally administered anthracycline antineoplastic. The compound has shown activity against breast cancer, lymphomas and leukemias, together with the potential for reduced cardiac toxicity. [PubChem]"
121,Chlormezanone,https://www.drugbank.ca/drugs/DB01178,https://www.drugbank.ca/structures/DB01178/thumb.svg,1.3,19.07,273.736,C11H12ClNO3S,1.61,A non-benzodiazepine that is used in the management of anxiety. It has been suggested for use in the treatment of muscle spasm. [PubChem]
122,Podofilox,https://www.drugbank.ca/drugs/DB01179,https://www.drugbank.ca/structures/DB01179/thumb.svg,1.5,14.02,414.4053,C22H22O8,0.114,"A lignan (lignans) found in podophyllin resin from the roots of podophyllum plants. It is a potent spindle poison, toxic if taken internally, and has been used as a cathartic. It is very irritating to skin and mucous membranes, has keratolytic actions, has been used to treat warts and keratoses, and may have antineoplastic properties, as do some of its congeners and derivatives. [PubChem]"
123,Rescinnamine,https://www.drugbank.ca/drugs/DB01180,https://www.drugbank.ca/structures/DB01180/thumb.svg,3.5,16.29,634.716,C35H42N2O9,0.00349,Rescinnamine is an angiotensin-converting enzyme inhibitor used as an antihypertensive drug. It is an alkaloid obtained fromRauwolfia serpentinaand other species ofRauwolfia. [Wikipedia]
124,Ifosfamide,https://www.drugbank.ca/drugs/DB01181,https://www.drugbank.ca/structures/DB01181/thumb.svg,0.86,13.24,261.086,C7H15Cl2N2O2P,15.0,Ifosfamide is a chemotherapeutic agent chemically related to the nitrogen mustards and a synthetic analog of cyclophosphamide. It is active as an alkylating agent and an immunosuppresive agent.
125,Propafenone,https://www.drugbank.ca/drugs/DB01182,https://www.drugbank.ca/structures/DB01182/thumb.svg,3.2,14.09,341.444,C21H27NO3,0.00758,An antiarrhythmia agent that is particularly effective in ventricular arrhythmias. It also has weak beta-blocking activity. The drug is generally well tolerated. [PubChem]
126,Naloxone,https://www.drugbank.ca/drugs/DB01183,https://www.drugbank.ca/structures/DB01183/thumb.svg,2.09,7.27,327.3743,C19H21NO4,5.64,"A specific opiate antagonist that has no agonist activity. It is a competitive antagonist at mu, delta, and kappa opioid receptors."
127,Domperidone,https://www.drugbank.ca/drugs/DB01184,https://www.drugbank.ca/structures/DB01184/thumb.svg,3.9,12.52,425.911,C22H24ClN5O2,0.0925,"A specific blocker of dopamine receptors. It speeds gastrointestinal peristalsis, causes prolactin release, and is used as antiemetic and tool in the study of dopaminergic mechanisms. [PubChem]"
128,Fluoxymesterone,https://www.drugbank.ca/drugs/DB01185,https://www.drugbank.ca/structures/DB01185/thumb.svg,2.38,13.6,336.4409,C20H29FO3,0.0452,"An anabolic steroid that has been used in the treatment of male hypogonadism, delayed puberty in males, and in the treatment of breast neoplasms in women. [PubChem]"
129,Pergolide,https://www.drugbank.ca/drugs/DB01186,https://www.drugbank.ca/structures/DB01186/thumb.svg,4.0,17.35,314.488,C19H26N2S,0.000584,"Pergolide is a long-acting dopamine agonist approved in 1982 for the treatment of Parkinson’s Disease. It is an ergot derivative that acts on the dopamine D2 and D3, alpha2- and alpha1-adrenergic, and 5-hydroxytryptamine (5-HT) receptors. It was indicated as adjunct therapy with levodopa/carbidopa in the symptomatic treatment of parkinsonian syndrome. It was later found that pergolide increased the risk of cardiac valvulopathy. The drug was withdrawn from the US market in March 2007 and from the Canadian market in August 2007."
130,Ciclopirox,https://www.drugbank.ca/drugs/DB01188,https://www.drugbank.ca/structures/DB01188/thumb.svg,2.3,6.84,207.2689,C12H17NO2,1.41,"Ciclopirox olamine (used in preparations called Batrafen, Loprox, Mycoster, Penlac and Stieprox) is a synthetic antifungal agent for topical dermatologic treatment of superficial mycoses. It is most useful against Tinea versicolor. [Wikipedia]"
131,Desflurane,https://www.drugbank.ca/drugs/DB01189,https://www.drugbank.ca/structures/DB01189/thumb.svg,1.9,18.87,168.0378,C3H2F6O,3.54,"Desflurane is a highly fluorinated methyl ethyl ether used for maintenance of general anaesthesia. Volatile agents such as desflurane may activate GABA channels and hyperpolarize cell membranes. In addition, they may inhibit certain calcium channels and therefore prevent release of neurotransmitters and inhibit glutamate channels. Volatile anesthetics easily partition into cellular membranes and could expand the volume of the cell membrane and subsequently distort channels necessary for sodium ion flux and the development of action potentials necessary for synaptic transmission. Desflurane preconditions human myocardium against ischemia through activation of mitochondrial K(ATP) channels, adenosine A1 receptor, and alpha and beta adrenoceptors."
132,Clindamycin,https://www.drugbank.ca/drugs/DB01190,https://www.drugbank.ca/structures/DB01190/thumb.svg,2.16,12.16,424.983,C18H33ClN2O5S,3.1,Clindamycin is a semisynthetic lincosamide antibiotic that has largely replaced lincomycin due to an improved side effect profile. Clindamycin inhibits bacterial protein synthesis by binding to bacterial 50S ribosomal subunits. It may be bacteriostatic or bactericidal depending on the organism and drug concentration.
133,Oxymorphone,https://www.drugbank.ca/drugs/DB01192,https://www.drugbank.ca/structures/DB01192/thumb.svg,0.83,7.34,301.3371,C17H19NO4,25.6,"An opioid analgesic with actions and uses similar to those of morphine, apart from an absence of cough suppressant activity. It is used in the treatment of moderate to severe pain, including pain in obstetrics. It may also be used as an adjunct to anesthesia. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1092)"
134,Acebutolol,https://www.drugbank.ca/drugs/DB01193,https://www.drugbank.ca/structures/DB01193/thumb.svg,1.71,13.91,336.4259,C18H28N2O4,0.172,A cardioselective beta-adrenergic antagonist with little effect on the bronchial receptors. The drug has stabilizing and quinidine-like effects on cardiac rhythm as well as weak inherent sympathomimetic action. [PubChem]
135,Brinzolamide,https://www.drugbank.ca/drugs/DB01194,https://www.drugbank.ca/structures/DB01194/thumb.svg,-1.8,8.19,383.507,C12H21N3O5S3,0.713,"Brinzolamide is a highly specific, non-competitive, reversible carbonic anhydrase inhibitor. Carbonic anhydrase (CA) is an enzyme found in many tissues of the body including the eye. It catalyzes the reversible reaction involving the hydration of carbon dioxide and the dehydration of carbonic acid. In humans, carbonic anhydrase exists as a number of isoenzymes, the most active being carbonic anhydrase II (CA-II). Inhibition of carbonic anhydrase in the ciliary processes of the eye decreases aqueous humor secretion, presumably by slowing the formation of bicarbonate ions with subsequent reduction in sodium and fluid transport. The result is a reduction in intraocular pressure. Brinzolamide is indicated in the treatment of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma."
136,Flecainide,https://www.drugbank.ca/drugs/DB01195,https://www.drugbank.ca/structures/DB01195/thumb.svg,3.78,13.68,414.3427,C17H20F6N2O3,0.0324,"A potent anti-arrhythmia agent, effective in a wide range of ventricular and atrial arrhythmias and tachycardias. Paradoxically, however, in myocardial infarct patients with either symptomatic or asymptomatic arrhythmia, flecainide exacerbates the arrhythmia and is not recommended for use in these patients. [PubChem]"
137,Estramustine,https://www.drugbank.ca/drugs/DB01196,https://www.drugbank.ca/structures/DB01196/thumb.svg,5.7,19.38,440.403,C23H31Cl2NO3,0.000385,"A nitrogen mustard linked to estradiol, usually as phosphate; used to treat prostatic neoplasms; also has radiation protective properties. [PubChem]"
138,Captopril,https://www.drugbank.ca/drugs/DB01197,https://www.drugbank.ca/structures/DB01197/thumb.svg,0.34,4.02,217.285,C9H15NO3S,4.52,"Captopril is a potent, competitive inhibitor of angiotensin-converting enzyme (ACE), the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Captopril may be used in the treatment of hypertension."
139,Zopiclone,https://www.drugbank.ca/drugs/DB01198,https://www.drugbank.ca/structures/DB01198/thumb.svg,0.8,13.04,388.808,C17H17ClN6O3,0.885,Zopiclone is a novel hypnotic agent used in the treatment of insomnia. Its mechanism of action is based on modulating benzodiazepine receptors. In addition to zopiclone's benzodiazepine pharmacological properties it also has some barbiturate like properties.
140,Tubocurarine,https://www.drugbank.ca/drugs/DB01199,https://www.drugbank.ca/structures/DB01199/thumb.svg,3.12,6.45,609.7312,C37H41N2O6,0.000323,A neuromuscular blocker and active ingredient in curare; plant based alkaloid of Menispermaceae. [PubChem]
141,Bromocriptine,https://www.drugbank.ca/drugs/DB01200,https://www.drugbank.ca/structures/DB01200/thumb.svg,3.5,9.68,654.595,C32H40BrN5O5,0.0858,Bromocriptine mesylate is a semisynthetic ergot alkaloid derivative with potent dopaminergic activity. It is indicated for the management of signs and symptoms of Parkinsonian Syndrome. Bromocriptine also inhibits prolactin secretion and may be used to treat dysfunctions associated with hyperprolactinemia. It also causes sustained suppression of somatotropin (growth hormone) secretion in some patients with acromegaly. Bromocriptine has been associated with pulmonary fibrosis.
142,Rifapentine,https://www.drugbank.ca/drugs/DB01201,https://www.drugbank.ca/structures/DB01201/thumb.svg,4.0,7.01,877.0307,C47H64N4O12,0.0213,"Rifapentine is an antibiotic drug used in the treatment of tuberculosis. It inhibits DNA-dependent RNA polymerase activity in susceptible cells. Specifically, it interacts with bacterial RNA polymerase but does not inhibit the mammalian enzyme."
143,Levetiracetam,https://www.drugbank.ca/drugs/DB01202,https://www.drugbank.ca/structures/DB01202/thumb.svg,-0.6,16.09,170.212,C8H14N2O2,298.0,"Levetiracetam is an anticonvulsant medication used to treat epilepsy. Levetiracetam may selectively prevent hypersynchronization of epileptiform burst firing and propagation of seizure activity. Levetiracetam binds to the synaptic vesicle protein SV2A, which is thought to be involved in the regulation of vesicle exocytosis. Although the molecular significance of levetiracetam binding to synaptic vesicle protein SV2A is not understood, levetiracetam and related analogs showed a rank order of affinity for SV2A which correlated with the potency of their antiseizure activity in audiogenic seizure-prone mice."
144,Nadolol,https://www.drugbank.ca/drugs/DB01203,https://www.drugbank.ca/structures/DB01203/thumb.svg,0.81,13.59,309.4006,C17H27NO4,2.25,"A non-selective beta-adrenergic antagonist with a long half-life, used in cardiovascular disease to treat arrhythmias, angina pectoris, and hypertension. Nadolol is also used for migraine disorders and for tremor. [PubChem]"
145,Mitoxantrone,https://www.drugbank.ca/drugs/DB01204,https://www.drugbank.ca/structures/DB01204/thumb.svg,-3.1,9.78,444.4809,C22H28N4O6,0.734,An anthracenedione-derived antineoplastic agent. [PubChem]
146,Lomustine,https://www.drugbank.ca/drugs/DB01206,https://www.drugbank.ca/structures/DB01206/thumb.svg,2.83,13.3,233.695,C9H16ClN3O2,0.755,An alkylating agent of value against both hematologic malignancies and solid tumors. [PubChem]
147,Ridogrel,https://www.drugbank.ca/drugs/DB01207,https://www.drugbank.ca/structures/DB01207/thumb.svg,4.3,3.5,366.3344,C18H17F3N2O3,0.00839,"Ridogrel is a dual action drug useful for the prevention of systemic thrombo-embolism and as an adjunctive agent to thrombolytic therapy in acute myocardial infarction. However, there currently are no clinical indications for preferential use of ridogrel over aspirin."
148,Sparfloxacin,https://www.drugbank.ca/drugs/DB01208,https://www.drugbank.ca/structures/DB01208/thumb.svg,2.5,5.75,392.3998,C19H22F2N4O3,0.113,"Sparfloxacin is a fluoroquinolone antibiotic used in the treatment of bacterial infections. Sparfloxacin exerts its antibacterial activity by inhibiting DNA gyrase, a bacterial topoisomerase. DNA gyrase is an essential enzyme which controls DNA topology and assists in DNA replication, repair, deactivation, and transcription."
149,Dezocine,https://www.drugbank.ca/drugs/DB01209,https://www.drugbank.ca/structures/DB01209/thumb.svg,3.3,10.43,245.3599,C16H23NO,0.014,"Dezocine is a partial opiate drug and is used for pain management. Dezocine is a very effective alternative to fentanyl when administered during outpatient laparoscopy, although is associated with an increased incidence of postoperative nausea."
150,Levobunolol,https://www.drugbank.ca/drugs/DB01210,https://www.drugbank.ca/structures/DB01210/thumb.svg,2.4,14.09,291.3853,C17H25NO3,0.251,A nonselective beta-adrenoceptor antagonist used in the treatment of glaucoma. [PubChem]
151,Clarithromycin,https://www.drugbank.ca/drugs/DB01211,https://www.drugbank.ca/structures/DB01211/thumb.svg,3.16,12.46,747.9534,C38H69NO13,0.217,"Clarithromycin, a semisynthetic macrolide antibiotic derived from erythromycin, inhibits bacterial protein synthesis by binding to the bacterial 50S ribosomal subunit. Binding inhibits peptidyl transferase activity and interferes with amino acid translocation during the translation and protein assembly process. Clarithromycin may be bacteriostatic or bactericidal depending on the organism and drug concentration."
152,Ceftriaxone,https://www.drugbank.ca/drugs/DB01212,https://www.drugbank.ca/structures/DB01212/thumb.svg,-1.7,3.19,554.58,C18H18N8O7S3,0.105,"A broad-spectrum cephalosporin antibiotic with a very long half-life and high penetrability to meninges, eyes and inner ears. [PubChem]"
153,Fomepizole,https://www.drugbank.ca/drugs/DB01213,https://www.drugbank.ca/structures/DB01213/thumb.svg,0.9,15.82,82.1038,C4H6N2,559.0,"Fomepizole is used as an antidote in confirmed or suspected methanol or ethylene glycol poisoning. Fomepizole is a competitive inhibitor of alcohol dehydrogenase, the enzyme that catalyzes the initial steps in the metabolism of ethylene glycol and methanol to their toxic metabolites."
154,Metipranolol,https://www.drugbank.ca/drugs/DB01214,https://www.drugbank.ca/structures/DB01214/thumb.svg,2.66,14.09,309.4006,C17H27NO4,0.173,"A beta-adrenergic antagonist effective for both beta-1 and beta-2 receptors. It is used as an antiarrhythmic, antihypertensive, and antiglaucoma agent. [PubChem]"
155,Estazolam,https://www.drugbank.ca/drugs/DB01215,https://www.drugbank.ca/structures/DB01215/thumb.svg,4.7,18.4,294.738,C16H11ClN4,0.0423,"A benzodiazepine with anticonvulsant, hypnotic, and muscle relaxant properties. It has been shown in some cases to be more potent than diazepam or nitrazepam. [PubChem]"
156,Finasteride,https://www.drugbank.ca/drugs/DB01216,https://www.drugbank.ca/structures/DB01216/thumb.svg,3.03,14.53,372.5441,C23H36N2O2,0.00198,An orally active testosterone 5-alpha-reductase inhibitor. It is used as a surgical alternative for treatment of benign prostatic hyperplasia. [PubChem]
157,Halofantrine,https://www.drugbank.ca/drugs/DB01218,https://www.drugbank.ca/structures/DB01218/thumb.svg,8.9,14.47,500.424,C26H30Cl2F3NO,0.000111,"Halofantrine is a drug used to treat malaria. It belongs to the phenanthrene class of compounds that includes quinine and lumefantrine. It appears to inhibit polymerisation of heme molecules (by the parasite enzyme ""heme polymerase""), resulting in the parasite being poisoned by its own waste. Halofantrine has been shown to preferentially block open and inactivated HERG channels leading to some degree of cardiotoxicity."
158,Dantrolene,https://www.drugbank.ca/drugs/DB01219,https://www.drugbank.ca/structures/DB01219/thumb.svg,1.7,9.23,314.253,C14H10N4O5,0.0805,"Chemically, dantrolene is a hydantoin derivative, but does not exhibit antiepileptic activity like other hydantoin derivates such as phenytoin."
159,Rifaximin,https://www.drugbank.ca/drugs/DB01220,https://www.drugbank.ca/structures/DB01220/thumb.svg,2.6,3.66,785.8785,C43H51N3O11,0.00738,"Rifaximin is a semisynthetic, rifamycin-based non-systemic antibiotic, meaning that the drug will not pass the gastrointestinal wall into the circulation as is common for other types of orally administered antibiotics. It has multiple indications and is used in treatment of traveller's diarrhea caused by E. coli; reduction in risk of overt hepatic encephalopathy recurrence; as well as diarrhea-predominant irritable bowel syndrome (IBS-D) in adult women and men. It is marketed under the brand name Xifaxan by Salix Pharmaceuticals."
160,Ketamine,https://www.drugbank.ca/drugs/DB01221,https://www.drugbank.ca/structures/DB01221/thumb.svg,2.9,18.78,237.725,C13H16ClNO,0.0464,"A cyclohexanone derivative used for induction of anesthesia. Its mechanism of action is not well understood, but ketamine can block NMDA receptors (receptors, N-methyl-D-aspartate) and may interact with sigma receptors."
161,Budesonide,https://www.drugbank.ca/drugs/DB01222,https://www.drugbank.ca/structures/DB01222/thumb.svg,1.9,13.74,430.5339,C25H34O6,0.0457,"Budesonide is a glucocorticoid used in the management of asthma, the treatment of various skin disorders, and allergic rhinitis. [PubChem] The extended release oral tablet, marketed as Uceris, was FDA approved on January 14, 2013 for the management of ulcerative colitis. Budesonide is provided as a mixture of two epimers (22R and 22S). Interestingly, the 22R form is two times more active than the 22S epimer. The two forms do not interconvert."
162,Quetiapine,https://www.drugbank.ca/drugs/DB01224,https://www.drugbank.ca/structures/DB01224/thumb.svg,2.8,15.12,383.507,C21H25N3O2S,0.0403,"Quetiapine is indicated for the treatment of schizophrenia as well as for the treatment of acute manic episodes associated with bipolar I disorder. The antipsychotic effect of quetiapine is thought by some to be mediated through antagonist activity at dopamine and serotonin receptors. Specifically the D1 and D2 dopamine, the alpha 1 adrenoreceptor and alpha 2 adrenoreceptor, and 5-HT1A and 5-HT2 serotonin receptor subtypes are antagonized. Quetiapine also has an antagonistic effect on the histamine H1 receptor."
163,Mivacurium,https://www.drugbank.ca/drugs/DB01226,https://www.drugbank.ca/structures/DB01226/thumb.svg,3.8,18.59,1029.2608,C58H80N2O14,3.26e-05,"Mivacurium is a bisbenzylisoquinolinium based neuromuscular blocker or muscle relaxant. It binds competitively to cholinergic receptors on the motor end-plate to antagonize the action of acetylcholine, resulting in a block of neuromuscular transmission."
164,Encainide,https://www.drugbank.ca/drugs/DB01228,https://www.drugbank.ca/structures/DB01228/thumb.svg,4.0,12.37,352.4699,C22H28N2O2,0.00401,"All drug products containing encainide hydrochloride. Encainide hydrochloride, formerly marketed as Enkaid capsules, was associated with increased death rates in patients who had asymptomatic heart rhythm abnormalities after a recent heart attack. The manufacturer of Enkaid capsules voluntarily withdrew the product from the US market on December 16, 1991."
165,Paclitaxel,https://www.drugbank.ca/drugs/DB01229,https://www.drugbank.ca/structures/DB01229/thumb.svg,3.0,10.36,853.9061,C47H51NO14,0.00556,"Paclitaxel is a mitotic inhibitor used in cancer chemotherapy. It was discovered in a US National Cancer Institute program at the Research Triangle Institute in 1967 when Monroe E. Wall and Mansukh C. Wani isolated it from the bark of the Pacific yew tree, Taxus brevifolia and named it taxol. Later it was discovered that endophytic fungi in the bark synthesize paclitaxel.
When it was developed commercially by Bristol-Myers Squibb (BMS), the generic name was changed to paclitaxel and the BMS compound is sold under the trademark Taxol. In this formulation, paclitaxel is dissolved in Kolliphor EL and ethanol, as a delivery agent. A newer formulation, in which paclitaxel is bound to albumin, is sold under the trademark Abraxane. [Wikipedia]"
166,Pemoline,https://www.drugbank.ca/drugs/DB01230,https://www.drugbank.ca/structures/DB01230/thumb.svg,0.7,14.95,176.172,C9H8N2O2,0.979,"In 2005, the Food and Drug Administration (FDA) withdrew approval for pemoline. In March 2005, Abbott Laboratories (Cylert marketer) had discontinued the production of Cylert arguing economic reasons."
167,Diphenidol,https://www.drugbank.ca/drugs/DB01231,https://www.drugbank.ca/structures/DB01231/thumb.svg,4.3,13.4,309.4452,C21H27NO,0.00587,Diphenidol is an antiemetic agent used in the treatment of vomiting and vertigo. Diphenidol overdose may result in serious toxicity in children.
168,Saquinavir,https://www.drugbank.ca/drugs/DB01232,https://www.drugbank.ca/structures/DB01232/thumb.svg,3.8,5.11,670.8408,C38H50N6O5,0.00765,An HIV protease inhibitor which acts as an analog of an HIV protease cleavage site. It is a highly specific inhibitor of HIV-1 and HIV-2 proteases. [PubChem]
169,Metoclopramide,https://www.drugbank.ca/drugs/DB01233,https://www.drugbank.ca/structures/DB01233/thumb.svg,2.62,14.49,299.796,C14H22ClN3O2,0.31,A dopamine D2 antagonist that is used as an antiemetic. [PubChem]
170,Dexamethasone,https://www.drugbank.ca/drugs/DB01234,https://www.drugbank.ca/structures/DB01234/thumb.svg,1.83,12.42,392.4611,C22H29FO5,0.0505,An anti-inflammatory 9-fluoro-glucocorticoid. [PubChem]
171,Levodopa,https://www.drugbank.ca/drugs/DB01235,https://www.drugbank.ca/structures/DB01235/thumb.svg,-2.39,1.65,197.1879,C9H11NO4,3.3,"The naturally occurring form of dihydroxyphenylalanine and the immediate precursor of dopamine. Unlike dopamine itself, it can be taken orally and crosses the blood-brain barrier. It is rapidly taken up by dopaminergic neurons and converted to dopamine. It is used for the treatment of parkinsonian disorders and is usually given with agents that inhibit its conversion to dopamine outside of the central nervous system. [PubChem]"
172,Sevoflurane,https://www.drugbank.ca/drugs/DB01236,https://www.drugbank.ca/structures/DB01236/thumb.svg,2.4,15.07,200.0548,C4H3F7O,1.48,"Sevoflurane (2,2,2-trifluoro-1-[trifluoromethyl]ethyl fluoromethyl ether), also called fluoromethyl, is a sweet-smelling, non-flammable, highly fluorinated methyl isopropyl ether used for induction and maintenance of general anesthesia. Together with desflurane, it is replacing isoflurane and halothane in modern anesthesiology. [Wikipedia]"
173,Aripiprazole,https://www.drugbank.ca/drugs/DB01238,https://www.drugbank.ca/structures/DB01238/thumb.svg,4.5,13.51,448.385,C23H27Cl2N3O2,0.00777,"Aripiprazole is an atypical antipsychotic medication used for the treatment of schizophrenia. It has also recently received FDA approval for the treatment of acute manic and mixed episodes associated with bipolar disorder. Aripiprazole appears to mediate its antipsychotic effects primarily by partial agonism at the D2 receptor. In addition to partial agonist activity at the D2 receptor, aripiprazole is also a partial agonist at the 5-HT1A receptor, and like the other atypical antipsychotics, aripiprazole displays an antagonist profile at the 5-HT2A receptor. Aripiprazole has moderate affinity for histamine and alpha adrenergic receptors, and no appreciable affinity for cholinergic muscarinic receptors."
174,Epoprostenol,https://www.drugbank.ca/drugs/DB01240,https://www.drugbank.ca/structures/DB01240/thumb.svg,3.0,4.43,352.4651,C20H32O5,0.136,A prostaglandin that is a powerful vasodilator and inhibits platelet aggregation. It is biosynthesized enzymatically from prostaglandin endoperoxides in human vascular tissue. The sodium salt has been also used to treat primary pulmonary hypertension.
