,Event,TimeControl,endFEN,moves,mated_by,Winner,victory_status,wKing_sqr,bKing_sqr,wQueen_sqr,bQueen_sqr,wRook_sqr,bRook_sqr,wRook2_sqr,bRook2_sqr,wBishop_sqr,bBishop_sqr,wBishop2_sqr,bBishop2_sqr,wKnight_sqr,bKnight_sqr,wKnight2_sqr,bKnight2_sqr,avg_Elo
1493,Rated Correspondence game,-,2b1kbnr/2p2ppp/1pn5/4p3/1P2P3/2P2P2/6PP/rNBK1BNR w k - 0 10,10,,black,resign,"(7, 3)","(0, 4)","(None, None)","(None, None)","(7, 7)","(0, 7)","(None, None)","(7, 0)","(7, 2)","(0, 2)","(7, 5)","(0, 5)","(7, 1)","(0, 6)","(7, 6)","(2, 2)",1499.5
1494,Rated Classical game,600+0,8/8/1k6/1P1R3p/2P1p2P/4N1K1/6P1/8 b - - 0 50,50,,white,outoftime,"(5, 6)","(2, 1)","(None, None)","(None, None)","(3, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(5, 4)","(None, None)","(None, None)","(None, None)",1090.0
1495,Rated Classical game,600+0,1n2k1nr/2p2ppp/5r2/pp1B4/4qB1b/2P2NP1/PP4KP/RN1QR3 b k - 0 14,14,,white,resign,"(6, 6)","(0, 4)","(7, 3)","(4, 4)","(7, 0)","(0, 7)","(7, 4)","(2, 5)","(3, 3)","(4, 7)","(4, 5)","(None, None)","(5, 5)","(0, 1)","(7, 1)","(0, 6)",1821.5
1496,Rated Blitz game,180+0,8/1p6/p5r1/3pk3/4p1P1/1PP1K3/P7/6R1 b - - 0 43,43,,white,outoftime,"(5, 4)","(3, 4)","(None, None)","(None, None)","(7, 6)","(2, 6)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2152.5
1497,Rated Classical game,600+1,1r3b1r/p4k2/2Qp4/3P1bpP/8/P4P2/1q6/K2RR3 w - - 0 32,32,Queen,black,mate,"(7, 0)","(1, 5)","(2, 2)","(6, 1)","(7, 3)","(0, 1)","(7, 4)","(0, 7)","(None, None)","(0, 5)","(None, None)","(3, 5)","(None, None)","(None, None)","(None, None)","(None, None)",1390.0
1498,Rated Correspondence game,-,4kbr1/pp1R3p/n3Bpp1/2p5/2N5/P3B3/1P3PPP/6K1 w - - 2 25,25,,white,resign,"(7, 6)","(0, 4)","(None, None)","(None, None)","(1, 3)","(0, 6)","(None, None)","(None, None)","(2, 4)","(0, 5)","(5, 4)","(None, None)","(4, 2)","(2, 0)","(None, None)","(None, None)",1727.0
1499,Rated Bullet game,60+0,r4rk1/1p3ppp/1b6/1PqP1bP1/pK5P/N3P3/3BB3/R6Q w - - 2 28,28,Queen,black,mate,"(4, 1)","(0, 6)","(7, 7)","(3, 2)","(7, 0)","(0, 0)","(None, None)","(0, 5)","(6, 3)","(2, 1)","(6, 4)","(3, 5)","(5, 0)","(None, None)","(None, None)","(None, None)",1405.5
1500,Rated Blitz game,180+0,2N5/pp4kp/n5p1/5b2/5B2/PBb1R3/5PPP/2KR4 b - - 0 24,24,,white,resign,"(7, 2)","(1, 6)","(None, None)","(None, None)","(5, 4)","(None, None)","(7, 3)","(None, None)","(4, 5)","(3, 5)","(5, 1)","(5, 2)","(0, 2)","(2, 0)","(None, None)","(None, None)",2011.5
1501,Rated Bullet game,30+0,8/2p3pk/7p/5rq1/2P5/3P3P/PK6/5R2 b - - 1 40,40,,white,outoftime,"(6, 1)","(1, 7)","(None, None)","(3, 6)","(7, 5)","(3, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2203.0
1502,Rated Blitz game,300+0,1k1r3r/p1p1R3/2Q5/3p4/8/8/PPP2Ppq/4R1K1 w - - 0 24,24,Queen,black,mate,"(7, 6)","(0, 1)","(2, 2)","(6, 7)","(1, 4)","(0, 3)","(7, 4)","(0, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1629.5
1503,Rated Bullet game,120+0,8/5B2/3k1p2/2bP4/1p1p1p2/p2K4/6P1/R7 w - - 4 57,57,,black,outoftime,"(5, 3)","(2, 3)","(None, None)","(None, None)","(7, 0)","(None, None)","(None, None)","(None, None)","(1, 5)","(3, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1582.0
1504,Rated Bullet game,60+0,r2qk1nr/ppp2Qpp/1b6/4p3/2B1N3/2PP4/PP3PPP/R1B1K2R b KQkq - 0 12,12,Queen,white,mate,"(7, 4)","(0, 4)","(1, 5)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(4, 2)","(2, 1)","(7, 2)","(None, None)","(4, 4)","(0, 6)","(None, None)","(None, None)",1595.5
1505,Rated Classical game,600+0,8/6pk/7p/3P4/4P2P/1P5K/6Q1/5q2 b - - 11 58,58,,draw,draw,"(5, 7)","(1, 7)","(6, 6)","(7, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1774.5
1506,Rated Blitz tournament https://lichess.org/tournament/cXTYjhyI,300+0,1r2r1k1/3q4/6NR/5pp1/1p1P2b1/1P1Q2P1/2P2PB1/5R1K b - - 0 33,33,,white,outoftime,"(7, 7)","(0, 6)","(5, 3)","(1, 3)","(2, 7)","(0, 1)","(7, 5)","(0, 4)","(6, 6)","(4, 6)","(None, None)","(None, None)","(2, 6)","(None, None)","(None, None)","(None, None)",1543.5
1507,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,8/8/2B5/2R5/2QkP3/P6p/P3K2P/R7 b - - 3 38,38,Queen,white,mate,"(6, 4)","(4, 3)","(4, 2)","(None, None)","(3, 2)","(None, None)","(7, 0)","(None, None)","(2, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1376.0
1508,Rated Bullet game,30+0,r1k5/ppp5/2nr2Q1/1N2p3/4P3/8/PPP3PP/R5K1 w - - 1 26,26,,black,outoftime,"(7, 6)","(0, 2)","(2, 6)","(None, None)","(7, 0)","(0, 0)","(None, None)","(2, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(3, 1)","(2, 2)","(None, None)","(None, None)",1525.0
1509,Rated Blitz tournament https://lichess.org/tournament/azCD6z8F,300+0,4Q2k/p5pp/1p6/2p5/7n/1B1p4/PPP1q1bP/1K1RR3 b - - 0 31,31,,white,resign,"(7, 1)","(0, 7)","(0, 4)","(6, 4)","(7, 3)","(None, None)","(7, 4)","(None, None)","(5, 1)","(6, 6)","(None, None)","(None, None)","(None, None)","(4, 7)","(None, None)","(None, None)",1686.5
1510,Rated Blitz game,180+0,8/3b4/8/1p1p4/pP1k1p2/8/3K4/8 w - - 2 54,54,,black,outoftime,"(6, 3)","(4, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(1, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2049.0
1511,Rated Blitz game,300+0,6k1/5pp1/p6p/4P3/2P5/1P3P2/P2qK1PP/3r1R2 w - - 3 34,34,Queen,black,mate,"(6, 4)","(0, 6)","(None, None)","(6, 3)","(7, 5)","(7, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1383.5
1512,Rated Blitz game,180+0,8/5k2/8/6K1/7P/8/8/8 w - - 4 51,51,,draw,outoftime,"(3, 6)","(1, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2098.0
1513,Rated Blitz game,180+0,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,2,,white,outoftime,"(7, 4)","(0, 4)","(7, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(4, 5)","(0, 2)","(7, 5)","(0, 5)","(7, 1)","(0, 1)","(7, 6)","(0, 6)",1631.5
1514,Rated Classical game,1800+0,7r/pp3pbp/n1qRk1p1/2p1P1B1/2N3b1/2N5/PPP2PPP/2K4R b - - 4 18,18,,white,resign,"(7, 2)","(2, 4)","(None, None)","(2, 2)","(2, 3)","(0, 7)","(7, 7)","(None, None)","(3, 6)","(1, 6)","(None, None)","(4, 6)","(4, 2)","(2, 0)","(5, 2)","(None, None)",1887.5
1515,Rated Blitz game,180+0,r3r1k1/pp1n1pbp/1n1p2p1/2pP4/2B2P2/1P3PNq/P1P4P/1RBQ1K1R w - - 5 16,16,,black,resign,"(7, 5)","(0, 6)","(7, 3)","(5, 7)","(7, 1)","(0, 0)","(7, 7)","(0, 4)","(4, 2)","(1, 6)","(7, 2)","(None, None)","(5, 6)","(1, 3)","(None, None)","(2, 1)",1931.5
1516,Rated Blitz game,180+0,r4rk1/pb2bppp/8/1Pp1P3/8/P2PB3/1P2N1qP/R2Q1RK1 w - - 0 20,20,Queen,black,mate,"(7, 6)","(0, 6)","(7, 3)","(6, 6)","(7, 0)","(0, 0)","(7, 5)","(0, 5)","(5, 4)","(1, 1)","(None, None)","(1, 4)","(6, 4)","(None, None)","(None, None)","(None, None)",1185.0
1517,Rated Blitz tournament https://lichess.org/tournament/cXTYjhyI,300+0,4r1k1/ppp3bp/2n3p1/7q/2P1KP2/P2P2Rb/1P5n/4R3 w - - 2 29,29,Rook,black,mate,"(4, 4)","(0, 6)","(None, None)","(3, 7)","(5, 6)","(0, 4)","(7, 4)","(None, None)","(None, None)","(1, 6)","(None, None)","(5, 7)","(None, None)","(2, 2)","(None, None)","(6, 7)",1468.0
1518,Rated Blitz game,180+0,8/8/p5p1/1p4Kp/1P1B1P1P/k1P5/2b5/8 w - - 0 46,46,,black,outoftime,"(3, 6)","(5, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(4, 3)","(6, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1421.0
1519,Rated Blitz game,180+0,8/8/1p4p1/8/P1nN1Pp1/1k1K4/8/8 b - - 2 54,54,,white,outoftime,"(5, 3)","(5, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(4, 3)","(4, 2)","(None, None)","(None, None)",1788.0
1520,Rated Blitz game,180+0,r6r/1b1k3p/p4Bp1/2p5/2Pb2PQ/8/PP3PqP/3RR1K1 w - - 1 27,27,Queen,black,mate,"(7, 6)","(1, 3)","(4, 7)","(6, 6)","(7, 3)","(0, 0)","(7, 4)","(0, 7)","(2, 5)","(1, 1)","(None, None)","(4, 3)","(None, None)","(None, None)","(None, None)","(None, None)",1649.5
1521,Rated Blitz game,180+0,8/p2P3p/1p3k2/4R3/3R1K2/8/P4P1P/1b6 b - - 0 43,43,,white,resign,"(4, 5)","(2, 5)","(None, None)","(None, None)","(3, 4)","(None, None)","(4, 3)","(None, None)","(None, None)","(7, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1735.5
1522,Rated Bullet game,120+1,5b2/8/p1RP4/P3P3/1P5p/1kP2K1P/5P2/8 b - - 0 45,45,,white,outoftime,"(5, 5)","(5, 1)","(None, None)","(None, None)","(2, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(0, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1812.0
1523,Rated Bullet game,120+1,rn1qkb1r/pp3Qpp/3p1n2/2p3N1/4P3/8/PPP1bPPP/RNB1K2R b KQkq - 0 8,8,Queen,white,mate,"(7, 4)","(0, 4)","(1, 5)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 2)","(0, 5)","(None, None)","(6, 4)","(3, 6)","(0, 1)","(7, 1)","(2, 5)",1346.5
1524,Rated Blitz game,300+3,6k1/R7/4r1p1/2B3P1/5K2/P7/8/8 b - - 2 50,50,,white,resign,"(4, 5)","(0, 6)","(None, None)","(None, None)","(1, 0)","(2, 4)","(None, None)","(None, None)","(3, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1420.0
1525,Rated Bullet game,0+1,6k1/5pp1/1p3n1p/8/2K5/6P1/Pr6/8 w - - 0 33,33,,black,resign,"(4, 2)","(0, 6)","(None, None)","(None, None)","(None, None)","(6, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(2, 5)","(None, None)","(None, None)",1953.0
1526,Rated Blitz game,300+0,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,3,,white,outoftime,"(7, 4)","(0, 4)","(7, 3)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 7)","(7, 2)","(0, 2)","(7, 5)","(0, 5)","(5, 2)","(0, 1)","(5, 5)","(0, 6)",1444.0
1527,Rated Blitz game,180+2,8/8/7R/8/3k2K1/1r5p/8/8 b - - 4 51,51,,draw,draw,"(4, 6)","(4, 3)","(None, None)","(None, None)","(2, 7)","(5, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1970.0
1528,Rated Blitz game,180+0,5k1r/2p4P/1p4NR/pP1p4/P4P2/6K1/8/8 b - - 5 59,59,,white,resign,"(5, 6)","(0, 5)","(None, None)","(None, None)","(2, 7)","(0, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(2, 6)","(None, None)","(None, None)","(None, None)",1913.5
1529,Rated Blitz game,300+0,4r1k1/5rpp/p2P4/1pNq4/1P1P4/P5P1/7P/R5K1 w - - 0 33,33,,black,resign,"(7, 6)","(0, 6)","(None, None)","(3, 3)","(7, 0)","(0, 4)","(None, None)","(1, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(3, 2)","(None, None)","(None, None)","(None, None)",1395.0
1530,Rated Bullet game,120+0,1r4k1/pb2qpp1/1p5p/4P3/2p2PP1/2N1Bn2/PP3KBP/R7 w - - 0 24,24,,black,outoftime,"(6, 5)","(0, 6)","(None, None)","(1, 4)","(7, 0)","(0, 1)","(None, None)","(None, None)","(5, 4)","(1, 1)","(6, 6)","(None, None)","(5, 2)","(5, 5)","(None, None)","(None, None)",1281.0
1531,Rated Blitz game,180+2,r1rkb3/1pR1Q3/2p1p3/p1P5/3P4/P3P3/1P4PP/6K1 b - - 9 33,33,Queen,white,mate,"(7, 6)","(0, 3)","(1, 4)","(None, None)","(1, 2)","(0, 0)","(None, None)","(0, 2)","(None, None)","(0, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1524.0
1532,Rated Blitz game,300+4,6k1/p4p1p/2p3pK/1p5q/1P5P/P3r3/8/8 w - - 7 46,46,Queen,black,mate,"(2, 7)","(0, 6)","(None, None)","(3, 7)","(None, None)","(5, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1203.5
1533,Rated Blitz game,180+2,1Rk4r/3r4/p3p3/n2pPp1p/2pP2p1/P1P1P3/3B2PP/1R4K1 b - - 3 30,30,,white,resign,"(7, 6)","(0, 2)","(None, None)","(None, None)","(0, 1)","(0, 7)","(7, 1)","(1, 3)","(6, 3)","(None, None)","(None, None)","(None, None)","(None, None)","(3, 0)","(None, None)","(None, None)",1590.5
1534,Rated Blitz game,180+2,7k/4pr2/p5bp/1p4n1/2p3K1/2P5/PP6/8 w - - 0 33,33,,black,resign,"(4, 6)","(0, 7)","(None, None)","(None, None)","(None, None)","(1, 5)","(None, None)","(None, None)","(None, None)","(2, 6)","(None, None)","(None, None)","(None, None)","(3, 6)","(None, None)","(None, None)",1208.5
1535,Rated Blitz game,180+2,8/8/8/8/8/2K3P1/1Q4P1/k7 b - - 21 67,67,Queen,white,mate,"(5, 2)","(7, 0)","(6, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1565.5
1536,Rated Classical game,300+5,r4r1k/bpp4p/p2p1pn1/1b1P1N2/1P2p1B1/6R1/PB4PP/2R4K b - - 9 31,31,,white,outoftime,"(7, 7)","(0, 7)","(None, None)","(None, None)","(5, 6)","(0, 0)","(7, 2)","(0, 5)","(4, 6)","(1, 0)","(6, 1)","(3, 1)","(3, 5)","(2, 6)","(None, None)","(None, None)",1895.0
1537,Rated Bullet tournament https://lichess.org/tournament/7mHYuXDA,120+0,r2q3k/p1b3Qp/2p2Pn1/1p3R2/3P4/2P5/PP4PP/RNB3K1 b - - 0 18,18,Queen,white,mate,"(7, 6)","(0, 7)","(1, 6)","(0, 3)","(3, 5)","(0, 0)","(7, 0)","(None, None)","(7, 2)","(1, 2)","(None, None)","(None, None)","(7, 1)","(2, 6)","(None, None)","(None, None)",1855.5
1538,Rated Bullet game,120+1,8/3k4/2p1p1p1/B3P3/1P2p3/P4p2/5P2/2r2K2 w - - 2 48,48,Rook,black,mate,"(7, 5)","(1, 3)","(None, None)","(None, None)","(None, None)","(7, 2)","(None, None)","(None, None)","(3, 0)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1259.5
1539,Rated Blitz game,300+0,r3kb1r/pp2pppp/2np4/8/1P4P1/4BQ2/P1P2P1P/R3KB1q b Qkq - 1 13,13,,black,resign,"(7, 4)","(0, 4)","(5, 5)","(7, 7)","(7, 0)","(0, 0)","(None, None)","(0, 7)","(5, 4)","(0, 5)","(7, 5)","(None, None)","(None, None)","(2, 2)","(None, None)","(None, None)",948.0
1540,Rated Bullet tournament https://lichess.org/tournament/7mHYuXDA,120+0,8/7K/8/1k6/8/8/8/8 b - - 0 65,65,,draw,draw,"(1, 7)","(3, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1482.0
1541,Rated Blitz game,300+0,r2qnrk1/p1pbbp1Q/6p1/1ppPp1N1/2P1P3/2N5/PP3PPP/R3KB1R b KQ - 0 14,14,Queen,white,mate,"(7, 4)","(0, 6)","(1, 7)","(0, 3)","(7, 0)","(0, 0)","(7, 7)","(0, 5)","(7, 5)","(1, 3)","(None, None)","(1, 4)","(3, 6)","(0, 4)","(5, 2)","(None, None)",1201.0
1542,Rated Blitz game,300+0,6k1/pp3pbp/2p3p1/7P/2n5/qP6/P1PrNP2/3KR2R w - - 0 23,23,Rook,black,mate,"(7, 3)","(0, 6)","(None, None)","(5, 0)","(7, 4)","(6, 3)","(7, 7)","(None, None)","(None, None)","(1, 6)","(None, None)","(None, None)","(6, 4)","(4, 2)","(None, None)","(None, None)",1579.0
1543,Rated Blitz game,300+0,2kr1bnr/pQpb1ppp/4p3/8/1P5n/B4B1N/P1PP1P1P/RN2K3 b Q - 0 12,12,Queen,white,mate,"(7, 4)","(0, 2)","(1, 1)","(None, None)","(7, 0)","(0, 3)","(None, None)","(0, 7)","(5, 0)","(0, 5)","(5, 5)","(1, 3)","(5, 7)","(0, 6)","(7, 1)","(4, 7)",1078.5
1544,Rated Blitz game,240+2,5K2/1R6/7p/1p6/8/6P1/1k6/8 b - - 2 55,55,,white,resign,"(0, 5)","(6, 1)","(None, None)","(None, None)","(1, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1782.0
1545,Rated Classical game,660+0,5rk1/5pp1/qB3nrp/8/P2N2P1/2P2P2/1P2n3/R3RK2 w - - 0 28,28,,black,outoftime,"(7, 5)","(0, 6)","(None, None)","(2, 0)","(7, 0)","(0, 5)","(7, 4)","(2, 6)","(2, 1)","(None, None)","(None, None)","(None, None)","(4, 3)","(2, 5)","(None, None)","(6, 4)",1685.5
1546,Rated Classical game,480+0,8/3knQ2/3ppN2/8/3Pq3/7P/5PPK/5b2 b - - 3 36,36,,white,resign,"(6, 7)","(1, 3)","(1, 5)","(4, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(7, 5)","(None, None)","(None, None)","(2, 5)","(1, 4)","(None, None)","(None, None)",1686.5
1547,Rated Bullet tournament https://lichess.org/tournament/zZujj7GM,30+0,8/p1p2ppp/1p6/4R3/k2Q2p1/6P1/PPP2PBP/6K1 b - - 8 28,28,Queen,white,mate,"(7, 6)","(4, 0)","(4, 3)","(None, None)","(3, 4)","(None, None)","(None, None)","(None, None)","(6, 6)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1632.5
1548,Rated Bullet tournament https://lichess.org/tournament/zZujj7GM,30+0,r1b5/bp2kQ1B/pqn1p3/8/5p2/2P2N2/P6P/R3K3 b Q - 5 27,27,,white,outoftime,"(7, 4)","(1, 4)","(1, 5)","(2, 1)","(7, 0)","(0, 0)","(None, None)","(None, None)","(1, 7)","(0, 2)","(None, None)","(1, 0)","(5, 5)","(2, 2)","(None, None)","(None, None)",1690.5
1549,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,8/5pkp/4p1p1/5r2/7P/3K2P1/2R5/8 w - - 1 47,47,,black,outoftime,"(5, 3)","(1, 6)","(None, None)","(None, None)","(6, 2)","(3, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1694.5
1550,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,4k3/6Kp/8/6p1/5P2/6P1/7P/8 w - - 0 44,44,,black,outoftime,"(1, 6)","(0, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1681.0
1551,Rated Blitz game,300+0,4r2k/7p/P5p1/2p5/5PpP/3p2K1/8/6q1 w - - 2 37,37,Queen,black,mate,"(5, 6)","(0, 7)","(None, None)","(7, 6)","(None, None)","(0, 4)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1266.0
1552,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,r4rk1/pp3ppp/2p5/4P3/3b1Pn1/8/PPPB2PP/R4RK1 w - - 0 20,20,,black,resign,"(7, 6)","(0, 6)","(None, None)","(None, None)","(7, 0)","(0, 0)","(7, 5)","(0, 5)","(6, 3)","(4, 3)","(None, None)","(None, None)","(None, None)","(4, 6)","(None, None)","(None, None)",2012.0
1553,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,3R4/3P2pk/5pn1/pB6/P7/6P1/2r2P2/4R1K1 b - - 0 32,32,,white,outoftime,"(7, 6)","(1, 7)","(None, None)","(None, None)","(0, 3)","(6, 2)","(7, 4)","(None, None)","(3, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(2, 6)","(None, None)","(None, None)",1770.5
1554,Rated Classical game,600+0,r3k2r/pp1n1pp1/2pbpnp1/6q1/2BP4/6N1/PPP1QPPP/R4RK1 w kq - 0 13,13,,black,resign,"(7, 6)","(0, 4)","(6, 4)","(3, 6)","(7, 0)","(0, 0)","(7, 5)","(0, 7)","(4, 2)","(2, 3)","(None, None)","(None, None)","(5, 6)","(1, 3)","(None, None)","(2, 5)",1953.5
1555,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,1q1K4/8/3k4/8/8/8/8/8 w - - 7 59,59,Queen,black,mate,"(0, 3)","(2, 3)","(None, None)","(0, 1)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",2204.0
1556,Rated Bullet tournament https://lichess.org/tournament/WhXK2rPu,60+0,1k1r3r/pp1b2p1/1p2p3/8/P1Bn1p2/2qP4/5PPP/1R2R1K1 w - - 0 26,26,,black,resign,"(7, 6)","(0, 1)","(None, None)","(5, 2)","(7, 1)","(0, 3)","(7, 4)","(0, 7)","(4, 2)","(1, 3)","(None, None)","(None, None)","(None, None)","(4, 3)","(None, None)","(None, None)",1593.5
1557,Rated Blitz game,300+3,r7/p2n1k1p/1p3np1/5p2/7P/2PP1N2/PQ3PP1/R3K2R b KQ - 0 17,17,,white,outoftime,"(7, 4)","(1, 5)","(6, 1)","(None, None)","(7, 0)","(0, 0)","(7, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(5, 5)","(1, 3)","(None, None)","(2, 5)",1127.0
1558,Rated Classical game,540+0,7Q/2P5/1K6/5bp1/6kp/8/8/8 w - - 3 55,55,,black,outoftime,"(2, 1)","(4, 6)","(0, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(3, 5)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1407.0
1559,Rated Blitz game,120+8,3k2R1/p1pb4/1p2p3/3pPp1N/3P1P2/2P2K2/PP6/6R1 b - - 0 48,48,,white,resign,"(5, 5)","(0, 3)","(None, None)","(None, None)","(0, 6)","(None, None)","(7, 6)","(None, None)","(None, None)","(1, 3)","(None, None)","(None, None)","(3, 7)","(None, None)","(None, None)","(None, None)",1404.0
1560,Rated Bullet game,60+0,5rk1/1pq2rb1/p2p1nQ1/2pPp3/2PN4/1P2B3/P4P1P/R4RK1 w - - 1 21,21,,black,outoftime,"(7, 6)","(0, 6)","(2, 6)","(1, 2)","(7, 0)","(0, 5)","(7, 5)","(1, 5)","(5, 4)","(1, 6)","(None, None)","(None, None)","(4, 3)","(2, 5)","(None, None)","(None, None)",1526.0
1561,Rated Bullet game,60+0,1r6/kp4p1/1n2P3/pq2b3/3pQ1P1/3P4/2P3RP/5RK1 w - - 1 36,36,,black,outoftime,"(7, 6)","(1, 0)","(4, 4)","(3, 1)","(6, 6)","(0, 1)","(7, 5)","(None, None)","(None, None)","(3, 4)","(None, None)","(None, None)","(None, None)","(2, 1)","(None, None)","(None, None)",1423.5
1562,Rated Bullet game,60+0,5k2/7p/1P4pb/1BP1p3/6KP/r7/P7/8 b - - 2 49,49,,white,outoftime,"(4, 6)","(0, 5)","(None, None)","(None, None)","(None, None)","(5, 0)","(None, None)","(None, None)","(3, 1)","(2, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1514.0
1563,Rated Bullet game,120+0,8/8/7p/6pP/2p3P1/pp6/2k5/K7 w - - 0 44,44,,draw,draw,"(7, 0)","(6, 2)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1538.5
1564,Rated Bullet tournament https://lichess.org/tournament/zZujj7GM,30+0,6k1/p5pp/2p5/2PpP3/P4p2/R1P1Pq1b/5P2/2B2RK1 w - - 0 21,21,,black,outoftime,"(7, 6)","(0, 6)","(None, None)","(5, 5)","(5, 0)","(None, None)","(7, 5)","(None, None)","(7, 2)","(5, 7)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)",1514.5
1565,Rated Bullet game,120+0,1r2br2/1p2ppkp/3p2p1/p7/PnBNPP2/2N5/1P3QPP/2RR3K b - - 0 22,22,,white,resign,"(7, 7)","(1, 6)","(6, 5)","(None, None)","(7, 2)","(0, 1)","(7, 3)","(0, 5)","(4, 2)","(0, 4)","(None, None)","(None, None)","(4, 3)","(4, 1)","(5, 2)","(None, None)",1973.0
