Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date,Muv Genotype,Labels
BritishColumbia.CAN/29.16/5/G,Bccdc90,2016-07-22,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.56,Bccdc,2016-07-22,G,unknown
BritishColumbia.CAN/28.16/6/G,Bccdc100,2016-07-14,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.53,Bccdc,2016-07-14,G,Aa: L: I90m A852t C894y;
BritishColumbia.CAN/36.16/G,Bccdc101,2016-09-07,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.68,Bccdc,2016-09-07,G,Aa: L: S721* G747c R883s;
BritishColumbia.CAN/23.16/1/G,Bccdc73,2016-06-06,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.43,Bccdc,2016-06-06,G,unknown
BritishColumbia.CAN/22.16/2/G,Bccdc72,2016-05-31,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.41,Bccdc,2016-05-31,G,unknown
BritishColumbia.CAN/18.16/3/G,Bccdc81,2016-05-09,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.35,Bccdc,2016-05-09,G,unknown
BritishColumbia.CAN/34.16/3/G,Bccdc106,2016-08-28,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.66,Bccdc,2016-08-28,G,Aa: L: I1968v;
BritishColumbia.CAN/16.16/4/G,Bccdc25,2016-04-21,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.30,Bccdc,2016-04-21,G,unknown
BritishColumbia.CAN/27.16/?/?,Bccdc65,2016-07-07,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.51,Bccdc,2016-07-07,?,unknown
BritishColumbia.CAN/17.16/G,Bccdc10,2016-04-29,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.33,Bccdc,2016-04-29,G,unknown
BritishColumbia.CAN/31.16/4/G,Bccdc59,2016-08-04,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.59,Bccdc,2016-08-04,G,unknown
BritishColumbia.CAN/13.16/G,Bccdc15,2016-04-01,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.25,Bccdc,2016-04-01,G,Aa: L: L849s;
BritishColumbia.CAN/24.16/7/G,Bccdc56,2016-06-15,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.45,Bccdc,2016-06-15,G,Aa: M: P9s;
BritishColumbia.CAN/42.16/G,Bccdc60,2016-10-17,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.79,Bccdc,2016-10-17,G,unknown
BritishColumbia.CAN/24.16/4/G,Bccdc38,2016-06-15,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.45,Bccdc,2016-06-15,G,Aa: P: G276e;
BritishColumbia.CAN/31.16/1/G,Bccdc17,2016-08-02,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.59,Bccdc,2016-08-02,G,Aa: Hn: P343a;
BritishColumbia.CAN/22.16/1/G,Bccdc54,2016-05-31,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.41,Bccdc,2016-05-31,G,unknown
Illinois.USA/26.15/2/G,Broad Sequence 64,2015-06-24,North America,USA,Illinois,Wohl Et Al,?,Unpublished,?,2015.48,Broad,2015-06-24,G,unknown
Texas.USA/27.17/G,Broad Sequence 85,2017-07-03,North America,USA,Texas,Wohl Et Al,?,Unpublished,?,2017.50,Broad,2017-07-03,G,Aa: L: Q486r A2246d;
Louisiana.USA/29.17/G,Broad Sequence 86,2017-07-21,North America,USA,Louisiana,Wohl Et Al,?,Unpublished,?,2017.55,Broad,2017-07-21,G,Aa: F: S298g; L: R2244h;
Michigan.USA/4.16/G,Broad Sequence 65,2016-01-26,North America,USA,Michigan,Wohl Et Al,?,Unpublished,?,2016.07,Broad,2016-01-26,G,unknown
Texas.USA/15.17/G,Broad Sequence 78,2017-04-13,North America,USA,Texas,Wohl Et Al,?,Unpublished,?,2017.28,Broad,2017-04-13,G,Aa: F: I376v; Nc: P420t; L: I695m; P: A288g;
Texas.USA/18.17/G,Broad Sequence 84,2017-05-05,North America,USA,Texas,Wohl Et Al,?,Unpublished,?,2017.34,Broad,2017-05-05,G,unknown
Pennsylvania.USA/19.16/G,Broad Sequence 69,2016-05-10,North America,USA,Pennsylvania,Wohl Et Al,?,Unpublished,?,2016.36,Broad,2016-05-10,G,Aa: Nc: V316l; L: I455t; Hn: Q354k;
Massachusetts.USA/9.16/2/G,Mf965302,2016-03-06,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965302,2016.18,Genbank,2016-03-06,G,Aa: L: E545a;
Springdale_730/2016/G,Ky996510,2016-01-01,North America,USA,Arkansas,Wongsurawat Et Al,Unpublished,Three Complete Genome Sequences Of Genotype G Mumps Virus From The 2016 Outbreak In Arkansas Usa,https://www.ncbi.nlm.nih.gov/nuccore/KY996510,2017.00,Genbank,2016-xx-xx,?,Aa: Hn: N441t;
Springdale_754/2016/G,Ky996512,2016-01-01,North America,USA,Arkansas,Wongsurawat Et Al,Unpublished,Three Complete Genome Sequences Of Genotype G Mumps Virus From The 2016 Outbreak In Arkansas Usa,https://www.ncbi.nlm.nih.gov/nuccore/KY996512,2016.96,Genbank,2016-xx-xx,?,Aa: M: N22s; P: I369t;
Springdale_745/2016/G,Ky996511,2016-01-01,North America,USA,Arkansas,Wongsurawat Et Al,Unpublished,Three Complete Genome Sequences Of Genotype G Mumps Virus From The 2016 Outbreak In Arkansas Usa,https://www.ncbi.nlm.nih.gov/nuccore/KY996511,2016.41,Genbank,2016-xx-xx,?,Aa: Hn: V125i;
BritishColumbia.CAN/18.17/2/G,Bccdc3,2017-05-05,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2017.34,Bccdc,2017-05-05,G,Aa: F: I106v I479v; I: K142r; L: F810s E1264*; P: K142r G239r; V: K142r;
Washington.USA/2017031/50.16/5/G,Washington Outbreak 4,2016-12-13,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2016.95,Fh,2016-12-13,G,unknown
Washington.USA/2017105/2.17/2/G,Washington Outbreak 10,2017-01-13,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.03,Fh,2017-01-13,G,Aa: P: *300q;
Washington.USA/2017108/2.17/5/G,Washington Outbreak 11,2017-01-17,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.04,Fh,2017-01-17,G,Aa: L: D734g;
Washington.USA/2017153/5.17/5/G,Washington Outbreak 16,2017-01-31,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.08,Fh,2017-01-31,G,unknown
Washington.USA/2017232/9.17/2/G,Washington Outbreak 26,2017-02-28,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.16,Fh,2017-02-28,G,unknown
Washington.USA/2017193/6.17/4/G,Washington Outbreak 21,2017-02-08,North America,USA,Washington,Moncla Et Al,?,Unpublished,?,2017.10,Fh,2017-02-08,G,unknown
Massachusetts.USA/37.15/1/G,Mf965262,2015-09-15,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965262,2015.70,Genbank,2015-09-15,G,Aa: I: P52q S83p; L: I1994m; P: P52q S83p; V: P52q S83p;
BritishColumbia.CAN/8.17/5/G,Bccdc61,2017-02-24,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2017.15,Bccdc,2017-02-24,G,unknown
BritishColumbia.CAN/8.17/2/G,Bccdc98,2017-02-23,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2017.15,Bccdc,2017-02-23,G,unknown
BritishColumbia.CAN/8.17/8/G,Bccdc62,2017-02-26,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2017.15,Bccdc,2017-02-26,G,unknown
BritishColumbia.CAN/11.16/G,Bccdc107,2016-03-14,North America,Canada,British Columbia,Gardy Et Al,?,Unpublished,?,2016.20,Bccdc,2016-03-14,G,Aa: F: T132a; L: D2238v;
Manitoba.CAN/44.16/15/G,Bccdc23,2016-11-02,North America,Canada,Manitoba,Gardy Et Al,?,Unpublished,?,2016.84,Bccdc,2016-11-02,G,unknown
Manitoba.CAN/47.16/4/G,Bccdc24,2016-10-25,North America,Canada,Manitoba,Gardy Et Al,?,Unpublished,?,2016.82,Bccdc,2016-10-25,G,unknown
Manitoba.CAN/43.16/5/G,Bccdc22,2016-10-25,North America,Canada,Manitoba,Gardy Et Al,?,Unpublished,?,2016.82,Bccdc,2016-10-25,G,unknown
Montana.USA/11.16/G,Broad Sequence 66,2016-03-15,North America,USA,Montana,Wohl Et Al,?,Unpublished,?,2016.20,Broad,2016-03-15,G,Aa: P: G376r;
Massachusetts.USA/30.16/1/G,Mf965299,2016-08-01,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965299,2016.58,Genbank,2016-08-01,G,unknown
Massachusetts.USA/27.16/1/G,Mf965202,2016-07-09,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965202,2016.52,Genbank,2016-07-09,G,unknown
Massachusetts.USA/45.16/1/G,Mf965285,2016-11-09,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965285,2016.86,Genbank,2016-11-09,G,unknown
Massachusetts.USA/50.16/1/G,Mf965198,2016-12-14,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965198,2016.95,Genbank,2016-12-14,G,unknown
Massachusetts.USA/44.16/1/G,Mf965232,2016-10-31,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965232,2016.83,Genbank,2016-10-31,G,Aa: I: Q3h; P: Q3h; V: Q3h;
Massachusetts.USA/46.16/1/G,Mf965282,2016-11-14,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965282,2016.87,Genbank,2016-11-14,G,Aa: Hn: L278i;
Massachusetts.USA/39.16/1/G,Mf965306,2016-10-03,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965306,2016.76,Genbank,2016-10-03,G,unknown
Massachusetts.USA/8.16/3/G,Mf965254,2016-02-25,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965254,2016.15,Genbank,2016-02-25,G,unknown
Massachusetts.USA/17.16/12/G,Mf965272,2016-05-02,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965272,2016.33,Genbank,2016-05-02,G,unknown
Massachusetts.USA/17.16/1/G,Mf965313,2016-04-25,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965313,2016.31,Genbank,2016-04-25,G,unknown
Massachusetts.USA/17.16/11/G,Mf965211,2016-04-30,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965211,2016.33,Genbank,2016-04-30,G,unknown
Massachusetts.USA/13.16/1/G,Mf965274,2016-03-31,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965274,2016.25,Genbank,2016-03-31,G,Aa: Hn: M449t;
Massachusetts.USA/22.16/2/G,Mf965237,2016-06-03,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965237,2016.42,Genbank,2016-06-03,G,unknown
Massachusetts.USA/8.16/2/G,Mf965234,2016-02-24,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965234,2016.15,Genbank,2016-02-24,G,unknown
Massachusetts.USA/8.16/5/G,Mf965268,2016-02-25,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965268,2016.15,Genbank,2016-02-25,G,unknown
Massachusetts.USA/16.16/15/G,Mf965233,2016-04-22,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965233,2016.31,Genbank,2016-04-22,G,unknown
Massachusetts.USA/22.16/1/G,Mf965226,2016-06-03,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965226,2016.42,Genbank,2016-06-03,G,unknown
Massachusetts.USA/19.16/4/G,Mf965304,2016-05-09,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965304,2016.35,Genbank,2016-05-09,G,unknown
Massachusetts.USA/25.17/2/G,Broad Sequence 40,2017-06-20,North America,USA,Massachusetts,Wohl Et Al,?,Unpublished,?,2017.47,Broad,2017-06-20,G,Aa: L: D729g;
Massachusetts.USA/22.17/4/G,Broad Sequence 27,2017-05-31,North America,USA,Massachusetts,Wohl Et Al,?,Unpublished,?,2017.41,Broad,2017-05-31,G,unknown
Massachusetts.USA/21.17/G,Broad Sequence 22,2017-05-26,North America,USA,Massachusetts,Wohl Et Al,?,Unpublished,?,2017.40,Broad,2017-05-26,G,unknown
Massachusetts.USA/22.16/3/G,Mf965294,2016-06-03,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965294,2016.42,Genbank,2016-06-03,G,Aa: F: A193g;
NewHampshire.USA/40.16/G,Broad Sequence 68,2016-10-07,North America,USA,New Hampshire,Wohl Et Al,?,Unpublished,?,2016.77,Broad,2016-10-07,G,Aa: I: E85d; P: E85d; V: E85d;
Massachusetts.USA/27.16/2/G,Mf965208,2016-07-12,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965208,2016.53,Genbank,2016-07-12,G,unknown
Massachusetts.USA/33.16/1/G,Mf965295,2016-08-19,North America,USA,Massachusetts,Byrne Et Al,Unpublished,Mumps Rubulavirus Sample Sequencing From The 2016-2017 Outbreak In Massachusetts,https://www.ncbi.nlm.nih.gov/nuccore/MF965295,2016.63,Genbank,2016-08-19,G,unknown
Indiana.USA/49.16/G,Broad Sequence 88,2016-12-12,North America,USA,Indiana,Wohl Et Al,?,Unpublished,?,2016.95,Broad,2016-12-12,G,Aa: Nc: A427t; Sh: A42e;
Massachusetts.USA/25.17/5/G,Broad Sequence 43,2017-06-21,North America,USA,Massachusetts,Wohl Et Al,?,Unpublished,?,2017.47,Broad,2017-06-21,G,Aa: I: P114t; P: P114t; V: P114t;
Indiana.USA/48.16/G,Broad Sequence 87,2016-11-28,North America,USA,Indiana,Wohl Et Al,?,Unpublished,?,2016.91,Broad,2016-11-28,G,unknown
Massachusetts.USA/14.17/G,Broad Sequence 14,2017-04-02,North America,USA,Massachusetts,Wohl Et Al,?,Unpublished,?,2017.25,Broad,2017-04-02,G,Aa: Hn: Q359h;
Kansas.USA/15.17/G,Broad Sequence 81,2017-04-10,North America,USA,Kansas,Wohl Et Al,?,Unpublished,?,2017.27,Broad,2017-04-10,G,unknown
Kansas.USA/10.17/G,Broad Sequence 75,2017-03-10,North America,USA,Kansas,Wohl Et Al,?,Unpublished,?,2017.19,Broad,2017-03-10,G,Aa: M: S4a; L: V1991i;
