#data from https://doi.org/10.1371/journal.pntd.0001039.s001 Table S3
Strongyloides_contig_number,p-value,log2_(L3i/L1)_signal_ratio,annotation,PFAM_database_id,
562,7.67E-06,2.58176,extmat,Plasmodium_HRP,
563,0.036288209,0.42657,tf,Dpy-30,
564,0.0061338969,1.02244,unk,DUF1014,
565,0.018314366,0.72531,unk,Colicin_im,
566,0.0020575827,-1.36728,met,Serpentine_recp,
567,0.099286146,0.46361,ps,Anticodon_1,
568,0.0051232063,1.16967,unk,Colicin_im,
569,0.0024688262,2.59394,unk,Tht1,
570,0.00020091845,1.25487,unk,LAG1,
571,0.31561482,0.22869,tr,NDK,
572,0.04591145,1.24296,nr,SPOC,
573,0.0014380299,1.87738,pm,Calreticulin,
574,0.037879459,-0.54654,st,Topoisom_bac,
575,0.019409288,1.24763,unk,Cas_TM1802,
576,0.0212758,0.46483,nr,SIR2,
577,0.00045005322,2.8104,unk,Serpentine_recp,
578,0.0010607424,0.92496,unk,AgrB,
579,0.039701665,-0.44569,tr,SRP_SPB,
580,0.00018176369,2.53625,unk,Hydrolase_3,
581,0.09850067,0.25583,met,Pribosyltran,
582,0.0020264674,1.93657,prot,Ribosomal_S30,
583,0.0059784556,-0.66596,unk,Cas_TM1802,
584,0.00011687415,-1.27666,tr,NTF2,
585,0.013420692,1.19935,tf,BAH,
586,0.074255216,0.27422,unk,7tm_2,
587,0.69511376,-0.09604,unk,DUF1523,
588,0.00049207104,1.51352,unk,DUF986,
589,0.76435061,-0.03892,tr,DUF1700,
590,0.028095978,1.80114,tf,HLH,
591,0.00030497501,-1.03586,unk,Deltaretro_Tax,
592,0.0035751924,-1.09603,tf,PBC,
593,0.01936406,0.32645,cs,MAD,
594,0.010822454,1.64425,ps,EF1G,
595,0.054185818,0.61827,extmat,Collagen,
596,0.10936442,0.13288,pm,Ricin_B_lectin,
597,0.14585205,0.44084,pm,Peptidase_M16_C,
598,0.11714883,0.34656,tr,Mtc,
599,0.10490621,0.57202,unk,DUF1509,
600,0.0093849662,0.43543,tm,Ribosomal_60s,
601,0.44405088,0.09657,unk,Cadherin_C,
602,0.029688469,0.61241,met,Serpentine_recp,
603,0.031716289,0.39827,st,efhand,
604,0.28615947,0.21481,tr,Sec62,
605,0.10568426,0.35653,unk,rve,
606,0.030346954,-0.72115,st,B56,
607,0.0024718014,-1.18928,cs,Cofilin_ADF,
608,0.0052091503,1.36858,tm,Ribosomal_S21e,
609,6.42E-05,0.86271,cs,4_1_CTD,
610,0.016907147,-0.36312,pm,zf-C3HC4,
611,0.11751389,-0.18728,pm,TTL,
612,0.001097514,1.66771,tr,AA_permease,
613,0.00027873069,3.28474,em,ICL,
614,0.0032445817,1.08511,unk,CMV_US,
615,0.64109454,0.0794,met,PGI,
616,0.041489727,0.03918,pm,HSP70,
617,0.0081548708,-0.75735,extmat,Collagen,
618,0.0021662898,-0.74231,met,Acyl-CoA_dh_1,
619,0.038754805,-0.70323,pm,DnaJ,
620,0.06029813,-0.62572,unk,uDENN,
621,0.00034467041,1.6061,unk,MM_CoA_mutase,
622,0.57731822,0.08889,met,PfkB,
623,0.0015348387,1.59524,pm,DUF226,
624,0.013445385,0.39585,unk,LolA,
625,0.11588569,-0.33951,nr,HABP4_PAI-RBP1,
626,0.0011747827,0.93636,st,Pkinase,
627,0.0005621237,-1.34457,nr,Linker_histone,
628,0.0045511279,-1.2787,pm,Thioredoxin,
629,0.0026187983,-1.39118,tr,Calx-beta,
630,0.41962611,-0.07375,met,2OG-FeII_Oxy,
631,0.0014932488,-0.94073,unk,Tic22,
632,0.026632934,0.68684,extmat,Gal-bind_lectin,
633,0.0016332275,-1.16852,unk,DUF858,
634,0.016023376,-0.66877,pm,Peptidase_M24,
635,0.31415373,0.15522,nr,Helicase_C,
636,0.0069285528,-0.54395,nr,Atrophin-1,
637,0.025319567,-0.98482,pm,Ank,
638,0.14821622,0.16116,st,FAA_hydrolase,
639,0.74560487,-0.05563,unk,Serpentine_recp,
640,0.91346945,0.02526,extmat,Vinculin,
641,0.14724652,-0.30195,pm,Kunitz_BPTI,
642,0.062614988,0.44855,met,Transket_pyr,
643,0.075128587,0.47833,tf,Coprinus_mating,
644,0.001111063,2.44859,pm,Thioredoxin,
645,0.010248967,-0.60997,nr,RRM_1,
646,0.020359899,-0.65173,st,DivIVA,
647,0.002131046,1.73517,unk,YfhO,
648,0.00070158495,-1.26058,em,V-ATPase_C,
649,0.0033218526,0.13583,tr,ABC_membrane,
650,0.058467716,0.40245,unk,DUF226,
651,0.31403648,-0.16699,nr,Herpes_BLLF1,
652,0.34159364,0.43007,met,Peptidase_M17,
653,0.0024557161,-0.57199,unk,VKG_Carbox,
654,0.75324846,-0.05502,pm,Proteasome,
655,0.0056430258,-0.47513,unk,Glutenin_hmw,
656,0.071588405,-0.85977,em,ATP-synt_ab,
657,0.0022776779,1.95808,em,PYC_OADA,
658,0.00027868089,-0.91508,tr,SecE,
659,0.0017082174,-0.5598,extmat,Collagen,
660,0.010963746,0.41121,unk,SKN1,
661,0.11119136,-0.51879,st,SSP160,
662,0.14689451,-0.16878,tr,PRD_Mga,
663,0.8952516,0.01449,unk,DUF850,
664,0.0037868156,-0.90992,nr,Smg4_UPF3,
665,0.86275423,-0.02185,extmat,Cofilin_ADF,
666,0.15736759,-0.35307,unk,SKN1,
667,0.027833433,-0.51019,unk,DUF290,
668,0.0066364331,-1.12561,st,DUF1189,
669,0.00012187009,-1.09648,unk, ,
670,0.34821475,0.50624,st,WD40,
671,0.020641281,0.65642,unk,RTX_C,
672,0.016484082,0.91377,unk,Saccharop_dh,
673,0.023648465,-0.69808,unk,Serpentine_recp,
674,0.41830053,-0.23556,em,Pyr_redox_2,
675,0.32696348,-0.13622,em,Pyr_redox_2,
676,0.51617816,-0.08703,unk,Totivirus_coat,
677,5.13E-05,1.5403,unk,Memo,
678,0.013543751,-1.02581,met,Methyltransf_3,
679,0.1612342,-0.21283,met,FTHFS,
680,0.0082783811,-0.94031,pm,DnaJ_C,
681,0.0032058989,-0.74286,pm,GST_N,
682,0.0069059161,1.17432,extmat,Thyroglobulin_1,
683,3.43E-05,0.88745,tf,HMG_box,
684,0.069157958,-0.48392,met,NAD_binding_5,
685,0.14507521,-0.25762,extmat,Drf_FH1,
686,0.002743607,-1.25496,unk,DUF1976,
687,0.98880115,-0.00414,met,VAR1,
688,0.1950952,0.40936,unk,Gp-FAR-1,
689,0.9678925,-0.00854,met,CTP_transf_2,
690,0.0090773047,-0.88807,unk,CRCB,
691,0.25686933,-0.18053,met,DUF1969,
692,0.05062403,0.28051,unk,DUF1430,
693,0.074360377,0.78121,tf,bZIP_2,
694,0.30249231,0.42215,unk,Sulfotransfer_1,
695,0.033702568,-0.49548,extmat,Collagen,
696,0.298197,-0.24954,cs,SF-assemblin,
697,0.018450795,-0.84761,tr,Ribonuc_red_lgN,
698,0.246622,0.24225,met,PP-binding,
699,0.021779537,-0.92345,unk,DUF1261,
700,0.0019204352,1.75484,em,Mito_carr,
701,0.00032595833,2.43393,unk,VKG_Carbox,
702,0.0085565664,-0.99669,unk,DUF667,
703,0.14351083,-0.33444,st,PID,
704,0.0021675506,-0.54211,st,Tenui_PV2,
705,0.0078079127,-0.82564,tf,SKN1,
706,0.11738002,1.38492,unk,DUF1430,
707,0.0088747181,-0.67045,tr,Caldesmon,
708,0.0049064662,-1.10738,tr,Ras,
709,0.00028771888,2.39565,extmat,ABC2_membrane,
710,0.097131033,0.16545,unk,Corona_S2,
711,0.13183209,0.16481,unk,Osteopontin,
712,0.01603462,0.39171,tm,Ribosomal_S27e,
713,0.1619359,0.71994,em,ATP-grasp_2,
714,0.65277243,0.13046,em,V-ATPase_H,
715,0.01322092,-0.52297,pm,zf-C3HC4,
716,0.042012807,0.92341,unk,ATP_bind_4,
717,0.0031162959,-0.89867,nr,Srg,
718,0.0015193569,-1.11215,unk,Serpentine_recp,
719,0.026410952,0.47948,unk,Sre,
720,0.00022796058,2.2057,unk,AHSA1,
721,0.17556657,-0.32339,unk,Serpentine_recp,
722,1.74E-05,3.05797,unk,API5,
723,0.014325682,1.28275,st,SH3_2,
724,0.047050614,0.31842,prot,UQ_con,
725,0.0014021689,0.94361,st,efhand,
726,0.095013093,-0.16632,unk,Mod_r,
727,0.71029099,-0.05316,unk,MreD,
728,0.04663286,-0.49427,extmat,Collagen,
729,0.048340319,-0.53624,met,Aminotran_3,
730,0.13556753,0.42496,tr,Arm,
731,0.00022692275,2.55059,unk,DUF148,
732,0.22320508,0.67939,nr,DEAD,
733,0.81789811,0.03619,unk,PBP,
734,0.0021388951,-0.73031,st,G-alpha,
735,0.46043473,0.12149,tf,Hormone_recep,
736,0.46944324,0.04582,em,Peptidase_M16,
737,0.053388417,-0.31762,em,Peptidase_M16,
738,0.014541344,-1.09474,met,p450,
739,0.011794763,-0.76602,met,p450,
740,0.12970429,-0.44767,met,p450,
741,0.0025882238,1.3813,pm,Peptidase_S24,
742,0.091666209,-0.24278,met,BAR,
743,0.22665939,-0.05904,unk,C4,
744,0.0029296036,0.68822,nr,Filament,
745,0.045761128,0.2868,pm,Viral_cys_rich,
746,0.011437215,-1.31573,unk,DNA_pol3_delta,
747,0.033418682,-0.22731,st,GRAM,
748,0.19914821,0.17297,unk,Glyco_hydro_32N,
749,0.098511592,0.16312,unk,Srb,
750,0.10790806,-0.32714,tm,Ribosomal_L14,
751,0.00041158255,1.29877,met,FA_desaturase,
752,0.0095918457,-0.71092,unk,YqfD,
753,0.020774352,-0.65488,prot,ThiF,
754,0.34510658,0.15915,em,NmrA,
755,0.0063424187,1.17418,unk,C4,
756,0.0052793613,-0.57656,pm,OST3_OST6,
757,0.00092152558,-1.24106,met,DAGK_acc,
758,0.001593774,-1.47485,unk,DUF936,
759,0.18872041,-0.2857,unk,Serpentine_recp,
760,0.0021462127,-0.59647,unk,Serpentine_recp,
761,0.12496882,0.83593,st,HEAT,
762,0.0019020385,1.2408,tr,EMP24_GP25L,
763,0.24962854,0.27282,unk,Sre,
764,0.018744971,0.63329,met,MAP65_ASE1,
765,0.00037604583,-0.86391,nr,Myosin_tail_1,
766,0.005604111,-1.24629,tr,Filament,
767,0.2487452,0.14787,unk,CHDCT2,
768,0.055248703,0.30574,prot,UQ_con,
769,0.00080617576,2.03449,tr,SPC22,
770,0.00015657316,3.62838,nr,zf-C2H2,
771,8.78E-05,2.30409,em,COX6A,
772,0.69380179,-0.07887,pm,AAA,
773,0.40676073,-0.14007,met,Pkinase,
774,0.02222433,1.10319,met,Carboxyl_trans,
775,0.012535511,0.70902,unk,Srg,
776,0.013360511,1.39945,cs,IATP,
777,0.57626323,-0.11609,unk,Pox_VERT_large,
778,0.095658595,0.47284,st,7tm_4,
779,0.24779185,0.18169,unk,Competence,
780,0.11653348,-0.67447,unk,Myosin_tail_1,
781,0.44927161,0.17665,tr,5_nucleotid,
782,0.0016729758,2.72266,unk,DUF729,
783,0.033600703,-0.83913,tr,ICln_channel,
784,0.41500219,0.21028,em,GRIM-19,
785,9.52E-05,2.34639,met,Lamp,
786,0.0055489581,-0.28597,em,Mito_carr,
787,0.37860693,-0.29086,tf,GAL11,
788,0.20916979,-0.37011,st,PP2C,
789,0.00080284771,-0.82151,met,Hydrolase,
790,0.00022139114,-1.15315,unk,Prefoldin,
791,0.0045281176,0.65332,unk,Serpentine_recp,
792,0.005005267,0.84702,nr,LUC7,
793,0.0014422625,1.74307,tr,Ras,
794,0.00063014165,2.19865,pm,14-3-3,
795,0.0038514648,-0.95764,ps,7TMR-DISM_7TM,
796,0.11725191,-0.36314,tr,Arm,
797,2.34E-05,3.21769,cs,Ank,
798,0.43407385,0.06675,em,Baculo_p47,
799,0.0029497635,1.68695,st,Y_phosphatase,
800,0.0025179737,1.03456,unk,Oxidored_q4,
801,0.21141542,0.27656,pm, ,
802,0.043998946,-0.17418,unk,Glyco_hydro_81,
803,0.040576844,0.63147,prot,UFD1,
804,0.0069031501,-0.69717,nr,Serpentine_recp,
805,0.0016814947,-0.58622,nr,Borrelia_orfA,
806,0.0022245962,-0.49028,unk,SHP,
807,0.00020554836,0.799,prot,UBA,
808,0.37057856,0.13373,imm,MAM33,
809,0.0043436382,2.10474,unk,OTU,
810,0.0018997812,-0.71081,pm,DnaJ_C,
811,0.1084875,0.45978,unk,CD47,
812,8.72E-05,-0.28327,tr,Serpentine_recp,
813,0.00097755368,1.25131,unk,UPF0220,
814,0.0020809509,-0.89302,unk,DUF1976,
815,0.025056404,0.66714,tm,Ribosomal_L18p,
816,0.45983748,0.3161,pm,IPP-2,
817,0.015228107,-0.8616,st,PAS,
818,0.28980278,0.33616,unk,adh_short,
819,0.00051726979,-1.20007,met,Pkinase,
820,0.0017834847,0.41759,nr,SKG6,
821,0.0013768786,-0.70553,tr_st,FIBP,
822,0.5947843,0.061,tr_st,WzyE,
823,0.003615134,0.34602,met,PAF-AH_p_II,
824,0.0018682025,-0.89944,unk,Late_protein_L1,
825,7.77E-05,2.80418,tf,zf-CCCH,
826,0.034332704,-0.84618,unk,Competence,
827,0.0037647397,1.14625,em,Cytochrom_C,
828,0.12851153,0.15312,met,Carboxyl_trans,
829,0.0058426029,0.60882,met,UDPGP,
830,0.78786261,-0.06935,met,Methyltransf_12,
831,0.00048185384,2.7307,unk,MpPF26,
832,0.3910223,-0.11935,unk,Cutinase,
833,0.00022800691,-0.6397,em,Citrate_synt,
834,0.0011247173,-1.3312,unk,Caps_synth,
835,0.0140676,1.08217,em,CI-B14_5a,
836,0.00034860441,1.58042,unk,G-gamma,
837,0.051580582,-0.56531,unk,HMG_box,
838,0.0062004926,1.19554,extmat,Gal-bind_lectin,
839,0.001854147,-0.66382,unk,YfhO,
840,7.55E-05,2.78762,unk,Ldh_2,
841,0.0037362897,-0.93241,nr,zf-CCCH,
842,0.080977421,0.40726,unk,DUF148,
843,0.013432586,-0.55448,met,MoeA_N,
844,0.013606663,-0.83484,unk,7TMR-DISM_7TM,
845,0.27093754,0.13726,cs,Myosin_tail_1,
846,0.35239041,-0.06768,tr,Cation_ATPase_N,
847,8.22E-05,0.94926,tr,Ras,
848,0.0065945102,-0.88081,unk,DUF747,
849,0.09922893,-0.33112,pm,Proteasome,
850,0.024597292,-0.39743,tr,SecY,
851,0.42844042,-0.1304,unk,fn3,
852,0.072449995,-0.69888,unk,YibE_F,
853,0.0010025842,1.43882,pm,Cpn60_TCP1,
854,0.005533201,-1.61025,cs,NLE,
855,0.0021164915,-0.88333,extmat,TIL,
856,0.051258881,-0.12458,st,Pkinase,
857,0.0062076712,-0.37554,pm,PFEMP,
858,0.012965026,-0.47805,unk,ET,
859,0.83033508,0.02002,em,Aldedh,
860,0.042702331,-0.35452,st,Kelch_1,
861,0.99139647,0.00333,tf,pKID,
862,0.00084904713,-0.98268,unk,AFG1_ATPase,
863,0.95935724,-0.0067,tr,PH,
864,0.53925696,0.20263,tr,Serpentine_recp,
865,0.14874767,0.18626,nr,RRM_1,
866,0.0026113415,-0.80921,tr,Serpentine_recp,
867,0.002509252,1.15792,pm,Rubella_E2,
868,0.031513795,0.92435,prot,UBA,
869,0.0061746363,0.35878,unk,Ras,
870,0.01355198,2.16439,st,Srb,
871,0.034767028,1.457,pm,PCI,
872,0.22883043,0.51791,st,PH,
873,0.00044211352,-0.50951,cs,Extensin_2,
874,0.020267838,-0.29901,unk, ,
875,0.019244206,-0.78081,unk,UAA,
876,0.0057608299,1.07604,unk,AFG1_ATPase,
877,0.00048894444,2.71244,unk,DUF2031,
878,0.0089440226,-0.36969,pm,Cir_Bir_Yir,
879,0.00074992736,-0.89984,em,Cyt-b5,
880,0.28156202,0.31012,pm,Thioredoxin,
881,0.13337173,0.19164,met,Thiolase_N,
882,0.015044398,-2.05472,unk, ,
883,0.0011455734,-1.26893,tr,Annexin,
884,0.055344241,0.50749,ps,Mov34,
885,0.41762893,0.11177,pm,Asp,
886,0.0052255183,-0.76641,unk,Sra,
887,0.3994332,-0.09355,tr,MFS_1,
888,0.47480954,-0.07016,unk,TMA7,
889,0.0024789079,2.36834,tr,Snf7,
890,0.077819079,0.12838,tr,SNARE,
891,0.001246215,-1.38107,tr_tf,Serpentine_recp,
892,0.0012181173,-1.24267,tr,Metallothio,
893,0.17813644,0.55844,pm,CD47,
894,0.00047930509,2.37771,unk,Herpes_BMRF2,
895,0.41258163,0.09679,tm,RNA_pol_Rpb1_5,
896,0.81720024,-0.06477,extmat,Metallothio,
897,0.0011688405,1.22628,nr,XPA_C,
898,0.0093156138,-0.71051,nr,DUF1777,
899,0.2867332,0.16328,unk,TFIIA,
900,0.00074869908,2.59055,st,Pkinase,
901,1.84E-05,3.90191,unk,Innexin,
902,0.0063498438,2.28335,unk,DUF1976,
903,0.50300952,-0.17402,unk,START,
904,0.01762409,0.4492,unk,RAMP4,
905,0.00083548478,1.35241,met,PTPLA,
906,0.44411444,-0.21121,st,Pkinase,
907,0.48707592,0.15513,em,Lyase_1,
908,0.15063902,-0.24029,em,Fer2,
909,0.53521919,0.10933,ps,tRNA-synt_2,
910,0.49389294,0.1089,pm,GST_C,
911,0.015418281,-0.43185,met,iPGM_N,
912,0.00069840774,-1.09601,pm,DnaJ,
913,0.0037251174,1.01594,em,Fer2,
914,0.071665831,-0.33545,ps,GTP_EFTU,
915,0.10805027,0.56714,em,Ldh_1_C,
916,0.0076175228,1.483,pm,AAA_2,
917,0.03874442,-0.63096,nr,SSB,
918,0.007427522,0.74583,em,COX5B,
919,0.030732345,-0.43066,unk,Serpentine_recp,
920,0.67512366,0.11353,st,FH2,
921,0.0015203076,-0.75747,met,Palm_thioest,
922,0.057342063,-0.47424,met,Serpentine_recp,
923,0.43209239,0.14737,unk,aPHC,
924,0.0013639674,-1.19392,ps,CHDNT,
925,0.040271886,-0.5189,tm,Ribosomal_L44,
926,0.11277502,-0.57286,unk,Zona_pellucida,
927,0.0025221094,-1.17637,tr,ABC_tran,
928,0.12337008,-0.43737,unk,Serinc,
929,0.1051877,-0.33193,tm,Ribosomal_L35Ae,
930,0.024409427,-0.45328,unk,HECT,
931,0.0061298651,0.96466,tr,Lectin_leg-like,
932,0.13473385,0.40833,unk,CHB_HEX,
933,0.43255217,-0.06734,unk,Serpentine_recp,
934,0.42466859,-0.07904,met,PGK,
935,0.058580306,0.97566,pm,Asp,
936,0.042801289,-0.78782,cs,PDZ,
937,0.054756073,0.66663,st,Serpentine_recp,
938,0.0012832822,-0.59639,pm,PC_rep,
939,0.00070103915,-1.63674,unk,DUF99,
940,0.39324126,0.10699,pm,Thioredoxin,
941,0.70707538,-0.06008,pm,HATPase_c,
942,0.20569022,-0.39584,tf,Arch_ATPase,
943,0.021106274,-0.93154,unk,Alg6_Alg8,
944,0.014079495,-0.47312,extmat,Gal-bind_lectin,
945,0.0016334572,-1.49247,nr,RRM_1,
946,0.0052505488,-0.76687,cs,Myosin_head,
947,0.0012976305,-1.53601,pm,Peptidase_S9,
948,0.00050739551,-1.10832,em,ETF,
949,0.11327246,-0.17208,unk,Herpes_BLLF1,
950,0.33979998,-0.10065,unk,DUF605,
951,0.045826102,-0.68121,unk,7tm_4,
952,0.18443009,-0.41297,st,RhoGEF,
953,0.11135682,-0.40423,unk,TIR,
954,0.0014466828,-1.35583,unk,Rer1,
955,0.00539201,-1.33138,nr,DEAD,
956,0.064265213,0.22055,met,Glyco_transf_8,
957,0.10321955,-0.41735,unk,UPF0060,
958,0.00032458684,-1.42173,unk,zf-TRAF,
959,0.19756842,-0.18081,extmat,Collagen,
960,0.0028452486,-0.70318,extmat,Collagen,
961,0.035466318,-0.50394,unk,ASFV_360,
962,0.068293972,0.92852,tf,DM,
963,0.18655181,0.23761,em,CHCH,
964,0.90188227,0.0144,em,DUF1344,
965,0.11501942,-0.49702,met,Carboxyl_trans,
966,0.25127278,-0.20011,unk,Serpentine_recp,
967,0.0015149312,-1.55711,met,PSS,
968,5.70E-05,-1.08497,unk,DUF1157,
969,0.8634559,0.02764,met,KH_1,
970,0.0020000909,-1.66494,unk,MpPF26,
971,0.10015729,0.69112,pm,HSP20,
972,0.044735681,-0.34741,unk,SH3_2,
973,0.0014127327,-1.40818,unk,DIE2_ALG10,
974,0.00065680351,-1.50841,unk,DcpS,
975,0.00022838714,1.18537,cs,Profilin,
976,0.0015540554,-1.73365,met,Glyco_transf_22,
977,0.17844286,0.40981,pm,Mov34,
978,0.00030269097,1.80465,unk,7tm_4,
979,0.75171484,-0.09104,unk,Serpentine_recp,
980,0.18668175,-0.25077,tf,zf-C2H2,
981,0.00052420426,-0.43523,tf,PHD,
982,0.19296814,-0.18974,tf,SNF2_N,
983,0.0016316502,-1.27567,unk,DUF134,
984,0.02608387,0.8568,pm,Cpn60_TCP1,
985,0.041138794,0.51968,unk,Ldh_2,
986,0.0059010303,-1.29504,nr,zf-CCCH,
987,0.17510405,0.22611,tf,Fork_head,
988,0.040951777,-0.49065,em,Amino_oxidase,
989,0.0060359438,-0.57508,ps,tRNA-synt_1,
990,0.31092016,-0.25461,tr,GPP34,
991,0.03982768,-0.953,unk,GN3L_Grn1,
992,0.024188734,0.53799,cs,Ras,
993,0.005857803,-1.0744,unk,DUF1235,
994,0.11042028,-0.32442,nr,7tm_7,
995,0.0068255816,3.27488,unk,DUF57,
996,0.68642544,0.06136,tf,Exo_endo_phos,
997,0.045231742,-0.32802,em,Mt_ATP-synt_D,
998,0.085379754,-0.37892,cs,Tubulin,
999,0.0047373063,-0.79458,met,Aldo_ket_red,
1000,2.96E-05,2.94509,unk,HupF_HypC,
1001,0.029699224,-0.83745,met,p450,
1002,0.15076229,0.53679,pm,Cpn60_TCP1,
1003,0.28741595,-0.35141,ps,Extensin_2,
1004,0.4699679,-0.11577,unk,SerH,
1005,0.21311449,-0.2732,unk,PAN_1,
1006,0.500656,-0.09779,prot,ubiquitin,
1007,0.97358807,0.00533,em,Aconitase,
1008,0.014807025,0.80578,met,Trehalase,
1009,0.34774786,0.19527,st,EGF,
1010,0.047280365,-0.56324,unk,Sulfate_transp,
1011,0.020803244,-0.82037,cs,Myosin_tail_1,
1012,0.28071454,0.27742,unk,DUF1430,
1013,0.062660924,-0.566,unk,DUF1600,
1014,0.0026802175,-0.46178,met,Carn_acyltransf,
1015,0.76978398,-0.02682,nr,DUF1157,
1016,0.12989687,0.25428,cs,Myosin_tail_1,
1017,0.084093403,0.20625,unk,Destabilase,
1018,0.1606006,0.20522,unk,COesterase,
1019,0.00074604698,-1.01971,st,SRP40_C,
1020,0.0019312919,-1.45343,unk,DUF1461,
1021,0.048429656,-0.49778,met,GATase_2,
1022,0.035638616,0.92121,tm,Ribosomal_S19e,
1023,0.062491674,-0.75077,cs,Drf_FH1,
1024,0.099563485,-0.64931,unk,ERM,
1025,0.10650756,-0.56017,unk,Prion,
1026,0.90364721,-0.03549,met,Sdh_cyt,
1027,0.060902257,0.30656,unk,7tm_4,
1028,0.34550536,-0.16578,nr,TatC,
1029,0.057174063,-0.70867,extmat,Collagen,
1030,0.0079767486,0.94017,unk,7TM-7TMR_HD,
1031,0.05188161,-0.57122,nr,Intg_mem_TP0381,
1032,0.0065541731,0.95954,unk,PspA_IM30,
1033,0.0097196767,-1.2604,unk,BcsB,
1034,0.0022111607,-1.3481,unk,DB,
1035,0.021656408,-0.42405,unk,DUF1877,
1036,0.0045538509,-1.25986,tf, ,
1037,0.0010774951,-1.45137,tf,TAFII55_N,
1038,0.00098467925,1.97082,unk, ,
1039,0.0052238574,-0.97126,met,PGAM,
1040,0.11489438,0.33757,nr,Serpentine_recp,
1041,0.0021690659,2.5312,unk,DUF257,
1042,0.34114463,0.11744,cs,ERM,
1043,0.61001258,0.04434,unk,CDK5_activator,
1044,0.00088746557,-1.13547,ps,MAGE,
1045,0.034949792,-0.69398,unk,Redoxin,
1046,0.00071767421,-1.42158,st,IMD,
1047,0.0034876308,-1.27776,nr,7TMR-DISM_7TM,
1048,0.057943085,-0.67194,unk,PB1,
1049,0.036144425,-0.60957,tr,Adaptin_N,
1050,0.14028838,0.7013,cs,Myosin_tail_1,
1051,0.012757882,-0.77773,st,Ndc1_Nup,
1052,0.0010167132,1.10561,em,ATP-synt_D,
1053,0.020022678,-0.44824,met,Lipase_GDSL,
1054,0.012280769,-0.69081,st,Extensin_2,
1055,0.00040934758,-1.70597,st,DUF112,
1056,0.0037341008,-0.64489,met,Hexokinase_1,
1057,0.13351228,-0.23355,pm,Cpn60_TCP1,
1058,0.030336495,-0.38464,nr,LSM,
1059,0.043722551,-0.87701,met,PMI_typeI,
1060,0.87964228,0.01702,unk,YfhO,
1061,0.00026463922,-1.35745,unk,PDZ,
1062,0.17936543,-0.18673,unk,ABC_membrane,
1063,0.5050857,0.22639,st,DUF1792,
1064,0.060815106,-0.20875,st,Serpentine_recp,
1065,0.09110241,-0.45659,em,ETC_C1_NDUFA5,
1066,0.0034194658,-0.89809,tr,Ammonium_transp,
1067,0.36182594,-0.27041,extmat,Collagen,
1068,0.026983523,-0.36124,nr,VAR1,
1069,0.0059846756,-0.70469,st,Acyl_transf_3,
1070,0.0062574309,-1.04744,unk,Serpentine_recp,
1071,0.06867139,0.65516,unk,Carb_anhydrase,
1072,0.00048486457,-0.94458,st,Ras,
1073,0.011314067,0.90394,unk,Voltage_CLC,
1074,0.0093162939,0.73771,tm,RNA_pol_Rpb8,
1075,0.079064579,0.99649,pm,Proteasome,
1076,0.001724812,-1.14372,nr,G-alpha,
1077,0.17603925,-0.20868,st,PX,
1078,0.0022664728,-0.60032,unk,VAR1,
1079,0.0035431578,-0.86428,tf,Amelogenin,
1080,0.21994433,-0.14029,unk,Pox_ser-thr_kin,
1081,0.0061439617,-1.17413,unk,Innexin,
1082,0.0072776837,1.26954,unk,YfhO,
1083,0.01727022,1.11905,unk,FA_hydroxylase,
1084,0.0023738095,-0.57404,st,Rnf-Nqr,
1085,0.06768685,0.77677,pm,DUF263,
1086,0.0059008267,-0.45934,cs,Serpentine_recp,
1087,0.0043291295,1.32989,unk,Glyco_transf_52,
1088,0.0012880026,-0.9847,nr,Ribonuclease_3,
1089,0.00019169573,0.96745,cs,Calponin,
1090,0.00053262527,2.94926,unk,MGDG_synth,
1091,0.32428731,0.09138,tr,ABC_tran,
1092,0.022566428,0.98796,unk,DUF241,
1093,0.77916387,-0.04786,unk,KAR9,
1094,0.00012519085,3.21473,met,LNS2,
1095,0.0059197202,-0.85387,prot,UQ_con,
1096,0.004452868,-0.63886,unk,Sre,
1097,0.86486638,-0.016,unk,VKG_Carbox,
1098,0.0043210116,-0.39121,nr,PSP,
1099,0.043579855,-1.04235,ps,PseudoU_synth_1,
1100,0.00097814903,-1.45425,tf,zf-C4,
1101,0.22725135,0.3002,unk,Oxidored_q3,
1102,0.0064295072,-1.22695,unk,P4Ha_N,
1103,0.54714845,-0.11187,extmat,Drf_FH1,
1104,0.029482312,-0.52778,unk,Papilloma_E5,
1105,0.12623726,0.85721,unk,DUF764,
1106,0.29541819,-0.13853,extmat,Col_cuticle_N,
1107,0.013596335,-1.13986,tr,DUF1980,
1108,0.00067566294,-1.79357,unk,DUF334,
1109,0.002165918,-0.69591,st,PTB,
1110,0.009934749,0.6225,met,ADH_zinc_N,
1111,0.014818731,-0.8013,tr,Nuc_H_symport,
1112,0.10886997,-0.3848,pm,Thioredoxin,
1113,0.0057938762,1.09984,unk,WW,
1114,0.0099173235,-1.01134,unk,TatC,
1115,0.021819507,-0.5091,tr,Arf,
1116,0.075153762,0.52237,pm,HSP90,
1117,0.019676138,-0.57702,nr,SNF2_N,
1118,0.0034422053,-0.60253,st,COesterase,
1119,0.06071441,-0.62065,tf,TFIIS,
1120,0.040258257,-0.40893,unk,Lipase_2,
1121,0.0011419013,2.236,unk,DUF290,
1122,0.00071403954,-1.56581,met,Glyco_hydro_63,
