Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date,Labels
Gloucester.GBR/46.12/2/D8,Kt732238,2012-11-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732238,2012.88,Genbank,2012-11-xx,unknown
Teeside.GBR/9.13/5/D8,Kt732243,2013-02-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732243,2013.16,Genbank,2013-02-xx,Aa: C: V73i; L: N55d; P: G80d; V: G80d;
Teeside.GBR/9.13/4/D8,Kt732246,2013-02-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732246,2013.08,Genbank,2013-02-xx,unknown
Lincoln.GBR/15.13/D8,Kt732256,2013-04-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732256,2013.31,Genbank,2013-04-xx,Aa: L: D641g;
Teeside.GBR/18.13/2/D8,Kt732258,2013-05-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732258,2013.33,Genbank,2013-05-xx,unknown
NewcastleuponTyne.GBR/16.13/D8,Kt732254,2013-04-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732254,2013.25,Genbank,2013-04-xx,unknown
Teeside.GBR/16.13/6/D8,Kt732253,2013-04-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732253,2013.25,Genbank,2013-04-xx,unknown
Teeside.GBR/9.13/3/D8,Kt732244,2013-02-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732244,2013.16,Genbank,2013-02-xx,unknown
Coventry.GBR/40.12/D8,Kt732235,2012-10-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732235,2012.77,Genbank,2012-10-xx,unknown
Coventry.GBR/42.12/2/D8,Kt732236,2012-10-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732236,2012.77,Genbank,2012-10-xx,unknown
Manchester.GBR/30.13/D8,Kt732261,2013-07-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732261,2013.58,Genbank,2013-07-xx,Aa: F: V38i E247g; H: G325s; M: T2a; P: L246v; V: L246v;
Dodewaard.NLD/29.13/D8,Mg912592,2013-01-01,Europe,Netherlands,Netherlands,Phan Et Al,Unpublished,Complete Genome Sequences Of Six Measles Virus Strains,https://www.ncbi.nlm.nih.gov/nuccore/MG912592,2013.71,Genbank,2013-xx-xx,Aa: C: T82m;
London.GBR/20.13/2/D8,Kt732260,2013-05-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732260,2013.41,Genbank,2013-05-xx,Aa: P: K444r;
London.GBR/21.13/D8,Kt732259,2013-05-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732259,2013.33,Genbank,2013-05-xx,unknown
Crewe.GBR/46.12/D8,Kt732239,2012-11-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732239,2012.91,Genbank,2012-11-xx,unknown
Exeter.GBR/52.12/D8,Kt732242,2012-12-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732242,2012.92,Genbank,2012-12-xx,unknown
Swansea.GBR/16.13/5/D8,Kt732255,2013-04-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732255,2013.27,Genbank,2013-04-xx,unknown
Swansea.GBR/9.13/D8,Kt732245,2013-02-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732245,2013.16,Genbank,2013-02-xx,unknown
Swansea.GBR/13.13/4/D8,Kt732248,2013-03-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732248,2013.16,Genbank,2013-03-xx,unknown
Swansea.GBR/10.13/D8,Kt732247,2013-03-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732247,2013.16,Genbank,2013-03-xx,Aa: F: N426d;
Taunton.GBR/15.13/D8,Kt732252,2013-04-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732252,2013.27,Genbank,2013-04-xx,unknown
Swansea.GBR/16.13/2/D8,Kt732251,2013-04-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732251,2013.27,Genbank,2013-04-xx,unknown
Swansea.GBR/15.13/D8,Kt732249,2013-04-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732249,2013.27,Genbank,2013-04-xx,unknown
Swansea.GBR/17.13/9/D8,Kt732257,2013-04-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732257,2013.27,Genbank,2013-04-xx,unknown
Swansea.GBR/14.13/4/D8,Kt732250,2013-04-01,Europe,United Kingdom,?,Penedos Et Al,Plos One 10  11  E0143081  2015 ,Assessment Of The Utility Of Whole Genome Sequencing Of Measles Virus In The Characterisation Of Outbreaks,https://www.ncbi.nlm.nih.gov/nuccore/KT732250,2013.27,Genbank,2013-04-xx,unknown
