Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date
LIBR0430,Kr006955,2014-12-03,Subsaharan Africa,Liberia,Grand Bassa,Kugelman Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR006955,2014.92,Genbank,2014-12-03
LIBR10051,Kt725368,2014-10-01,Subsaharan Africa,Liberia,Liberia,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725368,2014.75,Genbank,2014-10-01
LIBR10056,Kt725276,2014-09-23,Subsaharan Africa,Liberia,Margibi,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725276,2014.73,Genbank,2014-09-23
Makona-201403261,Kp240932,2014-09-26,Subsaharan Africa,Liberia,Liberia,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP240932,2014.73,Genbank,2014-09-26
LIBR0090,Kr006945,2014-11-08,Subsaharan Africa,Liberia,Margibi,Kugelman Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR006945,2014.85,Genbank,2014-11-08
LIBR10053,Kr006963,2014-10-01,Subsaharan Africa,Liberia,Liberia,Kugelman Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR006963,2014.75,Genbank,2014-10-01
LIBR10040,Kt725314,2014-08-04,Subsaharan Africa,Liberia,Liberia,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725314,2014.59,Genbank,2014-08-04
LIBR10042,Kt725261,2014-08-04,Subsaharan Africa,Liberia,Liberia,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725261,2014.59,Genbank,2014-08-04
LIBR10151,Kt725317,2014-09-09,Subsaharan Africa,Liberia,Liberia,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725317,2014.69,Genbank,2014-09-09
LIBR10267,Kt725374,2014-10-05,Subsaharan Africa,Liberia,Montserrado,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725374,2014.76,Genbank,2014-10-05
LIBR0177,Kt725279,2014-11-14,Subsaharan Africa,Liberia,Montserrado,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725279,2014.87,Genbank,2014-11-14
LIBR0067,Kr006943,2014-11-06,Subsaharan Africa,Liberia,Bomi,Kugelman Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR006943,2014.85,Genbank,2014-11-06
LIBR0118,Kt725291,2014-11-10,Subsaharan Africa,Liberia,Bomi,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725291,2014.86,Genbank,2014-11-10
LIBR10169,Kt725382,2014-08-24,Subsaharan Africa,Liberia,Liberia,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725382,2014.64,Genbank,2014-08-24
LIBR10076,Kt725334,2014-09-20,Subsaharan Africa,Liberia,Liberia,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725334,2014.72,Genbank,2014-09-20
LIBR10251,Kt725319,2014-09-15,Subsaharan Africa,Liberia,Grand Kru,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725319,2014.70,Genbank,2014-09-15
LIBR10261,Kt725287,2014-10-14,Subsaharan Africa,Liberia,Sinoe,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725287,2014.78,Genbank,2014-10-14
LIBR0503,Kr006956,2014-12-10,Subsaharan Africa,Liberia,Sinoe,Kugelman Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR006956,2014.94,Genbank,2014-12-10
LIBR0505,Kr006957,2014-12-10,Subsaharan Africa,Liberia,Sinoe,Kugelman Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR006957,2014.94,Genbank,2014-12-10
LIBR10252,Kt725266,2014-09-15,Subsaharan Africa,Liberia,Grand Kru,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725266,2014.70,Genbank,2014-09-15
LIBR0176,Kr006951,2014-11-14,Subsaharan Africa,Liberia,Montserrado,Kugelman Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR006951,2014.87,Genbank,2014-11-14
LIBR0284,Kt725328,2014-11-22,Subsaharan Africa,Liberia,Grand Cape Mount,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725328,2014.89,Genbank,2014-11-22
LIBR0286,Kr006952,2014-11-22,Subsaharan Africa,Liberia,Grand Cape Mount,Kugelman Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR006952,2014.89,Genbank,2014-11-22
V1205,Kr534538,2014-10-02,Subsaharan Africa,Guinea,Conakry,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534538,2014.75,Genbank,2014-10-02
LIBR10062,Kt725359,2014-09-23,Subsaharan Africa,Liberia,Liberia,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725359,2014.73,Genbank,2014-09-23
LIBR10204,Kt725281,2014-08-27,Subsaharan Africa,Liberia,Liberia,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725281,2014.65,Genbank,2014-08-27
EM_000457,Kr817075,2014-09-12,Subsaharan Africa,Guinea,Macenta,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817075,2014.70,Genbank,2014-09-12
EM_075435,Kr817133,2014-08-30,Subsaharan Africa,Guinea,Kerouane,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817133,2014.66,Genbank,2014-08-30
Conakry_633,Kr534512,2014-08-12,Subsaharan Africa,Guinea,Gueckedou,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534512,2014.61,Genbank,2014-08-12
V789,Kr534523,2014-08-29,Subsaharan Africa,Guinea,Dubreka,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534523,2014.66,Genbank,2014-08-29
V691,Kr534518,2014-08-21,Subsaharan Africa,Guinea,Conakry,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534518,2014.64,Genbank,2014-08-21
V1321,Kr534547,2014-10-07,Subsaharan Africa,Guinea,Coyah,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534547,2014.76,Genbank,2014-10-07
V1340,Kr534551,2014-10-08,Subsaharan Africa,Guinea,Conakry,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534551,2014.77,Genbank,2014-10-08
V1210,Kr534539,2014-10-02,Subsaharan Africa,Guinea,Conakry,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534539,2014.75,Genbank,2014-10-02
V1274,Kr534542,2014-10-04,Subsaharan Africa,Guinea,Coyah,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534542,2014.76,Genbank,2014-10-04
V1355,Kr534553,2014-10-09,Subsaharan Africa,Guinea,Coyah,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534553,2014.77,Genbank,2014-10-09
V1445,Kr534559,2014-10-14,Subsaharan Africa,Guinea,Conakry,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534559,2014.78,Genbank,2014-10-14
V1342,Kr534552,2014-10-08,Subsaharan Africa,Guinea,Conakry,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534552,2014.77,Genbank,2014-10-08
V1339,Kr534550,2014-10-08,Subsaharan Africa,Guinea,Coyah,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534550,2014.77,Genbank,2014-10-08
Makona-Mali-DPR2,Kp260800,2014-11-12,Subsaharan Africa,Guinea,Guinea,Hoenen Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP260800,2014.86,Genbank,2014-11-12
EM_075928,Kr817135,2014-10-10,Subsaharan Africa,Guinea,Beyla,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817135,2014.77,Genbank,2014-10-10
Makona-Mali-DPR1,Kp260799,2014-10-23,Subsaharan Africa,Guinea,Guinea,Hoenen Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KP260799,2014.81,Genbank,2014-10-23
EM_075929,Kr817136,2014-10-10,Subsaharan Africa,Guinea,Beyla,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817136,2014.77,Genbank,2014-10-10
EM_075930,Kr817137,2014-10-10,Subsaharan Africa,Guinea,Beyla,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817137,2014.77,Genbank,2014-10-10
EM_075373,Kr817132,2014-08-30,Subsaharan Africa,Guinea,Macenta,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817132,2014.66,Genbank,2014-08-30
V768,Kr534588,2014-08-27,Subsaharan Africa,Guinea,Conakry,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534588,2014.65,Genbank,2014-08-27
EM_076335,Kr817147,2014-10-23,Subsaharan Africa,Guinea,Kerouane,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817147,2014.81,Genbank,2014-10-23
EM_076334,Kr817146,2014-10-23,Subsaharan Africa,Guinea,Kerouane,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817146,2014.81,Genbank,2014-10-23
V1491,Kr534576,2014-10-16,Subsaharan Africa,Guinea,Conakry,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534576,2014.79,Genbank,2014-10-16
EM_078556,Kr817163,2014-12-01,Subsaharan Africa,Guinea,Kankan,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817163,2014.91,Genbank,2014-12-01
EM_078656,Kr817168,2014-12-09,Subsaharan Africa,Guinea,Kouroussa,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817168,2014.94,Genbank,2014-12-09
EM_078639,Kr817166,2014-12-04,Subsaharan Africa,Guinea,Kankan,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817166,2014.92,Genbank,2014-12-04
EM_078670,Kr817169,2014-12-11,Subsaharan Africa,Guinea,Kankan,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817169,2014.94,Genbank,2014-12-11
EM_078638,Kr817165,2014-12-03,Subsaharan Africa,Guinea,Kankan,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817165,2014.92,Genbank,2014-12-03
EM_078415,Kr817160,2014-11-24,Subsaharan Africa,Guinea,Faranah,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817160,2014.90,Genbank,2014-11-24
EM_004494,Kr817101,2015-01-14,Subsaharan Africa,Guinea,Faranah,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817101,2015.04,Genbank,2015-01-14
EM_078416,Kr817161,2014-11-24,Subsaharan Africa,Guinea,Faranah,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817161,2014.90,Genbank,2014-11-24
EM_076615,Kr817154,2014-11-03,Subsaharan Africa,Guinea,Macenta,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817154,2014.84,Genbank,2014-11-03
EM_075076,Kr817130,2014-08-23,Subsaharan Africa,Guinea,Gueckedou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817130,2014.64,Genbank,2014-08-23
LIBR10050,Kt725270,2014-10-01,Subsaharan Africa,Liberia,Liberia,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725270,2014.75,Genbank,2014-10-01
LIBR10061,Kt725376,2014-09-23,Subsaharan Africa,Liberia,Montserrado,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725376,2014.73,Genbank,2014-09-23
EM_076217,Kr817144,2014-10-19,Subsaharan Africa,Guinea,Macenta,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817144,2014.80,Genbank,2014-10-19
EM_075932,Kr817139,2014-10-10,Subsaharan Africa,Guinea,Macenta,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817139,2014.77,Genbank,2014-10-10
LIBR10055,Kt725340,2014-09-23,Subsaharan Africa,Liberia,Bomi,Ladner Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KT725340,2014.73,Genbank,2014-09-23
EM_078683,Kr817170,2014-12-11,Subsaharan Africa,Guinea,Kerouane,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817170,2014.94,Genbank,2014-12-11
EM_076472,Kr817150,2014-10-29,Subsaharan Africa,Guinea,Macenta,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817150,2014.82,Genbank,2014-10-29
EM_004201,Kr817093,2014-12-24,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817093,2014.98,Genbank,2014-12-24
EM_004259,Kr817094,2014-12-26,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817094,2014.98,Genbank,2014-12-26
EM_078763,Kr817176,2014-12-17,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817176,2014.96,Genbank,2014-12-17
EM_004059,Kr817090,2014-12-20,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817090,2014.97,Genbank,2014-12-20
EM_078706,Kr817173,2014-12-15,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817173,2014.95,Genbank,2014-12-15
EM_004422,Kr817097,2015-01-02,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817097,2015.00,Genbank,2015-01-02
EM_004438,Kr817099,2015-01-04,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817099,2015.01,Genbank,2015-01-04
EM_004437,Kr817098,2015-01-04,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817098,2015.01,Genbank,2015-01-04
EM_004414,Kr817096,2015-01-02,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817096,2015.00,Genbank,2015-01-02
EM_078722,Kr817175,2014-12-16,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817175,2014.96,Genbank,2014-12-16
EM_078779,Kr817177,2014-12-18,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817177,2014.96,Genbank,2014-12-18
EM_078694,Kr817171,2014-12-14,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817171,2014.95,Genbank,2014-12-14
EM_004085,Kr817091,2014-12-19,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817091,2014.96,Genbank,2014-12-19
EM_004290,Kr817095,2014-12-27,Subsaharan Africa,Guinea,Kissidougou,Carroll Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR817095,2014.99,Genbank,2014-12-27
G3846,Km233109,2014-06-18,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233109,2014.46,Genbank,2014-06-18
G3713,Km233050,2014-06-09,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233050,2014.44,Genbank,2014-06-09
G3819,Km233093,2014-06-15,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233093,2014.45,Genbank,2014-06-15
G3817,Km233091,2014-06-15,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233091,2014.45,Genbank,2014-06-15
G4348.1,Kr105241,2014-07-09,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105241,2014.52,Genbank,2014-07-09
EM104,Km233035,2014-06-02,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233035,2014.42,Genbank,2014-06-02
G3949.1,Kr105209,2014-06-24,Subsaharan Africa,Sierra Leone,Sierra Leone,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105209,2014.48,Genbank,2014-06-24
G3750,Km233058,2014-06-10,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233058,2014.44,Genbank,2014-06-10
G4235.1,Kr105220,2014-07-11,Subsaharan Africa,Sierra Leone,Kailahun,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105220,2014.52,Genbank,2014-07-11
G3952.1,Kr105211,2014-06-25,Subsaharan Africa,Sierra Leone,Kailahun,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105211,2014.48,Genbank,2014-06-25
G3818,Km233092,2014-06-15,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233092,2014.45,Genbank,2014-06-15
G3770,Km233069,2014-06-12,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233069,2014.44,Genbank,2014-06-12
EM119,Km233042,2014-06-03,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233042,2014.42,Genbank,2014-06-03
G3826,Km233100,2014-06-16,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233100,2014.45,Genbank,2014-06-16
G3827,Km233101,2014-06-16,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233101,2014.45,Genbank,2014-06-16
G3822,Km233096,2014-06-15,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233096,2014.45,Genbank,2014-06-15
G3821,Km233095,2014-06-15,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233095,2014.45,Genbank,2014-06-15
G3809,Km233086,2014-06-15,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233086,2014.45,Genbank,2014-06-15
G3816,Km233090,2014-06-15,Subsaharan Africa,Sierra Leone,Kailahun,Gire Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KM233090,2014.45,Genbank,2014-06-15
G5012.3,Kr105292,2014-08-15,Subsaharan Africa,Sierra Leone,Western Area,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105292,2014.62,Genbank,2014-08-15
V20140254,Kr653296,2014-08-29,Subsaharan Africa,Sierra Leone,Bo,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653296,2014.66,Genbank,2014-08-29
G5640.1,Kr105313,2014-09-11,Subsaharan Africa,Sierra Leone,Sierra Leone,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105313,2014.69,Genbank,2014-09-11
G4382.1,Kr105244,2014-07-16,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105244,2014.54,Genbank,2014-07-16
G5016.1,Kr105293,2014-08-16,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105293,2014.62,Genbank,2014-08-16
V653,Kr534514,2014-08-15,Subsaharan Africa,Guinea,Conakry,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534514,2014.62,Genbank,2014-08-15
G4419.1,Kr105249,2014-07-19,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105249,2014.54,Genbank,2014-07-19
G4217.1,Kr105218,2014-07-08,Subsaharan Africa,Sierra Leone,Bo,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105218,2014.51,Genbank,2014-07-08
V20141012,Kr653244,2014-09-21,Subsaharan Africa,Sierra Leone,Pujehun,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653244,2014.72,Genbank,2014-09-21
G5879.1,Kr105330,2014-09-22,Subsaharan Africa,Sierra Leone,Pujehun,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105330,2014.72,Genbank,2014-09-22
V20140100,Kr653241,2014-08-24,Subsaharan Africa,Sierra Leone,Pujehun,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653241,2014.64,Genbank,2014-08-24
G6060.1,Kr105342,2014-09-25,Subsaharan Africa,Sierra Leone,Pujehun,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105342,2014.73,Genbank,2014-09-25
V20141643,Kr653233,2014-10-04,Subsaharan Africa,Sierra Leone,Pujehun,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653233,2014.76,Genbank,2014-10-04
G3926.2,Kr105208,2014-06-22,Subsaharan Africa,Sierra Leone,Kailahun,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105208,2014.47,Genbank,2014-06-22
G4416.1,Kr105248,2014-07-18,Subsaharan Africa,Sierra Leone,Bo,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105248,2014.54,Genbank,2014-07-18
G4433.1,Kr105254,2014-07-20,Subsaharan Africa,Sierra Leone,Kailahun,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105254,2014.55,Genbank,2014-07-20
V1211,Kr534540,2014-10-02,Subsaharan Africa,Guinea,Dalaba,Simon-loriere Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR534540,2014.75,Genbank,2014-10-02
G5571.1,Kr105311,2014-09-08,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105311,2014.68,Genbank,2014-09-08
G5731.1,Kr105320,2014-09-16,Subsaharan Africa,Sierra Leone,Moyamba,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105320,2014.71,Genbank,2014-09-16
G5765.1,Kr105326,2014-09-16,Subsaharan Africa,Sierra Leone,Moyamba,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105326,2014.71,Genbank,2014-09-16
G5844.1,Kr105328,2014-09-21,Subsaharan Africa,Sierra Leone,Moyamba,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105328,2014.72,Genbank,2014-09-21
V20141061,Kr653250,2014-09-21,Subsaharan Africa,Sierra Leone,Moyamba,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653250,2014.72,Genbank,2014-09-21
G5767.1,Kr105327,2014-09-16,Subsaharan Africa,Sierra Leone,Sierra Leone,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105327,2014.71,Genbank,2014-09-16
G5737.1,Kr105321,2014-09-16,Subsaharan Africa,Sierra Leone,Moyamba,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105321,2014.71,Genbank,2014-09-16
G4415.1,Kr105247,2014-07-18,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105247,2014.54,Genbank,2014-07-18
G4406.1,Kr105246,2014-07-18,Subsaharan Africa,Sierra Leone,Kono,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105246,2014.54,Genbank,2014-07-18
V20140038,Kr653267,2014-08-23,Subsaharan Africa,Sierra Leone,Tonkolili,Whitmer Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR653267,2014.64,Genbank,2014-08-23
G5059.1,Kr105296,2014-08-18,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105296,2014.63,Genbank,2014-08-18
G4324.1,Kr105233,2014-07-14,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105233,2014.53,Genbank,2014-07-14
G4325.1,Kr105234,2014-07-14,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105234,2014.53,Genbank,2014-07-14
G4701.1,Kr105264,2014-08-03,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105264,2014.59,Genbank,2014-08-03
G4702.1,Kr105265,2014-08-03,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105265,2014.59,Genbank,2014-08-03
G4316.1,Kr105231,2014-07-13,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105231,2014.53,Genbank,2014-07-13
G4389.1,Kr105245,2014-07-16,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105245,2014.54,Genbank,2014-07-16
G4345.1,Kr105239,2014-07-18,Subsaharan Africa,Sierra Leone,Kenema,Goba Et Al,unknown,unknown,https://www.ncbi.nlm.nih.gov/nuccore/KR105239,2014.54,Genbank,2014-07-18
