,Sort ,State,FIPS ,County ,CountySeat(s) ,Population(2010),LandAreakm2 ,LandAreami2 ,WaterAreakm2 ,WaterAreami2 ,TotalAreakm2 ,TotalAreami2 ,Latitude ,Longitude,Hover
889,890,KS,20003,Anderson,Garnett,"8,102","1,501.276",579.646,10.587,4.088,"1,511.863",583.734,38.215114,-95.292046,Anderson<br>KS<br>20003
890,891,KS,20005,Atchison,Atchison,"16,924","1,116.730",431.172,6.858,2.648,"1,123.587",433.820,39.532544,-95.313398,Atchison<br>KS<br>20005
891,892,KS,20007,Barber,Medicine Lodge,"4,861","2,937.236","1,134.073",5.420,2.093,"2,942.656","1,136.166",37.222906,-98.685052,Barber<br>KS<br>20007
892,893,KS,20009,Barton,Great Bend,"27,674","2,319.075",895.400,13.557,5.234,"2,332.632",900.634,38.481239,-98.767837,Barton<br>KS<br>20009
893,894,KS,20011,Bourbon,Fort Scott,"15,173","1,645.862",635.471,9.378,3.621,"1,655.239",639.092,37.856100,-94.850928,Bourbon<br>KS<br>20011
894,895,KS,20013,Brown,Hiawatha,"9,984","1,478.552",570.872,3.196,1.234,"1,481.748",572.106,39.825931,-95.569905,Brown<br>KS<br>20013
895,896,KS,20015,Butler,El Dorado,"65,880","3,703.329","1,429.863",43.160,16.664,"3,746.490","1,446.527",37.773681,-96.838762,Butler<br>KS<br>20015
896,897,KS,20017,Chase,Cottonwood Falls,"2,790","2,002.217",773.060,12.088,4.667,"2,014.305",777.727,38.298553,-96.594064,Chase<br>KS<br>20017
897,898,KS,20019,Chautauqua,Sedan,"3,669","1,654.693",638.881,15.244,5.886,"1,669.937",644.767,37.154259,-96.245396,Chautauqua<br>KS<br>20019
898,899,KS,20021,Cherokee,Columbus,"21,603","1,521.794",587.568,8.949,3.455,"1,530.742",591.023,37.169392,-94.845698,Cherokee<br>KS<br>20021
899,900,KS,20023,Cheyenne,St. Francis,"2,726","2,641.496","1,019.887",2.738,1.057,"2,644.234","1,020.944",39.789256,-101.727302,Cheyenne<br>KS<br>20023
900,901,KS,20025,Clark,Ashland,"2,215","2,524.286",974.632,6.605,2.550,"2,530.891",977.182,37.233831,-99.813869,Clark<br>KS<br>20025
901,902,KS,20027,Clay,Clay Center,"8,535","1,671.322",645.301,26.674,10.299,"1,697.996",655.600,39.344964,-97.168853,Clay<br>KS<br>20027
902,903,KS,20029,Cloud,Concordia,"9,533","1,852.727",715.342,6.860,2.649,"1,859.586",717.991,39.487329,-97.641390,Cloud<br>KS<br>20029
903,904,KS,20031,Coffey,Burlington,"8,601","1,623.784",626.947,70.311,27.147,"1,694.095",654.094,38.236450,-95.729137,Coffey<br>KS<br>20031
904,905,KS,20033,Comanche,Coldwater,"1,891","2,041.681",788.298,3.604,1.392,"2,045.286",789.690,37.189071,-99.254089,Comanche<br>KS<br>20033
905,906,KS,20035,Cowley,Winfield,"36,311","2,915.680","1,125.750",17.291,6.676,"2,932.971","1,132.426",37.234507,-96.837247,Cowley<br>KS<br>20035
906,907,KS,20037,Crawford,Girard,"39,134","1,527.462",589.756,13.611,5.255,"1,541.073",595.011,37.505628,-94.853941,Crawford<br>KS<br>20037
907,908,KS,20039,Decatur,Oberlin,"2,961","2,314.199",893.517,1.632,0.630,"2,315.831",894.147,39.783542,-100.459708,Decatur<br>KS<br>20039
908,909,KS,20041,Dickinson,Abilene,"19,754","2,193.907",847.072,12.635,4.878,"2,206.541",851.950,38.867735,-97.157943,Dickinson<br>KS<br>20041
909,910,KS,20043,Doniphan,Troy,"7,945","1,018.915",393.405,12.615,4.871,"1,031.530",398.276,39.788502,-95.147225,Doniphan<br>KS<br>20043
910,911,KS,20045,Douglas,Lawrence,"110,826","1,180.700",455.871,48.603,18.766,"1,229.303",474.637,38.896573,-95.290529,Douglas<br>KS<br>20045
911,912,KS,20047,Edwards,Kinsley,"3,037","1,610.697",621.894,0.209,0.081,"1,610.906",621.975,37.883595,-99.304746,Edwards<br>KS<br>20047
912,913,KS,20049,Elk,Howard,"2,882","1,668.638",644.265,16.061,6.201,"1,684.699",650.466,37.456026,-96.244642,Elk<br>KS<br>20049
913,914,KS,20051,Ellis,Hays,"28,452","2,330.762",899.912,1.197,0.462,"2,331.960",900.374,38.914596,-99.317329,Ellis<br>KS<br>20051
914,915,KS,20053,Ellsworth,Ellsworth,"6,497","1,854.035",715.847,19.270,7.440,"1,873.305",723.287,38.700845,-98.205355,Ellsworth<br>KS<br>20053
915,916,KS,20055,Finney,Garden City,"36,776","3,372.080","1,301.967",1.826,0.705,"3,373.905","1,302.672",38.049855,-100.739929,Finney<br>KS<br>20055
916,917,KS,20057,Ford,Dodge City,"33,848","2,844.508","1,098.271",2.097,0.810,"2,846.606","1,099.081",37.688365,-99.884734,Ford<br>KS<br>20057
917,918,KS,20059,Franklin,Ottawa,"25,992","1,480.840",571.756,13.936,5.381,"1,494.776",577.137,38.558019,-95.278962,Franklin<br>KS<br>20059
918,919,KS,20061,Geary,Junction City,"34,362",996.157,384.618,51.455,19.867,"1,047.612",404.485,39.002155,-96.768038,Geary<br>KS<br>20061
919,920,KS,20063,Gove,Gove City,"2,695","2,775.599","1,071.665",0.245,0.095,"2,775.844","1,071.760",38.917239,-100.487360,Gove<br>KS<br>20063
920,921,KS,20065,Graham,Hill City,"2,597","2,327.161",898.522,0.599,0.231,"2,327.760",898.753,39.349445,-99.880952,Graham<br>KS<br>20065
921,922,KS,20067,Grant,Ulysses,"7,829","1,488.725",574.800,0.892,0.345,"1,489.617",575.145,37.547537,-101.299362,Grant<br>KS<br>20067
922,923,KS,20069,Gray,Cimarron,"6,006","2,250.356",868.867,1.113,0.430,"2,251.470",869.297,37.744513,-100.451716,Gray<br>KS<br>20069
923,924,KS,20071,Greeley,Tribune,"1,247","2,016.177",778.450,-,-,"2,016.177",778.450,38.480408,-101.805984,Greeley<br>KS<br>20071
924,925,KS,20073,Greenwood,Eureka,"6,689","2,961.133","1,143.300",24.156,9.327,"2,985.288","1,152.627",37.878659,-96.242232,Greenwood<br>KS<br>20073
925,926,KS,20075,Hamilton,Syracuse,"2,690","2,580.943",996.508,2.905,1.121,"2,583.847",997.629,37.995244,-101.793689,Hamilton<br>KS<br>20075
926,927,KS,20077,Harper,Anthony,"6,034","2,075.276",801.269,3.913,1.511,"2,079.190",802.780,37.188184,-98.066590,Harper<br>KS<br>20077
927,928,KS,20079,Harvey,Newton,"34,684","1,397.957",539.754,2.508,0.968,"1,400.465",540.722,38.050144,-97.436707,Harvey<br>KS<br>20079
928,929,KS,20081,Haskell,Sublette,"4,256","1,495.773",577.521,0.910,0.352,"1,496.683",577.873,37.558550,-100.876869,Haskell<br>KS<br>20081
929,930,KS,20083,Hodgeman,Jetmore,"1,916","2,227.369",859.992,0.826,0.319,"2,228.196",860.311,38.087493,-99.898407,Hodgeman<br>KS<br>20083
930,931,KS,20085,Jackson,Holton,"13,462","1,699.594",656.217,4.666,1.802,"1,704.261",658.019,39.410989,-95.794509,Jackson<br>KS<br>20085
931,932,KS,20087,Jefferson,Oskaloosa,"19,126","1,379.360",532.574,62.427,24.103,"1,441.787",556.677,39.239644,-95.375314,Jefferson<br>KS<br>20087
932,933,KS,20089,Jewell,Mankato,"3,077","2,356.322",909.781,11.860,4.579,"2,368.182",914.360,39.777010,-98.222584,Jewell<br>KS<br>20089
933,934,KS,20091,Johnson,Olathe,"544,179","1,226.034",473.375,16.891,6.522,"1,242.925",479.897,38.883907,-94.822330,Johnson<br>KS<br>20091
934,935,KS,20093,Kearny,Lakin,"3,977","2,254.697",870.543,1.134,0.438,"2,255.831",870.981,37.994461,-101.308136,Kearny<br>KS<br>20093
935,936,KS,20095,Kingman,Kingman,"7,858","2,236.099",863.363,8.536,3.296,"2,244.636",866.659,37.552951,-98.144529,Kingman<br>KS<br>20095
936,937,KS,20097,Kiowa,Greensburg,"2,553","1,871.627",722.639,0.597,0.230,"1,872.224",722.869,37.561231,-99.286539,Kiowa<br>KS<br>20097
937,938,KS,20099,Labette,Oswego,"21,607","1,671.305",645.295,20.261,7.823,"1,691.567",653.118,37.191468,-95.297473,Labette<br>KS<br>20099
938,939,KS,20101,Lane,Dighton,"1,750","1,858.200",717.455,0.551,0.213,"1,858.751",717.668,38.481286,-100.466185,Lane<br>KS<br>20101
939,940,KS,20103,Leavenworth,Leavenworth,"76,227","1,198.727",462.831,15.906,6.141,"1,214.632",468.972,39.189511,-95.038977,Leavenworth<br>KS<br>20103
940,941,KS,20105,Lincoln,Lincoln Center,"3,241","1,863.227",719.396,2.748,1.061,"1,865.975",720.457,39.047276,-98.214265,Lincoln<br>KS<br>20105
941,942,KS,20107,Linn,Mound City,"9,656","1,538.605",594.059,31.951,12.337,"1,570.556",606.396,38.216549,-94.844932,Linn<br>KS<br>20107
942,943,KS,20109,Logan,Oakley,"2,756","2,779.042","1,072.994",0.275,0.106,"2,779.317","1,073.100",38.913270,-101.157407,Logan<br>KS<br>20109
943,944,KS,20111,Lyon,Emporia,"33,690","2,194.948",847.474,20.572,7.943,"2,215.520",855.417,38.455498,-96.161589,Lyon<br>KS<br>20111
944,945,KS,20113,McPherson,Marion,"29,180","2,326.520",898.274,6.030,2.328,"2,332.550",900.602,38.395812,-97.647489,McPherson<br>KS<br>20113
945,946,KS,20115,Marion,Marysville,"12,660","2,445.701",944.290,24.449,9.440,"2,470.150",953.730,38.359647,-97.102771,Marion<br>KS<br>20115
946,947,KS,20117,Marshall,McPherson,"10,117","2,331.463",900.183,12.754,4.924,"2,344.217",905.107,39.782709,-96.521243,Marshall<br>KS<br>20117
947,948,KS,20119,Meade,Meade,"4,575","2,533.235",978.088,3.258,1.258,"2,536.493",979.346,37.243886,-100.360094,Meade<br>KS<br>20119
948,949,KS,20121,Miami,Paola,"32,787","1,490.956",575.661,37.800,14.595,"1,528.755",590.256,38.566772,-94.832963,Miami<br>KS<br>20121
949,950,KS,20123,Mitchell,Beloit,"6,373","1,817.633",701.792,44.980,17.367,"1,862.613",719.159,39.393026,-98.207362,Mitchell<br>KS<br>20123
950,951,KS,20125,Montgomery,Independence,"35,471","1,666.728",643.527,20.602,7.954,"1,687.330",651.481,37.189537,-95.742403,Montgomery<br>KS<br>20125
951,952,KS,20127,Morris,Council Grove,"5,923","1,800.764",695.279,19.711,7.610,"1,820.475",702.889,38.687696,-96.644905,Morris<br>KS<br>20127
952,953,KS,20129,Morton,Elkhart,"3,233","1,889.993",729.731,0.508,0.196,"1,890.501",729.927,37.185250,-101.809516,Morton<br>KS<br>20129
953,954,KS,20131,Nemaha,Seneca,"10,178","1,858.126",717.427,5.208,2.011,"1,863.334",719.438,39.791043,-96.005381,Nemaha<br>KS<br>20131
954,955,KS,20133,Neosho,Erie,"16,512","1,480.106",571.472,16.374,6.322,"1,496.481",577.794,37.564283,-95.315683,Neosho<br>KS<br>20133
955,956,KS,20135,Ness,Ness City,"3,107","2,783.591","1,074.750",0.667,0.258,"2,784.258","1,075.008",38.480437,-99.908745,Ness<br>KS<br>20135
956,957,KS,20137,Norton,Norton,"5,671","2,274.357",878.134,8.195,3.164,"2,282.552",881.298,39.783867,-99.899235,Norton<br>KS<br>20137
957,958,KS,20139,Osage,Lyndon,"16,295","1,827.284",705.518,37.107,14.327,"1,864.391",719.845,38.649706,-95.727275,Osage<br>KS<br>20139
958,959,KS,20141,Osborne,Osborne,"3,858","2,311.574",892.504,4.806,1.856,"2,316.380",894.360,39.348649,-98.767876,Osborne<br>KS<br>20141
959,960,KS,20143,Ottawa,Minneapolis,"6,091","1,866.689",720.733,1.561,0.603,"1,868.251",721.336,39.137963,-97.654803,Ottawa<br>KS<br>20143
960,961,KS,20145,Pawnee,Larned,"6,973","1,953.532",754.263,0.992,0.383,"1,954.524",754.646,38.182873,-99.232154,Pawnee<br>KS<br>20145
961,962,KS,20147,Phillips,Phillipsburg,"5,642","2,294.410",885.877,22.493,8.685,"2,316.904",894.562,39.784506,-99.342150,Phillips<br>KS<br>20147
962,963,KS,20149,Pottawatomie,Westmoreland,"21,604","2,178.236",841.022,54.103,20.889,"2,232.339",861.911,39.382187,-96.337113,Pottawatomie<br>KS<br>20149
963,964,KS,20151,Pratt,Pratt,"9,656","1,903.757",735.045,1.754,0.677,"1,905.511",735.722,37.647594,-98.740120,Pratt<br>KS<br>20151
964,965,KS,20153,Rawlins,Atwood,"2,519","2,769.776","1,069.416",0.416,0.160,"2,770.191","1,069.576",39.786198,-101.076738,Rawlins<br>KS<br>20153
965,966,KS,20155,Reno,Hutchinson,"64,511","3,251.332","1,255.346",43.417,16.764,"3,294.750","1,272.110",37.948185,-98.078346,Reno<br>KS<br>20155
966,967,KS,20157,Republic,Belleville,"4,980","1,857.982",717.371,7.967,3.076,"1,865.949",720.447,39.828910,-97.650921,Republic<br>KS<br>20157
967,968,KS,20159,Rice,Lyons,"10,083","1,880.945",726.237,4.470,1.726,"1,885.415",727.963,38.347178,-98.201415,Rice<br>KS<br>20159
968,969,KS,20161,Riley,Manhattan,"71,115","1,579.300",609.771,31.558,12.185,"1,610.859",621.956,39.291211,-96.727489,Riley<br>KS<br>20161
969,970,KS,20163,Rooks,Stockton,"5,181","2,306.470",890.533,11.962,4.619,"2,318.432",895.152,39.346006,-99.324492,Rooks<br>KS<br>20163
970,971,KS,20165,Rush,La Crosse,"3,307","1,858.998",717.763,0.545,0.210,"1,859.542",717.973,38.523592,-99.309183,Rush<br>KS<br>20165
971,972,KS,20167,Russell,Russell,"6,970","2,295.403",886.260,34.127,13.176,"2,329.529",899.436,38.916839,-98.765638,Russell<br>KS<br>20167
972,973,KS,20169,Saline,Salina,"55,606","1,865.374",720.225,2.810,1.085,"1,868.183",721.310,38.786327,-97.650153,Saline<br>KS<br>20169
973,974,KS,20171,Scott,Scott City,"4,936","1,858.430",717.544,0.306,0.118,"1,858.736",717.662,38.481877,-100.906360,Scott<br>KS<br>20171
974,975,KS,20173,Sedgwick,Wichita,"498,365","2,583.544",997.512,30.067,11.609,"2,613.611","1,009.121",37.683807,-97.459451,Sedgwick<br>KS<br>20173
975,976,KS,20175,Seward,Liberal,"22,952","1,656.291",639.497,2.563,0.989,"1,658.853",640.486,37.180585,-100.854741,Seward<br>KS<br>20175
976,977,KS,20177,Shawnee,Topeka,"177,934","1,408.996",544.016,30.330,11.710,"1,439.326",555.726,39.041805,-95.755664,Shawnee<br>KS<br>20177
977,978,KS,20179,Sheridan,Hoxie,"2,556","2,320.518",895.957,0.647,0.250,"2,321.166",896.207,39.350543,-100.441206,Sheridan<br>KS<br>20179
978,979,KS,20181,Sherman,Goodland,"6,010","2,735.199","1,056.066",0.548,0.212,"2,735.748","1,056.278",39.351352,-101.719859,Sherman<br>KS<br>20181
979,980,KS,20183,Smith,Smith Center,"3,853","2,319.243",895.465,3.884,1.500,"2,323.128",896.965,39.784660,-98.785430,Smith<br>KS<br>20183
980,981,KS,20185,Stafford,St. John,"4,437","2,051.390",792.046,7.435,2.871,"2,058.825",794.917,38.035630,-98.719889,Stafford<br>KS<br>20185
981,982,KS,20187,Stanton,Johnson City,"2,235","1,762.086",680.345,0.180,0.070,"1,762.266",680.415,37.565932,-101.789383,Stanton<br>KS<br>20187
982,983,KS,20189,Stevens,Hugoton,"5,724","1,883.679",727.293,0.465,0.180,"1,884.144",727.473,37.202356,-101.315796,Stevens<br>KS<br>20189
983,984,KS,20191,Sumner,Wellington,"24,132","3,061.212","1,181.941",7.806,3.014,"3,069.019","1,184.955",37.236663,-97.493349,Sumner<br>KS<br>20191
984,985,KS,20193,Thomas,Colby,"7,900","2,783.425","1,074.687",0.288,0.111,"2,783.714","1,074.798",39.357706,-101.083439,Thomas<br>KS<br>20193
985,986,KS,20195,Trego,WaKeeney,"3,001","2,303.737",889.478,26.282,10.148,"2,330.019",899.626,38.921302,-99.865423,Trego<br>KS<br>20195
986,987,KS,20197,Wabaunsee,Alma,"7,053","2,057.232",794.302,13.775,5.318,"2,071.007",799.620,38.955154,-96.201262,Wabaunsee<br>KS<br>20197
987,988,KS,20199,Wallace,Sharon Springs,"1,485","2,366.348",913.652,0.141,0.054,"2,366.489",913.706,38.926626,-101.771103,Wallace<br>KS<br>20199
988,989,KS,20201,Washington,Washington,"5,799","2,317.406",894.756,10.140,3.915,"2,327.546",898.671,39.776714,-97.095611,Washington<br>KS<br>20201
989,990,KS,20203,Wichita,Leoti,"2,234","1,861.082",718.568,0.062,0.024,"1,861.144",718.592,38.481922,-101.347434,Wichita<br>KS<br>20203
990,991,KS,20205,Wilson,Fredonia,"9,409","1,477.377",570.418,12.057,4.655,"1,489.434",575.073,37.558515,-95.745175,Wilson<br>KS<br>20205
991,992,KS,20207,Woodson,Yates Center,"3,309","1,289.347",497.820,19.252,7.433,"1,308.599",505.253,37.888484,-95.757553,Woodson<br>KS<br>20207
992,993,KS,20209,Wyandotte,Kansas City,"157,505",392.642,151.600,11.895,4.593,404.538,156.193,39.115384,-94.763087,Wyandotte<br>KS<br>20209
993,994,KY,21001,Adair,Columbia,"18,656","1,049.677",405.283,18.432,7.117,"1,068.109",412.400,37.105541,-85.281401,Adair<br>KY<br>21001
994,995,KY,21003,Allen,Scottsville,"19,956",891.830,344.338,19.493,7.526,911.323,351.864,36.750770,-86.192458,Allen<br>KY<br>21003
995,996,KY,21005,Anderson,Lawrenceburg,"21,421",522.742,201.832,6.315,2.438,529.057,204.270,38.005396,-84.986417,Anderson<br>KY<br>21005
996,997,KY,21007,Ballard,Wickliffe,"8,249",638.844,246.659,70.009,27.031,708.853,273.690,37.051120,-89.009178,Ballard<br>KY<br>21007
997,998,KY,21009,Barren,Glasgow,"42,173","1,262.725",487.541,32.267,12.458,"1,294.992",499.999,36.963614,-85.924990,Barren<br>KY<br>21009
998,999,KY,21011,Bath,Owingsville,"11,591",722.068,278.792,13.500,5.212,735.568,284.004,38.152249,-83.737641,Bath<br>KY<br>21011
999,1000,KY,21013,Bell,Pineville,"28,691",929.807,359.000,5.481,2.116,935.288,361.116,36.722680,-83.681046,Bell<br>KY<br>21013
1000,1001,KY,21015,Boone,Burlington,"118,811",638.067,246.359,26.172,10.105,664.239,256.464,38.974595,-84.731444,Boone<br>KY<br>21015
1001,1002,KY,21017,Bourbon,Paris,"19,985",750.370,289.719,4.851,1.873,755.220,291.592,38.202562,-84.209860,Bourbon<br>KY<br>21017
1002,1003,KY,21019,Boyd,Catlettsburg,"49,542",414.046,159.864,5.589,2.158,419.635,162.022,38.360004,-82.681406,Boyd<br>KY<br>21019
1003,1004,KY,21021,Boyle,Danville,"28,432",466.635,180.169,6.458,2.493,473.093,182.662,37.618200,-84.873016,Boyle<br>KY<br>21021
1004,1005,KY,21023,Bracken,Brooksville,"8,488",532.533,205.612,8.637,3.335,541.170,208.947,38.678523,-84.100355,Bracken<br>KY<br>21023
1005,1006,KY,21025,Breathitt,Jackson,"13,878","1,275.344",492.413,7.392,2.854,"1,282.737",495.267,37.521178,-83.322401,Breathitt<br>KY<br>21025
1006,1007,KY,21027,Breckinridge,Hardinsburg,"20,059","1,468.969",567.172,47.782,18.449,"1,516.751",585.621,37.778109,-86.432829,Breckinridge<br>KY<br>21027
1007,1008,KY,21029,Bullitt,Shepherdsville,"74,319",769.288,297.024,8.394,3.241,777.682,300.265,37.969572,-85.703036,Bullitt<br>KY<br>21029
1008,1009,KY,21031,Butler,Morgantown,"12,690","1,103.562",426.088,13.948,5.385,"1,117.511",431.473,37.207013,-86.682471,Butler<br>KY<br>21031
1009,1010,KY,21033,Caldwell,Princeton,"12,984",893.005,344.791,8.703,3.360,901.707,348.151,37.148643,-87.870510,Caldwell<br>KY<br>21033
1010,1011,KY,21035,Calloway,Murray,"37,191",997.201,385.021,66.498,25.675,"1,063.699",410.696,36.620978,-88.274086,Calloway<br>KY<br>21035
1011,1012,KY,21037,Campbell,"Alexandria, Newport","90,336",391.887,151.308,21.010,8.112,412.897,159.420,38.946981,-84.379583,Campbell<br>KY<br>21037
1012,1013,KY,21039,Carlisle,Bardwell,"5,104",490.632,189.434,24.723,9.546,515.355,198.980,36.857726,-88.975757,Carlisle<br>KY<br>21039
1013,1014,KY,21041,Carroll,Carrollton,"10,811",332.993,128.569,22.651,8.746,355.644,137.315,38.668284,-85.124083,Carroll<br>KY<br>21041
1014,1015,KY,21043,Carter,Grayson,"27,720","1,060.590",409.496,6.801,2.626,"1,067.391",412.122,38.309555,-83.048821,Carter<br>KY<br>21043
1015,1016,KY,21045,Casey,Liberty,"15,955","1,150.550",444.230,3.901,1.506,"1,154.451",445.736,37.321962,-84.928220,Casey<br>KY<br>21045
1016,1017,KY,21047,Christian,Hopkinsville,"73,955","1,858.324",717.503,16.936,6.539,"1,875.261",724.042,36.893388,-87.493554,Christian<br>KY<br>21047
1017,1018,KY,21049,Clark,Winchester,"35,613",653.877,252.463,6.974,2.693,660.851,255.156,37.970133,-84.144974,Clark<br>KY<br>21049
1018,1019,KY,21051,Clay,Manchester,"21,730","1,215.345",469.247,4.763,1.839,"1,220.108",471.086,37.164466,-83.710763,Clay<br>KY<br>21051
1019,1020,KY,21053,Clinton,Albany,"10,272",510.864,197.246,21.164,8.172,532.028,205.418,36.729124,-85.153499,Clinton<br>KY<br>21053
1020,1021,KY,21055,Crittenden,Marion,"9,315",932.271,359.952,28.979,11.189,961.250,371.141,37.358149,-88.105010,Crittenden<br>KY<br>21055
1021,1022,KY,21057,Cumberland,Burkesville,"6,856",790.417,305.182,14.830,5.726,805.247,310.908,36.784227,-85.393499,Cumberland<br>KY<br>21057
1022,1023,KY,21059,Daviess,Owensboro,"96,656","1,187.111",458.346,47.211,18.228,"1,234.322",476.574,37.731671,-87.087139,Daviess<br>KY<br>21059
1023,1024,KY,21061,Edmonson,Brownsville,"12,161",784.464,302.883,13.262,5.121,797.726,308.004,37.227856,-86.217778,Edmonson<br>KY<br>21061
1024,1025,KY,21063,Elliott,Sandy Hook,"7,852",606.874,234.315,2.611,1.008,609.484,235.323,38.116425,-83.097541,Elliott<br>KY<br>21063
1025,1026,KY,21065,Estill,Irvine,"14,672",655.469,253.078,6.558,2.532,662.027,255.610,37.692460,-83.963927,Estill<br>KY<br>21065
1026,1027,KY,21067,Fayette,Lexington,"295,803",734.649,283.649,4.923,1.901,739.571,285.550,38.040157,-84.458443,Fayette<br>KY<br>21067
1027,1028,KY,21069,Fleming,Flemingsburg,"14,348",902.720,348.542,7.185,2.774,909.905,351.316,38.368431,-83.706152,Fleming<br>KY<br>21069
1028,1029,KY,21071,Floyd,Prestonsburg,"39,451","1,018.758",393.345,6.114,2.361,"1,024.872",395.706,37.558283,-82.740337,Floyd<br>KY<br>21071
1029,1030,KY,21073,Franklin,Frankfort,"49,285",538.061,207.747,11.037,4.262,549.099,212.009,38.234919,-84.868786,Franklin<br>KY<br>21073
1030,1031,KY,21075,Fulton,Hickman,"6,813",532.252,205.504,65.047,25.115,597.299,230.619,36.552620,-89.187723,Fulton<br>KY<br>21075
1031,1032,KY,21077,Gallatin,Warsaw,"8,589",262.195,101.234,9.023,3.484,271.218,104.718,38.760184,-84.862114,Gallatin<br>KY<br>21077
1032,1033,KY,21079,Garrard,Lancaster,"16,912",595.897,230.077,10.019,3.868,605.916,233.945,37.630162,-84.545856,Garrard<br>KY<br>21079
1033,1034,KY,21081,Grant,Williamstown,"24,662",668.125,257.965,7.255,2.801,675.380,260.766,38.649210,-84.625946,Grant<br>KY<br>21081
1034,1035,KY,21083,Graves,Mayfield,"37,121","1,429.007",551.743,13.067,5.045,"1,442.074",556.788,36.723344,-88.649897,Graves<br>KY<br>21083
1035,1036,KY,21085,Grayson,Leitchfield,"25,746","1,286.442",496.698,37.122,14.333,"1,323.563",511.031,37.458577,-86.344011,Grayson<br>KY<br>21085
1036,1037,KY,21087,Green,Greensburg,"11,258",740.825,286.034,7.136,2.755,747.961,288.789,37.269637,-85.561403,Green<br>KY<br>21087
1037,1038,KY,21089,Greenup,Greenup,"36,910",891.983,344.397,26.036,10.053,918.020,354.450,38.563596,-82.933833,Greenup<br>KY<br>21089
1038,1039,KY,21091,Hancock,Hawesville,"8,565",486.017,187.652,29.096,11.234,515.114,198.886,37.843389,-86.792773,Hancock<br>KY<br>21091
1039,1040,KY,21093,Hardin,Elizabethtown,"105,543","1,614.282",623.278,17.763,6.858,"1,632.045",630.136,37.695836,-85.963183,Hardin<br>KY<br>21093
1040,1041,KY,21095,Harlan,Harlan,"29,278","1,206.488",465.828,6.016,2.323,"1,212.504",468.151,36.859223,-83.221497,Harlan<br>KY<br>21095
1041,1042,KY,21097,Harrison,Cynthiana,"18,846",793.479,306.364,9.059,3.498,802.538,309.862,38.443489,-84.332796,Harrison<br>KY<br>21097
1042,1043,KY,21099,Hart,Munfordville,"18,199","1,067.297",412.086,14.929,5.764,"1,082.227",417.850,37.313856,-85.881995,Hart<br>KY<br>21099
1043,1044,KY,21101,Henderson,Henderson,"46,250","1,130.968",436.669,76.691,29.611,"1,207.659",466.280,37.792542,-87.572577,Henderson<br>KY<br>21101
1044,1045,KY,21103,Henry,New Castle,"15,416",741.450,286.276,12.553,4.847,754.003,291.123,38.451561,-85.120079,Henry<br>KY<br>21103
1045,1046,KY,21105,Hickman,Clinton,"4,902",627.488,242.274,27.882,10.765,655.370,253.039,36.675916,-88.972020,Hickman<br>KY<br>21105
1046,1047,KY,21107,Hopkins,Madisonville,"46,920","1,403.761",541.995,32.168,12.420,"1,435.929",554.415,37.311070,-87.542196,Hopkins<br>KY<br>21107
1047,1048,KY,21109,Jackson,McKee,"13,494",894.065,345.201,3.398,1.312,897.463,346.513,37.403320,-84.020686,Jackson<br>KY<br>21109
1048,1049,KY,21111,Jefferson,Louisville,"741,096",985.274,380.416,44.719,17.266,"1,029.993",397.682,38.189533,-85.657624,Jefferson<br>KY<br>21111
1049,1050,KY,21113,Jessamine,Nicholasville,"48,586",445.777,172.116,6.176,2.385,451.954,174.501,37.873291,-84.583960,Jessamine<br>KY<br>21113
1050,1051,KY,21115,Johnson,Paintsville,"23,356",678.456,261.953,5.651,2.182,684.107,264.135,37.849260,-82.830639,Johnson<br>KY<br>21115
1051,1052,KY,21117,Kenton,"Covington, Independence","159,720",415.045,160.250,10.611,4.097,425.656,164.347,38.930477,-84.533492,Kenton<br>KY<br>21117
1052,1053,KY,21119,Knott,Hindman,"16,346",910.427,351.518,3.454,1.334,913.881,352.852,37.354703,-82.949138,Knott<br>KY<br>21119
1053,1054,KY,21121,Knox,Barbourville,"31,883","1,000.505",386.297,3.758,1.451,"1,004.263",387.748,36.887476,-83.855630,Knox<br>KY<br>21121
1054,1055,KY,21123,Larue,Hodgenville,"14,193",677.332,261.519,5.463,2.109,682.794,263.628,37.545518,-85.697209,Larue<br>KY<br>21123
1055,1056,KY,21125,Laurel,London,"58,849","1,123.933",433.953,25.232,9.742,"1,149.164",443.695,37.113268,-84.119395,Laurel<br>KY<br>21125
1056,1057,KY,21127,Lawrence,Louisa,"15,860","1,076.387",415.595,11.585,4.473,"1,087.971",420.068,38.074459,-82.738305,Lawrence<br>KY<br>21127
1057,1058,KY,21129,Lee,Beattyville,"7,887",540.938,208.857,6.215,2.400,547.153,211.257,37.605383,-83.718497,Lee<br>KY<br>21129
1058,1059,KY,21131,Leslie,Hyden,"11,310","1,038.182",400.844,9.331,3.603,"1,047.513",404.447,37.087846,-83.388616,Leslie<br>KY<br>21131
1059,1060,KY,21133,Letcher,Whitesburg,"24,519",875.193,337.914,2.899,1.119,878.091,339.033,37.118503,-82.861175,Letcher<br>KY<br>21133
1060,1061,KY,21135,Lewis,Vanceburg,"13,870","1,250.540",482.836,32.493,12.546,"1,283.033",495.382,38.532051,-83.373303,Lewis<br>KY<br>21135
1061,1062,KY,21137,Lincoln,Stanford,"24,742",865.301,334.095,6.426,2.481,871.727,336.576,37.457257,-84.658074,Lincoln<br>KY<br>21137
