year,league_id,team_id,franchise_id,div_id,rank,g,ghome,w,l,div_win,wc_win,lg_win,ws_win,r,ab,h,double,triple,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,team_id_br,team_id_lahman45,team_id_retro
1905,NL,PHI,PHI,,4,155,76.0,83,69,,,N,N,708,5243,1362,187,82,16,406.0,614.0,180.0,,44.0,,603,437,2.81,119,12,5,4196,1303,21,411,516,275,99,0.957,Philadelphia Phillies,Baker Bowl,317932.0,96,97,PHI,PHI,PHI
1905,NL,PIT,PIT,,2,155,78.0,96,57,,,N,N,692,5213,1385,190,91,22,382.0,512.0,202.0,,36.0,,570,440,2.86,113,12,6,4148,1270,12,389,512,255,112,0.961,Pittsburgh Pirates,Exposition Park,369124.0,103,100,PIT,PIT,PIT
1905,AL,SLA,BAL,,8,156,79.0,54,99,,,N,N,512,5204,1205,153,49,16,362.0,639.0,144.0,,52.0,,608,421,2.74,134,11,2,4154,1245,19,389,633,296,78,0.955,St. Louis Browns,Sportsman's Park III,339112.0,95,96,SLB,SLA,SLA
1905,NL,SLN,STL,,6,154,77.0,58,96,,,N,N,535,5066,1254,140,85,20,391.0,631.0,162.0,,43.0,,734,537,3.59,135,10,2,4043,1431,28,367,411,274,83,0.957,St. Louis Cardinals,Robison Field,292800.0,97,99,STL,SLN,SLN
1905,AL,WS1,MIN,,7,154,77.0,64,87,,,N,N,559,5015,1121,193,68,22,298.0,818.0,169.0,,54.0,,623,434,2.87,118,12,1,4087,1250,12,385,539,318,76,0.951,Washington Senators,American League Park II,252027.0,96,100,WSH,WS1,WS1
1906,AL,BOS,BOS,,8,155,77.0,49,105,,,N,N,463,5168,1223,160,75,13,298.0,616.0,99.0,,41.0,,706,524,3.41,124,6,6,4146,1360,37,285,549,335,84,0.949,Boston Red Sox,Huntington Avenue Grounds,410209.0,100,102,BOS,BOS,BOS
1906,NL,BRO,LAD,,5,153,76.0,66,86,,,N,N,496,4897,1156,141,68,25,388.0,664.0,176.0,,36.0,,625,469,3.13,119,22,11,4046,1255,15,453,476,283,73,0.955,Brooklyn Dodgers,Washington Park III,277400.0,92,96,BRO,BRO,BRO
1906,NL,BSN,ATL,,8,152,76.0,49,102,,,N,N,408,4925,1115,136,43,16,356.0,681.0,93.0,,52.0,,649,465,3.14,137,10,0,4003,1291,24,436,562,337,102,0.947,Boston Braves,South End Grounds III,143280.0,97,102,BSN,BSN,BSN
1906,AL,CHA,CHW,,1,154,79.0,93,58,,,Y,Y,570,4925,1133,152,52,7,453.0,492.0,216.0,,50.0,,460,326,2.13,117,32,4,4126,1212,11,255,543,243,80,0.963,Chicago White Sox,South Side Park II,585202.0,98,95,CHW,CHA,CHA
1906,NL,CHN,CHC,,1,154,79.0,116,36,,,Y,N,704,5018,1316,181,71,20,448.0,516.0,283.0,,45.0,,381,270,1.75,125,30,10,4165,1018,12,446,702,194,100,0.969,Chicago Cubs,West Side Park II,654300.0,106,100,CHC,CHN,CHN
1906,NL,CIN,CIN,,6,155,78.0,64,87,,,N,N,533,5025,1198,140,71,16,395.0,532.0,170.0,,58.0,,582,409,2.69,126,12,5,4109,1248,14,470,567,262,97,0.959,Cincinnati Reds,Palace of the Fans,330056.0,104,104,CIN,CIN,CIN
1906,AL,CLE,CLE,,3,157,79.0,89,64,,,N,N,663,5425,1514,240,73,12,330.0,563.0,203.0,,41.0,,481,328,2.09,133,27,4,4238,1197,16,365,530,217,111,0.967,Cleveland Naps,League Park I,325733.0,99,97,CLE,CLE,CLE
1906,AL,DET,DET,,6,151,78.0,71,78,,,N,N,518,4930,1195,154,64,10,333.0,517.0,206.0,,33.0,,598,454,3.06,128,7,4,4003,1398,14,389,469,260,86,0.959,Detroit Tigers,Bennett Park,174043.0,103,103,DET,DET,DET
1906,NL,NY1,SFG,,2,152,75.0,96,56,,,N,N,625,4768,1217,162,53,14,563.0,531.0,288.0,,71.0,,509,369,2.49,105,19,18,4003,1207,12,394,639,233,84,0.963,New York Giants,Polo Grounds III,402850.0,102,99,NYG,NY1,NY1
1906,AL,NYA,NYY,,2,155,76.0,90,61,,,N,N,640,5095,1354,166,77,17,331.0,537.0,192.0,,46.0,,543,419,2.78,99,18,5,4073,1236,21,351,605,272,69,0.957,New York Yankees,Hilltop Park,434700.0,110,110,NYY,NYA,NYA
1906,AL,PHA,OAK,,4,149,73.0,78,67,,,N,N,561,4883,1206,213,49,32,383.0,666.0,165.0,,43.0,,539,382,2.6,107,19,4,3966,1135,9,425,749,267,86,0.956,Philadelphia Athletics,Columbia Park,489129.0,103,101,PHA,PHA,PHA
1906,NL,PHI,PHI,,4,154,77.0,71,82,,,N,N,528,4911,1183,197,47,12,432.0,536.0,180.0,,36.0,,564,388,2.58,108,21,5,4063,1201,18,436,500,271,83,0.956,Philadelphia Phillies,Baker Bowl,294680.0,100,99,PHI,PHI,PHI
1906,NL,PIT,PIT,,3,154,77.0,93,60,,,N,N,623,5030,1313,164,67,12,424.0,385.0,162.0,,42.0,,470,334,2.21,116,27,2,4074,1234,13,309,532,228,109,0.964,Pittsburgh Pirates,Exposition Park,394877.0,104,102,PIT,PIT,PIT
1906,AL,SLA,BAL,,5,154,76.0,76,73,,,N,N,560,5030,1244,145,60,20,366.0,592.0,221.0,,47.0,,499,336,2.23,133,17,5,4073,1132,14,314,558,290,80,0.954,St. Louis Browns,Sportsman's Park III,389157.0,96,96,SLB,SLA,SLA
1906,NL,SLN,STL,,7,154,77.0,52,98,,,N,N,470,5075,1195,137,69,9,358.0,682.0,110.0,,38.0,,607,458,3.04,118,4,2,4062,1246,16,479,559,272,92,0.957,St. Louis Cardinals,Robison Field,283770.0,96,100,STL,SLN,SLN
1906,AL,WS1,MIN,,7,151,75.0,55,95,,,N,N,519,4956,1180,144,65,26,306.0,600.0,233.0,,49.0,,665,478,3.25,115,13,1,3968,1331,15,451,558,279,78,0.955,Washington Senators,American League Park II,129903.0,95,98,WSH,WS1,WS1
1907,AL,BOS,BOS,,7,155,78.0,59,90,,,N,N,466,5235,1224,154,48,18,305.0,596.0,125.0,,35.0,,558,385,2.45,100,17,7,4242,1222,22,337,517,278,100,0.959,Boston Red Sox,Huntington Avenue Grounds,436777.0,99,101,BOS,BOS,BOS
1907,NL,BRO,LAD,,5,153,77.0,65,83,,,N,N,446,4895,1135,142,63,18,336.0,629.0,121.0,,40.0,,522,359,2.38,125,20,1,4069,1218,16,463,479,262,94,0.959,Brooklyn Dodgers,Washington Park III,312500.0,92,95,BRO,BRO,BRO
1907,NL,BSN,ATL,,7,152,74.0,58,90,,,N,N,502,5020,1222,142,61,22,413.0,508.0,120.0,,57.0,,652,496,3.33,121,9,2,4016,1324,28,458,426,249,128,0.961,Boston Braves,South End Grounds III,203221.0,100,103,BSN,BSN,BSN
1907,AL,CHA,CHW,,3,157,79.0,87,64,,,N,N,588,5070,1205,149,33,5,421.0,525.0,175.0,,48.0,,474,347,2.22,112,17,9,4219,1279,13,305,604,233,101,0.966,Chicago White Sox,South Side Park II,666307.0,97,95,CHW,CHA,CHA
1907,NL,CHN,CHC,,1,155,76.0,107,45,,,Y,Y,574,4892,1224,162,48,13,435.0,449.0,235.0,,48.0,,390,264,1.73,114,32,8,4120,1054,11,402,586,211,110,0.967,Chicago Cubs,West Side Park II,422550.0,106,101,CHC,CHN,CHN
1907,NL,CIN,CIN,,6,156,81.0,66,87,,,N,N,526,4966,1226,126,90,15,372.0,535.0,158.0,,34.0,,519,362,2.41,118,10,2,4054,1223,16,444,481,227,118,0.963,Cincinnati Reds,Palace of the Fans,317500.0,104,105,CIN,CIN,CIN
1907,AL,CLE,CLE,,4,158,82.0,85,67,,,N,N,531,5068,1222,182,68,11,335.0,677.0,193.0,,56.0,,525,350,2.26,127,20,5,4178,1253,8,362,513,264,137,0.96,Cleveland Naps,League Park I,382046.0,101,99,CLE,CLE,CLE
1907,AL,DET,DET,,1,153,79.0,92,58,,,Y,N,693,5204,1383,179,75,11,315.0,549.0,196.0,,44.0,,531,355,2.33,120,15,6,4112,1281,8,380,512,260,79,0.959,Detroit Tigers,Bennett Park,297079.0,103,102,DET,DET,DET
1907,NL,NY1,SFG,,4,155,77.0,82,71,,,N,N,574,4874,1222,160,48,23,513.0,508.0,205.0,,69.0,,510,373,2.45,109,22,13,4113,1219,24,369,655,232,75,0.963,New York Giants,Polo Grounds III,538350.0,103,100,NYG,NY1,NY1
1907,AL,NYA,NYY,,5,152,75.0,70,78,,,N,N,605,5044,1258,150,67,15,304.0,533.0,206.0,,53.0,,667,449,3.03,93,10,6,4001,1327,13,428,511,334,79,0.947,New York Yankees,Hilltop Park,350020.0,108,110,NYY,NYA,NYA
1907,AL,PHA,OAK,,2,150,73.0,88,57,,,N,N,584,5010,1276,220,44,22,384.0,561.0,137.0,,27.0,,511,353,2.35,106,27,6,4064,1106,13,378,789,263,67,0.958,Philadelphia Athletics,Columbia Park,625581.0,102,102,PHA,PHA,PHA
1907,NL,PHI,PHI,,3,149,75.0,83,64,,,N,N,514,4725,1113,162,65,12,424.0,520.0,154.0,,41.0,,476,351,2.43,110,21,4,3898,1095,13,422,499,256,104,0.957,Philadelphia Phillies,Baker Bowl,341216.0,99,98,PHI,PHI,PHI
1907,NL,PIT,PIT,,2,157,77.0,91,63,,,N,N,634,4957,1261,133,78,19,469.0,456.0,264.0,,46.0,,510,348,2.3,111,24,5,4089,1207,12,368,497,256,75,0.959,Pittsburgh Pirates,Exposition Park,319506.0,102,99,PIT,PIT,PIT
1907,AL,SLA,BAL,,6,155,76.0,69,83,,,N,N,541,5224,1324,154,63,10,370.0,548.0,144.0,,39.0,,555,400,2.61,129,15,9,4144,1254,17,352,463,266,97,0.959,St. Louis Browns,Sportsman's Park III,419025.0,100,99,SLB,SLA,SLA
1907,NL,SLN,STL,,8,155,79.0,52,101,,,N,N,419,5008,1163,121,52,18,312.0,615.0,125.0,,42.0,,610,409,2.7,127,19,2,4097,1212,20,500,594,340,105,0.948,St. Louis Cardinals,Robison Field,185377.0,97,101,STL,SLN,SLN
1907,AL,WS1,MIN,,8,154,75.0,49,102,,,N,N,506,5112,1243,134,57,12,390.0,627.0,223.0,,60.0,,693,467,3.11,106,12,5,4054,1383,10,344,570,310,69,0.951,Washington Senators,American League Park II,221929.0,92,95,WSH,WS1,WS1
1908,AL,BOS,BOS,,5,155,77.0,75,79,,,N,N,564,5048,1239,117,88,14,289.0,588.0,156.0,,69.0,,513,349,2.28,102,12,7,4141,1200,18,364,624,297,71,0.955,Boston Red Sox,Huntington Avenue Grounds,473048.0,103,103,BOS,BOS,BOS
1908,NL,BRO,LAD,,7,154,77.0,53,101,,,N,N,375,4897,1044,110,60,28,323.0,608.0,113.0,,29.0,,516,375,2.47,118,20,4,4107,1165,17,444,535,247,66,0.961,Brooklyn Dodgers,Washington Park III,275600.0,96,99,BRO,BRO,BRO
1908,NL,BSN,ATL,,6,156,78.0,63,91,,,N,N,537,5131,1228,137,43,17,414.0,489.0,134.0,,54.0,,622,436,2.79,92,14,1,4214,1262,29,423,416,253,90,0.962,Boston Braves,South End Grounds III,253750.0,98,102,BSN,BSN,BSN
1908,AL,CHA,CHW,,3,156,78.0,88,64,,,N,N,537,5027,1127,145,41,3,463.0,577.0,209.0,,62.0,,470,349,2.22,107,23,10,4242,1165,11,284,623,232,82,0.966,Chicago White Sox,South Side Park II,636096.0,98,97,CHW,CHA,CHA
1908,NL,CHN,CHC,,1,158,78.0,99,55,,,Y,Y,624,5085,1267,196,56,19,418.0,520.0,212.0,,40.0,,461,341,2.14,108,29,12,4301,1137,20,437,668,205,76,0.969,Chicago Cubs,West Side Park II,665325.0,104,100,CHC,CHN,CHN
1908,NL,CIN,CIN,,5,155,77.0,73,81,,,N,N,488,4879,1108,129,77,14,372.0,555.0,196.0,,46.0,,543,365,2.37,110,17,8,4152,1218,19,415,433,255,72,0.959,Cincinnati Reds,Palace of the Fans,399200.0,97,98,CIN,CIN,CIN
1908,AL,CLE,CLE,,2,157,78.0,90,64,,,N,N,569,5108,1221,188,58,18,364.0,715.0,177.0,,55.0,,459,319,2.02,108,18,5,4273,1172,16,328,548,257,95,0.962,Cleveland Naps,League Park I,422262.0,101,100,CLE,CLE,CLE
1908,AL,DET,DET,,1,154,78.0,90,63,,,Y,N,647,5115,1347,199,86,19,320.0,558.0,165.0,,42.0,,547,367,2.4,119,15,5,4123,1313,12,318,553,305,95,0.953,Detroit Tigers,Bennett Park,436199.0,104,101,DET,DET,DET
1908,NL,NY1,SFG,,2,157,80.0,98,56,,,N,N,651,5006,1339,182,43,20,494.0,378.0,181.0,,76.0,,455,336,2.14,95,25,18,4233,1210,26,288,656,250,79,0.962,New York Giants,Polo Grounds III,910000.0,105,102,NYG,NY1,NY1
1908,AL,NYA,NYY,,8,155,77.0,51,103,,,N,N,460,5047,1190,142,50,13,288.0,639.0,231.0,,45.0,,713,479,3.16,90,11,3,4098,1293,26,458,585,337,78,0.947,New York Yankees,Hilltop Park,305500.0,101,103,NYY,NYA,NYA
1908,AL,PHA,OAK,,6,157,78.0,68,85,,,N,N,486,5065,1131,183,50,21,368.0,595.0,116.0,,37.0,,562,398,2.56,102,23,4,4201,1194,10,410,741,272,68,0.957,Philadelphia Athletics,Columbia Park,455062.0,107,107,PHA,PHA,PHA
1908,NL,PHI,PHI,,4,155,78.0,83,71,,,N,N,504,5012,1223,194,68,11,334.0,528.0,200.0,,53.0,,445,325,2.1,116,22,6,4179,1167,8,379,476,238,75,0.963,Philadelphia Phillies,Baker Bowl,420660.0,103,102,PHI,PHI,PHI
1908,NL,PIT,PIT,,2,155,77.0,98,56,,,N,N,585,5109,1263,162,98,25,420.0,457.0,186.0,,40.0,,468,331,2.12,100,24,9,4207,1142,16,406,468,226,74,0.964,Pittsburgh Pirates,Exposition Park,382444.0,100,98,PIT,PIT,PIT
1908,AL,SLA,BAL,,4,155,78.0,83,69,,,N,N,544,5151,1261,173,52,20,343.0,651.0,126.0,,35.0,,483,333,2.15,107,15,5,4191,1151,7,387,607,237,97,0.964,St. Louis Browns,Sportsman's Park III,618947.0,101,100,SLB,SLA,SLA
1908,NL,SLN,STL,,8,154,77.0,49,105,,,N,N,372,4959,1105,134,57,17,282.0,623.0,150.0,,45.0,,626,401,2.64,97,13,4,4104,1217,16,430,528,348,68,0.946,St. Louis Cardinals,Robison Field,205129.0,95,100,STL,SLN,SLN
1908,AL,WS1,MIN,,7,155,78.0,67,85,,,N,N,479,5041,1186,132,74,8,368.0,597.0,170.0,,43.0,,539,362,2.34,106,15,7,4175,1236,16,348,649,275,89,0.958,Washington Senators,American League Park II,264252.0,92,96,WSH,WS1,WS1
1909,AL,BOS,BOS,,3,152,75.0,88,63,,,N,N,601,4980,1309,151,70,20,348.0,592.0,215.0,,77.0,,549,392,2.59,75,11,14,4081,1213,18,384,555,292,95,0.955,Boston Red Sox,Huntington Avenue Grounds,668965.0,102,101,BOS,BOS,BOS
1909,NL,BRO,LAD,,6,155,79.0,55,98,,,N,N,444,5056,1157,176,59,16,330.0,644.0,141.0,,20.0,,627,477,3.1,126,18,3,4153,1277,31,528,594,282,86,0.955,Brooklyn Dodgers,Washington Park III,321300.0,96,100,BRO,BRO,BRO
1909,NL,BSN,ATL,,8,155,76.0,45,108,,,N,N,435,5017,1121,125,43,14,400.0,551.0,135.0,,30.0,,683,487,3.2,98,13,6,4112,1329,23,543,414,342,101,0.948,Boston Braves,South End Grounds III,195188.0,104,108,BSN,BSN,BSN
1909,AL,CHA,CHW,,4,159,81.0,78,74,,,N,N,492,5018,1109,145,56,4,441.0,596.0,211.0,,57.0,,464,326,2.05,115,26,4,4291,1182,8,340,669,246,101,0.964,Chicago White Sox,South Side Park II,478400.0,96,95,CHW,CHA,CHA
1909,NL,CHN,CHC,,2,155,77.0,104,49,,,N,N,635,4999,1227,203,60,20,420.0,553.0,187.0,,31.0,,390,272,1.75,111,32,11,4198,1094,6,364,680,244,95,0.962,Chicago Cubs,West Side Park II,633480.0,103,98,CHC,CHN,CHN
1909,NL,CIN,CIN,,4,157,80.0,77,76,,,N,N,606,5088,1273,159,72,22,478.0,583.0,280.0,,38.0,,599,394,2.52,91,10,8,4221,1233,5,510,477,309,120,0.952,Cincinnati Reds,Palace of the Fans,424643.0,99,100,CIN,CIN,CIN
1909,AL,CLE,CLE,,6,155,77.0,71,82,,,N,N,493,5048,1216,173,81,10,283.0,698.0,173.0,,48.0,,532,363,2.4,110,15,3,4083,1212,9,348,568,278,110,0.957,Cleveland Naps,League Park I,354627.0,104,103,CLE,CLE,CLE
1909,AL,DET,DET,,1,158,78.0,98,54,,,Y,N,666,5095,1360,209,58,19,397.0,623.0,280.0,,39.0,,493,357,2.26,117,17,12,4261,1254,16,359,528,276,87,0.959,Detroit Tigers,Bennett Park,490490.0,104,102,DET,DET,DET
1909,NL,NY1,SFG,,3,158,77.0,92,61,,,N,N,624,5218,1327,173,68,26,530.0,487.0,240.0,,52.0,,547,364,2.27,102,17,15,4322,1248,28,397,735,307,99,0.954,New York Giants,Polo Grounds III,783700.0,102,98,NYG,NY1,NY1
1909,AL,NYA,NYY,,5,153,77.0,74,77,,,N,N,589,4981,1234,143,61,16,407.0,598.0,187.0,,63.0,,587,397,2.65,94,18,8,4051,1223,21,422,597,330,94,0.948,New York Yankees,Hilltop Park,501000.0,101,102,NYY,NYA,NYA
1909,AL,PHA,OAK,,2,153,76.0,95,58,,,N,N,605,4906,1257,186,88,21,403.0,578.0,201.0,,64.0,,411,296,1.93,110,27,3,4134,1069,9,386,728,245,92,0.961,Philadelphia Athletics,Shibe Park,674915.0,102,97,PHA,PHA,PHA
1909,NL,PHI,PHI,,5,154,77.0,74,79,,,N,N,517,5034,1228,185,53,12,368.0,490.0,185.0,,54.0,,519,377,2.44,89,17,6,4173,1190,23,472,612,241,97,0.962,Philadelphia Phillies,Baker Bowl,303177.0,101,100,PHI,PHI,PHI
1909,NL,PIT,PIT,,1,154,78.0,110,42,,,Y,Y,699,5129,1332,218,92,25,479.0,511.0,185.0,,36.0,,447,322,2.07,93,21,11,4205,1174,12,320,490,228,100,0.964,Pittsburgh Pirates,Exposition Park/Forbes Field,534950.0,105,99,PIT,PIT,PIT
1909,AL,SLA,BAL,,7,154,79.0,61,89,,,N,N,441,4964,1151,116,45,10,331.0,607.0,136.0,,51.0,,575,433,2.88,105,21,4,4064,1287,16,383,620,267,107,0.958,St. Louis Browns,Sportsman's Park IV,366274.0,93,98,SLB,SLA,SLA
1909,NL,SLN,STL,,7,154,76.0,54,98,,,N,N,583,5108,1242,148,56,15,568.0,648.0,163.0,,62.0,,731,523,3.41,84,5,4,4139,1368,22,483,435,322,90,0.95,St. Louis Cardinals,Robison Field,299982.0,94,97,STL,SLN,SLN
1909,AL,WS1,MIN,,8,156,77.0,42,110,,,N,N,380,4983,1113,149,41,9,321.0,618.0,136.0,,42.0,,656,464,3.04,99,11,2,4124,1288,12,424,653,280,100,0.957,Washington Senators,American League Park II,205199.0,95,98,WSH,WS1,WS1
1910,AL,BOS,BOS,,4,158,80.0,81,72,,,N,N,641,5204,1350,175,87,43,430.0,719.0,194.0,,56.0,,564,390,2.45,100,12,6,4290,1236,30,414,670,309,80,0.954,Boston Red Sox,Huntington Avenue Grounds,584619.0,102,101,BOS,BOS,BOS
1910,NL,BRO,LAD,,6,156,80.0,64,90,,,N,N,497,5125,1174,166,73,25,434.0,706.0,151.0,,40.0,,623,484,3.07,103,15,5,4261,1331,17,545,555,235,125,0.964,Brooklyn Dodgers,Washington Park III,279321.0,97,100,BRO,BRO,BRO
1910,NL,BSN,ATL,,8,157,78.0,53,100,,,N,N,495,5123,1260,173,49,31,359.0,540.0,152.0,,47.0,,701,497,3.22,72,12,9,4171,1328,36,599,440,305,137,0.954,Boston Braves,South End Grounds III,149027.0,103,109,BSN,BSN,BSN
1910,AL,CHA,CHW,,6,156,79.0,68,85,,,N,N,457,5024,1058,115,58,7,403.0,648.0,183.0,,44.0,,479,320,2.03,103,23,7,4263,1130,16,381,785,314,100,0.954,Chicago White Sox,South Side Park II/Comiskey Park,552084.0,95,95,CHW,CHA,CHA
1910,NL,CHN,CHC,,1,154,77.0,104,50,,,Y,N,712,4977,1333,219,84,34,542.0,501.0,173.0,,39.0,,499,384,2.51,99,25,13,4136,1171,18,474,609,230,110,0.963,Chicago Cubs,West Side Park II,526152.0,99,95,CHC,CHN,CHN
1910,NL,CIN,CIN,,5,156,77.0,75,79,,,N,N,620,5121,1326,150,79,23,529.0,515.0,310.0,,29.0,,684,475,3.08,86,16,11,4160,1334,27,528,497,291,103,0.955,Cincinnati Reds,Palace of the Fans,380622.0,96,97,CIN,CIN,CIN
1910,AL,CLE,CLE,,5,161,80.0,71,81,,,N,N,548,5395,1316,188,64,9,366.0,645.0,189.0,,37.0,,657,470,2.88,92,13,5,4401,1392,10,488,617,248,112,0.964,Cleveland Naps,League Park II,293456.0,101,103,CLE,CLE,CLE
1910,AL,DET,DET,,3,155,78.0,86,68,,,N,N,679,5039,1317,190,72,28,459.0,572.0,249.0,,51.0,,584,433,2.82,108,17,5,4141,1257,34,460,532,288,79,0.956,Detroit Tigers,Bennett Park,391288.0,107,104,DET,DET,DET
1910,NL,NY1,SFG,,2,155,79.0,91,63,,,N,N,715,5061,1391,204,83,31,562.0,489.0,282.0,,57.0,,567,414,2.68,96,9,10,4175,1290,30,397,717,291,117,0.955,New York Giants,Polo Grounds III,511785.0,100,98,NYG,NY1,NY1
1910,AL,NYA,NYY,,2,156,77.0,88,63,,,N,N,626,5051,1254,164,75,20,464.0,634.0,288.0,,71.0,,557,406,2.61,110,14,8,4197,1238,16,364,654,286,95,0.956,New York Yankees,Hilltop Park,355857.0,106,105,NYY,NYA,NYA
1910,AL,PHA,OAK,,1,155,78.0,102,48,,,Y,Y,674,5154,1373,191,105,19,409.0,573.0,207.0,,47.0,,442,282,1.79,123,24,5,4265,1103,8,450,789,230,117,0.965,Philadelphia Athletics,Shibe Park,588905.0,99,94,PHA,PHA,PHA
1910,NL,PHI,PHI,,4,157,78.0,78,75,,,N,N,674,5171,1319,223,71,22,506.0,559.0,199.0,,43.0,,639,479,3.05,84,17,9,4234,1297,36,547,657,258,132,0.96,Philadelphia Phillies,Baker Bowl,296597.0,103,103,PHI,PHI,PHI
1910,NL,PIT,PIT,,3,154,76.0,86,67,,,N,N,655,5125,1364,214,83,33,437.0,524.0,148.0,,34.0,,576,433,2.83,73,13,12,4128,1254,20,392,479,245,102,0.961,Pittsburgh Pirates,Forbes Field,436586.0,107,104,PIT,PIT,PIT
1910,AL,SLA,BAL,,8,158,79.0,47,107,,,N,N,451,5077,1105,131,60,12,415.0,841.0,169.0,,36.0,,743,478,3.09,101,9,3,4173,1356,14,532,557,385,113,0.943,St. Louis Browns,Sportsman's Park IV,249889.0,94,98,SLB,SLA,SLA
1910,NL,SLN,STL,,7,153,76.0,63,90,,,N,N,639,4912,1217,167,70,15,655.0,581.0,179.0,,78.0,,718,561,3.78,82,4,14,4012,1396,30,541,466,261,109,0.959,St. Louis Cardinals,Robison Field,355668.0,96,98,STL,SLN,SLN
1910,AL,WS1,MIN,,7,157,77.0,66,85,,,N,N,501,4989,1175,145,47,9,449.0,630.0,192.0,,82.0,,551,376,2.46,119,19,3,4120,1215,19,375,674,264,99,0.959,Washington Senators,American League Park II,254591.0,95,99,WSH,WS1,WS1
1911,AL,BOS,BOS,,4,153,76.0,78,75,,,N,N,680,5014,1379,203,66,35,506.0,,190.0,,,,643,411,2.74,87,10,8,4053,1309,21,473,711,322,93,0.949,Boston Red Sox,Huntington Avenue Grounds,503961.0,99,98,BOS,BOS,BOS
1911,NL,BRO,LAD,,7,154,74.0,64,86,,,N,N,539,5059,1198,151,71,28,425.0,683.0,184.0,,,,659,516,3.39,81,13,10,4113,1310,27,566,533,243,112,0.962,Brooklyn Dodgers,Washington Park III,269000.0,96,98,BRO,BRO,BRO
1911,NL,BSN,ATL,,8,156,75.0,44,107,,,N,N,699,5308,1417,249,54,37,554.0,577.0,169.0,,,,1021,776,5.08,73,5,7,4122,1570,76,672,486,347,110,0.947,Boston Braves,South End Grounds III,116000.0,107,111,BSN,BSN,BSN
1911,AL,CHA,CHW,,5,154,78.0,77,74,,,N,N,719,5213,1401,179,92,20,385.0,,201.0,,,,624,457,2.97,85,17,11,4158,1349,22,384,752,255,98,0.961,Chicago White Sox,Comiskey Park,583208.0,98,97,CHW,CHA,CHA
1911,NL,CHN,CHC,,2,157,84.0,92,62,,,N,N,757,5130,1335,218,101,54,585.0,617.0,214.0,,,,607,455,2.9,85,12,16,4233,1270,26,525,582,260,114,0.96,Chicago Cubs,West Side Park II,576000.0,100,97,CHC,CHN,CHN
1911,NL,CIN,CIN,,6,159,82.0,70,83,,,N,N,682,5291,1379,180,105,21,578.0,594.0,289.0,,,,706,516,3.26,77,4,12,4275,1410,36,476,557,297,108,0.955,Cincinnati Reds,Palace of the Fans,300000.0,97,98,CIN,CIN,CIN
1911,AL,CLE,CLE,,3,156,77.0,80,73,,,N,N,691,5321,1501,238,81,20,354.0,,209.0,,,,712,519,3.36,93,6,6,4170,1382,17,552,675,302,108,0.954,Cleveland Naps,League Park II,406296.0,101,102,CLE,CLE,CLE
1911,AL,DET,DET,,2,154,76.0,89,65,,,N,N,831,5294,1544,230,96,30,471.0,,276.0,,,,776,575,3.73,108,8,3,4161,1514,28,460,538,312,78,0.951,Detroit Tigers,Bennett Park,484988.0,105,104,DET,DET,DET
1911,NL,NY1,SFG,,1,154,75.0,99,54,,,Y,N,756,5006,1399,225,103,41,530.0,506.0,347.0,,,,542,409,2.69,95,19,13,4104,1267,33,369,771,251,86,0.96,New York Giants,Polo Grounds III/Polo Grounds IV,675000.0,103,99,NYG,NY1,NY1
1911,AL,NYA,NYY,,6,153,77.0,76,76,,,N,N,684,5052,1374,190,96,25,493.0,,269.0,,,,724,535,3.54,91,5,3,4080,1404,26,406,667,320,99,0.949,New York Yankees,Hilltop Park,302444.0,106,107,NYY,NYA,NYA
1911,AL,PHA,OAK,,1,152,75.0,101,50,,,Y,Y,861,5199,1540,237,93,35,424.0,,226.0,,,,601,460,3.01,97,13,13,4125,1343,17,487,739,228,100,0.963,Philadelphia Athletics,Shibe Park,605749.0,98,95,PHA,PHA,PHA
1911,NL,PHI,PHI,,4,153,76.0,79,73,,,N,N,658,5044,1307,214,56,60,490.0,588.0,153.0,,,,669,503,3.3,90,20,10,4119,1285,43,598,697,231,113,0.963,Philadelphia Phillies,Baker Bowl,416000.0,101,101,PHI,PHI,PHI
1911,NL,PIT,PIT,,3,155,78.0,85,69,,,N,N,744,5137,1345,206,106,49,525.0,583.0,160.0,,,,557,435,2.84,91,13,11,4140,1249,36,375,605,231,131,0.963,Pittsburgh Pirates,Forbes Field,432000.0,104,101,PIT,PIT,PIT
1911,AL,SLA,BAL,,8,152,78.0,45,107,,,N,N,567,4996,1192,187,63,17,460.0,,125.0,,,,812,571,3.86,92,8,1,3996,1465,28,463,383,358,104,0.945,St. Louis Browns,Sportsman's Park IV,207984.0,96,101,SLB,SLA,SLA
1911,NL,SLN,STL,,5,158,79.0,75,74,,,N,N,671,5132,1295,199,86,26,592.0,650.0,175.0,,,,745,573,3.68,88,6,10,4206,1296,39,701,561,262,106,0.959,St. Louis Cardinals,Robison Field,447768.0,97,99,STL,SLN,SLN
1911,AL,WS1,MIN,,7,154,77.0,64,90,,,N,N,625,5065,1308,159,54,16,466.0,,215.0,,,,766,529,3.52,106,13,3,4059,1471,39,410,628,306,90,0.953,Washington Senators,Griffith Stadium I,244884.0,98,98,WSH,WS1,WS1
