Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Raw Date,Dtiter,Location,Dtiter Sanofi,Ctiter
DENV4/INDONESIA/CN27/2015,Ku523872,2015-04-08,Southeast Asia,Indonesia,Indonesia,Gao Et Al.,unknown,unknown,unknown,2015.27,2015-04-08,0.00,Indonesia,0.00,0.00
DENV4/INDONESIA/N064/2010,Km216744,2010-11-08,Southeast Asia,Indonesia,Bali,Chidlow Et Al.,unknown,unknown,unknown,2010.85,2010-11-08,0.00,Bali,0.00,0.00
DENV4/SINGAPORE/21407/2011,Jn544414,2011-05-01,Southeast Asia,Singapore,Singapore,Chua Et Al.,unknown,unknown,unknown,2011.33,2011-05-xx,0.00,Singapore,0.00,0.00
DENV4/MALAYSIA/NIID81/2014,Lc064748,2014-01-01,Southeast Asia,Malaysia,Malaysia,Nakayama Et Al.,unknown,unknown,unknown,2014.00,2014-xx-xx,0.00,Malaysia,0.00,0.00
DENV4/SINGAPORE/64816/2011,Jn544415,2011-02-01,Southeast Asia,Singapore,Singapore,Chua Et Al.,unknown,unknown,unknown,2011.08,2011-02-xx,0.00,Singapore,0.00,0.00
DENV4/INDONESIA/N002/2010,Km216739,2010-10-07,Southeast Asia,Indonesia,Java,Chidlow Et Al.,unknown,unknown,unknown,2010.76,2010-10-07,0.00,Java,0.00,0.00
DENV4/AUSTRALIA/TORRESSTRAIT/2005,Jn575595,2005-01-01,Oceania,Australia,Australia,Northill Et Al.,unknown,unknown,unknown,2006.00,2005-xx-xx,0.00,Australia,0.00,0.00
DENV4/AMERICAN_SAMOA/SAMOA/2008,Jn575592,2008-01-01,Oceania,American Samoa,American Samoa,Northill Et Al.,unknown,unknown,unknown,2008.00,2008-xx-xx,0.00,American Samoa,0.00,0.00
DENV4/SOLOMON_ISLANDS/SOLOMON12ATW/2007,Eu448462,2007-01-01,Oceania,Solomon Islands,Solomon Islands,Chang Et Al.,unknown,unknown,unknown,2007.42,2007-xx-xx,0.00,Solomon Islands,0.00,0.00
DENV4/COOK_ISLANDS/COOKISLANDS/2009,Jn575582,2009-01-01,Oceania,Cook Islands,Cook Islands,Northill Et Al.,unknown,unknown,unknown,2009.00,2009-xx-xx,0.00,Cook Islands,0.00,0.00
DENV4/FIJI/NA/2008,Jn575587,2008-01-01,Oceania,Fiji,Fiji,Northill Et Al.,unknown,unknown,unknown,2008.00,2008-xx-xx,0.00,Fiji,0.00,0.00
DENV4/NEW_CALEDONIA/0209266/2009,Jq915088,2009-04-02,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2009.25,2009-04-02,0.00,Noumea,0.00,0.00
DENV4/FRENCH_POLYNESIA/190238/2009,Jn832533,2009-05-19,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.38,2009-05-19,0.00,Bora Bora,0.00,0.00
DENV4/FRENCH_POLYNESIA/26067/2010,Jn832551,2010-01-26,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2010.07,2010-01-26,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/30048/2010,Jn832557,2010-04-30,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2010.33,2010-04-30,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/15028/2010,Jq915084,2010-06-15,Oceania,French Polynesia,French Polynesia,Aubry Et Al.,unknown,unknown,unknown,2010.45,2010-06-15,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/019/2010,Jq650107,2010-06-10,Oceania,French Polynesia,French Polynesia,Aubry Et Al.,unknown,unknown,unknown,2010.44,2010-06-10,0.00,Tahiti,0.00,0.00
DENV4/NEW_CALEDONIA/4525/2008,Jq650080,2008-11-27,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2008.91,2008-11-27,0.00,Noumea,0.00,0.00
DENV4/NEW_CALEDONIA/014189/2009,Jq650102,2009-07-09,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2009.52,2009-07-09,0.00,New Caledonia,0.00,0.00
DENV4/NEW_CALEDONIA/0501413/2009,Jq915086,2009-02-05,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2009.10,2009-02-05,0.00,Dumbea,0.00,0.00
DENV4/NEW_CALEDONIA/4975/2008,Jq650082,2008-12-19,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2008.97,2008-12-19,0.00,New Caledonia,0.00,0.00
DENV4/NEW_CALEDONIA/014518/2009,Jq915089,2009-09-23,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2009.73,2009-09-23,0.00,Dumbea,0.00,0.00
DENV4/NEW_CALEDONIA/04588/2008,Jq650081,2008-12-01,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2008.92,2008-12-01,0.00,New Caledonia,0.00,0.00
DENV4/NEW_CALEDONIA/08014179/2009,Jq650101,2009-07-08,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2009.51,2009-07-08,0.00,Noumea,0.00,0.00
DENV4/FRENCH_POLYNESIA/NC160136/2009,Jn832507,2009-01-16,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.04,2009-01-16,0.00,Tahiti,0.00,0.00
DENV4/NEW_CALEDONIA/01655/2009,Jq650087,2009-02-09,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2009.11,2009-02-09,0.00,Dumbea,0.00,0.00
DENV4/NEW_CALEDONIA/25013516/2009,Jq650097,2009-05-25,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2009.39,2009-05-25,0.00,New Caledonia,0.00,0.00
DENV4/NEW_CALEDONIA/04014363/2009,Jq650103,2009-08-04,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2009.59,2009-08-04,0.00,New Caledonia,0.00,0.00
DENV4/NEW_CALEDONIA/24014448/2009,Jq650104,2009-08-24,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2009.64,2009-08-24,0.00,Noumea,0.00,0.00
DENV4/FRENCH_POLYNESIA/13016/2010,Jq650106,2010-01-13,Oceania,French Polynesia,French Polynesia,Aubry Et Al.,unknown,unknown,unknown,2010.03,2010-01-13,0.00,Tahiti,0.00,0.00
DENV4/NEW_CALEDONIA/04013717/2009,Jq650099,2009-06-04,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2009.42,2009-06-04,0.00,New Caledonia,0.00,0.00
DENV4/NEW_CALEDONIA/1706652/2009,Jq915087,2009-03-17,Oceania,New Caledonia,New Caledonia,Aubry Et Al.,unknown,unknown,unknown,2009.21,2009-03-17,0.00,Noumea,0.00,0.00
DENV4/FRENCH_POLYNESIA/08093/2009,Jq915083,2009-04-08,Oceania,French Polynesia,French Polynesia,Aubry Et Al.,unknown,unknown,unknown,2009.27,2009-04-08,0.00,Raiatea,0.00,0.00
DENV4/FRENCH_POLYNESIA/29069/2009,Jq915081,2009-01-29,Oceania,French Polynesia,French Polynesia,Aubry Et Al.,unknown,unknown,unknown,2009.08,2009-01-29,0.00,Tahaa,0.00,0.00
DENV4/FRENCH_POLYNESIA/230126/2009,Jq915082,2009-03-23,Oceania,French Polynesia,French Polynesia,Aubry Et Al.,unknown,unknown,unknown,2009.22,2009-03-23,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/120125/2009,Jn832535,2009-06-12,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.44,2009-06-12,0.00,Raiatea,0.00,0.00
DENV4/FRENCH_POLYNESIA/032/2010,Jn832553,2010-03-01,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2010.16,2010-03-01,0.00,Moorea,0.00,0.00
DENV4/FRENCH_POLYNESIA/19098/2010,Jn832550,2010-01-19,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2010.05,2010-01-19,0.00,Moorea,0.00,0.00
DENV4/FRENCH_POLYNESIA/230116/2009,Jn832509,2009-02-23,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.15,2009-02-23,0.00,Bora Bora,0.00,0.00
DENV4/FRENCH_POLYNESIA/06096/2009,Jn832514,2009-03-06,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.18,2009-03-06,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/111/2009,Jn832546,2009-10-14,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.78,2009-10-14,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/032/2009,Jn832548,2009-12-04,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.92,2009-12-04,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/23006/2009,Jn832528,2009-04-23,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.31,2009-04-23,0.00,French Polynesia,0.00,0.00
DENV4/FRENCH_POLYNESIA/29025/2009,Jn832534,2009-05-29,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.41,2009-05-29,0.00,French Polynesia,0.00,0.00
DENV4/FRENCH_POLYNESIA/170192/2010,Jn832560,2010-05-17,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2010.37,2010-05-17,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/16017/2010,Jq650109,2010-08-16,Oceania,French Polynesia,French Polynesia,Aubry Et Al.,unknown,unknown,unknown,2010.62,2010-08-16,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/02015/2010,Jq650108,2010-07-02,Oceania,French Polynesia,French Polynesia,Aubry Et Al.,unknown,unknown,unknown,2010.50,2010-07-02,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/0283/2009,Jn832549,2009-12-08,Oceania,French Polynesia,Marquesas,Aaskov Et Al.,unknown,unknown,unknown,2009.93,2009-12-08,0.00,Uapou,0.00,0.00
DENV4/FRENCH_POLYNESIA/050117/2010,Jn832552,2010-02-05,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2010.10,2010-02-05,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/170191/2010,Jn832559,2010-05-17,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2010.37,2010-05-17,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/17092/2010,Jn832558,2010-05-17,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2010.37,2010-05-17,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/25014/2009,Jn832538,2009-06-25,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.48,2009-06-25,0.00,French Polynesia,0.00,0.00
DENV4/FRENCH_POLYNESIA/22054/2009,Jn832541,2009-07-22,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.55,2009-07-22,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/19058/2009,Jn832543,2009-08-19,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.63,2009-08-19,0.00,Moorea,0.00,0.00
DENV4/FRENCH_POLYNESIA/050/2009,Jn832545,2009-09-22,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.72,2009-09-22,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/0131/2009,Jn832547,2009-11-04,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2009.84,2009-11-04,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/12031/2010,Jn832554,2010-03-12,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2010.19,2010-03-12,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/06011/2010,Jn832556,2010-04-06,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2010.26,2010-04-06,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/0215/2010,Jn832555,2010-04-01,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,2010.25,2010-04-01,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/5918/1982,Jn832500,1982-08-31,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,1982.66,1982-08-31,0.00,Tahiti,0.00,0.00
DENV4/SINGAPORE/8976/1995,Ay762085,1995-01-01,Southeast Asia,Singapore,Singapore,Anwar Et Al.,unknown,unknown,unknown,1996.00,1995-xx-xx,0.00,Singapore,0.00,0.00
DENV4/MALAYSIA/328/1995,Fn429919,1995-01-01,Southeast Asia,Malaysia,Malaysia,Aw Et Al.,unknown,unknown,unknown,1996.00,1995-xx-xx,0.00,Kuala Lumpur,0.00,0.00
DENV4/INDONESIA/CS1011/1997,Fm986672,1997-01-01,Southeast Asia,Indonesia,Borneo,Cardosa Et Al.,unknown,unknown,unknown,1997.45,1997-xx-xx,0.00,Sarawak,0.00,0.00
DENV4/INDONESIA/LF67/1999,Fm986668,1999-01-01,Southeast Asia,Indonesia,Borneo,Cardosa Et Al.,unknown,unknown,unknown,1999.03,1999-xx-xx,0.00,Sarawak,0.00,0.00
DENV4/INDONESIA/LF11/1999,Fm986664,1999-01-01,Southeast Asia,Indonesia,Borneo,Cardosa Et Al.,unknown,unknown,unknown,1999.03,1999-xx-xx,0.00,Sarawak,0.00,0.00
DENV4/FRENCH_POLYNESIA/323103/1985,Jn832503,1985-11-19,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,1985.88,1985-11-19,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/6074/1983,Jn832501,1983-03-30,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,1983.24,1983-03-30,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/131188/1984,Jn832502,1984-05-10,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,1984.36,1984-05-10,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/5070/1986,Jn832504,1986-02-19,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,1986.13,1986-02-19,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/197/1987,Jn832505,1987-01-19,Oceania,French Polynesia,French Polynesia,Aaskov Et Al.,unknown,unknown,unknown,1987.05,1987-01-19,0.00,Tahiti,0.00,0.00
DENV4/FRENCH_POLYNESIA/13074/1988,Jn832506,1988-05-09,Oceania,French Polynesia,Marquesas,Aaskov Et Al.,unknown,unknown,unknown,1988.35,1988-05-09,0.00,Marquesas,0.00,0.00
DENV4/COLOMBIA/TVP376/1982,Kc963424,1982-01-01,South America,Colombia,Colombia,Austin Et Al.,unknown,unknown,unknown,1982.00,1982-xx-xx,0.00,Colombia,0.00,0.00
DENV4/ECUADOR/OBS8854/2000,Gq139577,2000-01-01,South America,Ecuador,Ecuador,Alava Et Al.,unknown,unknown,unknown,2000.00,2000-xx-xx,0.00,Ecuador,0.00,0.00
DENV4/VENEZUELA/INH6412/1995,Jf262781,1995-01-01,South America,Venezuela,Venezuela,Cardosa Et Al.,unknown,unknown,unknown,1996.00,1995-xx-xx,0.00,Venezuela,0.00,0.00
DENV4/SPAIN/BIDV1600/1997,Fj024476,1997-01-01,Europe,Spain,Cantabria,Alvarado Et Al.,unknown,unknown,unknown,1998.00,1997-xx-xx,0.00,Santander,0.00,0.00
DENV4/COLOMBIA/CIDB039/2006,Jf804052,2006-01-01,South America,Colombia,Colombia,Colon Et Al.,unknown,unknown,unknown,2006.00,2006-xx-xx,0.00,Colombia,0.00,0.00
DENV4/BRAZIL/TVP986/1982,Kc963425,1982-01-01,South America,Brazil,Brazil,Austin Et Al.,unknown,unknown,unknown,1982.13,1982-xx-xx,0.00,Brazil,0.00,0.00
DENV4/BRAZIL/ROR/1982,Jn559740,1982-03-26,South America,Brazil,Roraima,Abecasis Et Al.,unknown,unknown,unknown,1982.23,1982-03-26,0.00,Roraima,0.00,0.00
DENV4/COLOMBIA/341750/1982,Gu289913,1982-01-01,South America,Colombia,Colombia,Falgout Et Al.,unknown,unknown,unknown,1982.74,1982-xx-xx,0.00,Colombia,0.00,0.00
DENV4/DOMINICA/814669DELTA30/1981,Af326573,1981-01-01,North America,Dominica,Dominica,Chanock Et Al.,unknown,unknown,unknown,1981.86,1981-xx-xx,0.00,Dominica,0.00,0.00
DENV4/USA/2ADEL30/2000,Af326826,2000-01-01,North America,USA,USA,Chanock Et Al.,unknown,unknown,unknown,2000.00,2000-xx-xx,0.00,USA,0.00,0.00
DENV4/DOMINICA/AF375822/1981,Af375822,1981-01-01,North America,Dominica,Dominica,Blaney Et Al.,unknown,unknown,unknown,1981.88,1981-xx-xx,0.00,Dominica,0.00,0.00
DENV4/USA/RDEL30/2000,Af326827,2000-01-01,North America,USA,USA,Chanock Et Al.,unknown,unknown,unknown,2000.00,2000-xx-xx,0.00,USA,0.00,0.00
DENV4/DOMINICAN_REPUBLIC/DENSTRA/1981,M14931,1981-01-01,North America,Dominican Republic,Dominican Republic,Buckler-white Et Al.,unknown,unknown,unknown,1982.00,1981-xx-xx,0.00,Dominican Republic,0.00,0.00
DENV4/COSTA_RICA/A/1993,Ay934757,1993-01-01,North America,Costa Rica,Costa Rica,Bennett Et Al.,unknown,unknown,unknown,1993.00,1993-xx-xx,0.00,Costa Rica,0.00,0.00
DENV4/PUERTO_RICO/BIDV860/1994,Fj226067,1994-01-01,North America,Puerto Rico,Puerto Rico,Alvarado Et Al.,unknown,unknown,unknown,1994.00,1994-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/BIDV2432/1995,Gq252675,1995-01-01,North America,Puerto Rico,Puerto Rico,Alvarado Et Al.,unknown,unknown,unknown,1995.20,1995-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/BIDV2434/1995,Fj850057,1995-01-01,North America,Puerto Rico,Puerto Rico,Alvarado Et Al.,unknown,unknown,unknown,1995.82,1995-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/BIDV2430/1994,Gq199879,1994-01-01,North America,Puerto Rico,Puerto Rico,Alpuche Et Al.,unknown,unknown,unknown,1994.62,1994-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/BIDV2433/1995,Fj810417,1995-01-01,North America,Puerto Rico,Puerto Rico,Alvarado Et Al.,unknown,unknown,unknown,1995.69,1995-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/MEXICO/DB042/2006,Jf804055,2006-01-01,North America,Mexico,Mexico,Colon Et Al.,unknown,unknown,unknown,2006.00,2006-xx-xx,0.00,Mexico,0.00,0.00
DENV4/FRENCH_GUIANA/FGUFEV/1995,Dq390324,1995-02-01,South America,French Guiana,French Guiana,Cesaire Et Al.,unknown,unknown,unknown,1995.08,1995-02-xx,0.00,French Guiana,0.00,0.00
DENV4/FRENCH_GUIANA/FGUJUN/1995,Dq390326,1995-06-01,South America,French Guiana,French Guiana,Cesaire Et Al.,unknown,unknown,unknown,1995.41,1995-06-xx,0.00,French Guiana,0.00,0.00
DENV4/FRENCH_GUIANA/FGUDEC/1993,Dq390322,1993-12-01,South America,French Guiana,French Guiana,Cesaire Et Al.,unknown,unknown,unknown,1994.00,1993-12-xx,0.00,French Guiana,0.00,0.00
DENV4/FRENCH_GUIANA/FGUMAR/1994,Dq390327,1994-03-01,South America,French Guiana,French Guiana,Cesaire Et Al.,unknown,unknown,unknown,1994.20,1994-03-xx,0.00,French Guiana,0.00,0.00
DENV4/FRENCH_GUIANA/FGUJUN/1994,Dq390325,1994-06-01,South America,French Guiana,French Guiana,Cesaire Et Al.,unknown,unknown,unknown,1994.41,1994-06-xx,0.00,French Guiana,0.00,0.00
DENV4/FRENCH_GUIANA/FGUSEP1/1994,Dq390329,1994-09-01,South America,French Guiana,French Guiana,Cesaire Et Al.,unknown,unknown,unknown,1994.67,1994-09-xx,0.00,French Guiana,0.00,0.00
DENV4/PUERTO_RICO/BIDV2437/1996,Gq199883,1996-01-01,North America,Puerto Rico,Puerto Rico,Alpuche Et Al.,unknown,unknown,unknown,1996.00,1996-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/BIDV2448/1999,Fj882601,1999-01-01,North America,Puerto Rico,Puerto Rico,Alvarado Et Al.,unknown,unknown,unknown,2000.00,1999-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/BIDV2438/1996,Gq199884,1996-01-01,North America,Puerto Rico,Puerto Rico,Alpuche Et Al.,unknown,unknown,unknown,1996.62,1996-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/BRAZIL/STN31/2010,Jq513334,2010-11-10,Europe,Portugal,Santarem,Abecasis Et Al.,unknown,unknown,unknown,2010.86,2010-11-10,0.00,Santarem,0.00,0.00
DENV4/BRAZIL/BEL83791/2011,Jq513335,2011-01-12,South America,Brazil,Para,Abecasis Et Al.,unknown,unknown,unknown,2011.03,2011-01-12,0.00,Belem,0.00,0.00
DENV4/PUERTO_RICO/BIDV2429/1994,Gq199878,1994-01-01,North America,Puerto Rico,Puerto Rico,Alpuche Et Al.,unknown,unknown,unknown,1994.00,1994-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/BIDV2442/1998,Fj882596,1998-01-01,North America,Puerto Rico,Puerto Rico,Alvarado Et Al.,unknown,unknown,unknown,1998.00,1998-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/BIDV2440/1996,Fj850058,1996-01-01,North America,Puerto Rico,Puerto Rico,Alvarado Et Al.,unknown,unknown,unknown,1996.00,1996-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/BIDV1082/1998,Fj024424,1998-01-01,North America,Puerto Rico,Puerto Rico,Alvarado Et Al.,unknown,unknown,unknown,1998.00,1998-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/BIDV2444/1998,Fj882597,1998-01-01,North America,Puerto Rico,Puerto Rico,Alvarado Et Al.,unknown,unknown,unknown,1998.00,1998-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/BIDV1083/1986,Eu854295,1986-01-01,North America,Puerto Rico,Puerto Rico,Alvarado Et Al.,unknown,unknown,unknown,1987.00,1986-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/BIDV2447/1999,Fj882600,1999-01-01,North America,Puerto Rico,Puerto Rico,Alvarado Et Al.,unknown,unknown,unknown,1999.00,1999-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/MARTINIQUE/MARFWIDEC/2004,Dq390321,2004-12-01,North America,Martinique,Martinique,Cesaire Et Al.,unknown,unknown,unknown,2004.92,2004-12-xx,0.00,Martinique,0.00,0.00
DENV4/DOMINICAN_REPUBLIC/DRDB040/1997,Jf804053,1997-01-01,North America,Dominican Republic,Dominican Republic,Colon Et Al.,unknown,unknown,unknown,1998.00,1997-xx-xx,0.00,Dominican Republic,0.00,0.00
DENV4/PUERTO_RICO/DB102/2004,Jx476036,2004-01-01,North America,Puerto Rico,Puerto Rico,Mcelroy-horne Et Al.,unknown,unknown,unknown,2004.00,2004-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/ARC1/2013,Kf809760,2013-01-01,North America,Puerto Rico,Puerto Rico,Anez Et Al.,unknown,unknown,unknown,2013.00,2013-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/ARC69/2012,Kf809756,2012-01-01,North America,Puerto Rico,Puerto Rico,Anez Et Al.,unknown,unknown,unknown,2012.00,2012-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/HAITI/MRS6169642904/2014,Kp140942,2014-09-11,North America,Haiti,Haiti,Baronti Et Al.,unknown,unknown,unknown,2014.69,2014-09-11,0.00,Haiti,0.00,0.00
DENV4/HAITI/0324/2014,Kt276273,2014-09-08,North America,Haiti,Haiti,Rochars Et Al.,unknown,unknown,unknown,2014.68,2014-09-08,0.00,Haiti,0.00,0.00
DENV4/PUERTO_RICO/DB103/2006,Jx476037,2006-01-01,North America,Puerto Rico,Puerto Rico,Mcelroy-horne Et Al.,unknown,unknown,unknown,2006.00,2006-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/DB100/2010,Jx476034,2010-01-01,North America,Puerto Rico,Puerto Rico,Medina Et Al.,unknown,unknown,unknown,2010.00,2010-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/ARC75/2012,Kf809757,2012-01-01,North America,Puerto Rico,Puerto Rico,Anez Et Al.,unknown,unknown,unknown,2012.00,2012-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/USA/ARC42/2010,Jq045566,2010-01-01,North America,USA,USA,Anez Et Al.,unknown,unknown,unknown,2011.00,2010-xx-xx,0.00,USA,0.00,0.00
DENV4/USA/ARC19/2010,Jq045565,2010-01-01,North America,USA,USA,Anez Et Al.,unknown,unknown,unknown,2011.00,2010-xx-xx,0.00,USA,0.00,0.00
DENV4/PUERTO_RICO/ARC65/2013,Kf809762,2013-01-01,North America,Puerto Rico,Puerto Rico,Anez Et Al.,unknown,unknown,unknown,2013.00,2013-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/ARC33/2013,Kf809761,2013-01-01,North America,Puerto Rico,Puerto Rico,Anez Et Al.,unknown,unknown,unknown,2013.00,2013-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/PUERTO_RICO/ARC80/2012,Kf809759,2012-01-01,North America,Puerto Rico,Puerto Rico,Anez Et Al.,unknown,unknown,unknown,2012.53,2012-xx-xx,0.00,Puerto Rico,0.00,0.00
DENV4/NICARAGUA/703/1999,Kt452803,1999-01-01,North America,Nicaragua,Nicaragua,Aaskov Et Al.,unknown,unknown,unknown,2000.00,1999-xx-xx,0.00,Nicaragua,0.00,0.00
DENV4/HONDURAS/F6/2007,Gu586124,2007-01-01,North America,Honduras,Honduras,Alvarado Et Al.,unknown,unknown,unknown,2007.00,2007-xx-xx,0.00,Honduras,0.00,0.00
DENV4/TRINIDAD_AND_TOBAGO/TRDB046/2000,Jf804059,2000-01-01,North America,Trinidad And Tobago,Trinidad,Colon Et Al.,unknown,unknown,unknown,2000.00,2000-xx-xx,0.00,Trinidad,0.00,0.00
DENV4/GUADELOUPE/GUAFWIDEC/2004,Dq390320,2004-12-01,North America,Guadeloupe,Guadeloupe,Cesaire Et Al.,unknown,unknown,unknown,2004.92,2004-12-xx,0.00,Guadeloupe,0.00,0.00
DENV4/FRENCH_GUIANA/FGUOCT/2004,Dq390328,2004-10-01,South America,French Guiana,French Guiana,Cesaire Et Al.,unknown,unknown,unknown,2004.83,2004-10-xx,0.00,French Guiana,0.00,0.00
