Batch,Speed,BatchQty,Para1Tgt,Para1,Para2Tgt,Para2,Para3,Para4,Para5,Para6,Para7,Para8,Para9,Para10,Para11,Para12,Para13,Para14,Para15,Para16,Para17,Para18,Para19,Para20,Para21,Para22,Para23
139,98,118,0.419,0.42475,317,319,312,50284,1545,0.42325,311.75,20641,714,0.42525,307,712,0.4285,310.5,746,54.16666667,29.50437318,62.20930233,2.131336406,0.43,0.54,0.624708625,18
140,100,19,0.421,0.436,317,324,300,44384,1339,0.44325,308,21943,803,0.43825,300.75,712,0.446,310,798,41.66666667,42.65815438,28.40236686,1.576182137,0.37,0.56,0.811494253,19
141,97,31,0.417,0.43875,317,319,315,51763,1437,0.433,309,20528,598,0.44,309.5,800,0.441,311,938,51,30.01715266,64.44444444,2.356321839,0.29,0.72,0.597727273,20
142,102,27,0.419,0.45425,317,323,320,52711,1393,0.4495,321.5,23744,662,0.4535,315.75,732,0.46,311.5,570,31.11666667,43.56545961,69.18604651,1.835405565,0.39,0.54,0.721238938,19
143,98,23,0.421,0.44675,317,323,316,53370,1802,0.44275,314.75,22730,858,0.4425,316,849,0.444,322.5,1354,54.16666667,30.72118115,51.26903553,2.497398543,0.29,0.48,0.64380531,18
144,102,95,0.417,0.4325,317,322,306,48275,1578,0.4285,307.75,20496,642,0.42975,308,850,0.4275,300,1015,58.26666667,31.10102157,59.5505618,1.861702128,0.4,0.65,0.687203791,19
145,102,21,0.417,0.4415,317,322,315,45429,1407,0.43675,311.75,19805,662,0.438,311.25,733,0.4435,299,798,53.5,38.11936937,45.40540541,1.565120179,0.35,0.68,0.703196347,20
146,92,53,0.429,0.439,317,322,309,49705,1554,0.44075,305.25,21766,710,0.44125,305,796,0.443,299,1081,45.5,29.43502825,58.23529412,1.776960784,0.36,0.7,0.636986301,20
147,101,84,0.419,0.44175,317,318,315,47703,1680,0.4465,305.75,21204,824,0.4385,313,735,0.442,318.5,808,54.83333333,30.95505618,48.82352941,2.926525529,0.24,0.65,0.591836735,20
148,100,23,0.417,0.42375,317,321,300,40944,1363,0.425,300.75,18840,688,0.4235,299.25,705,0.4185,292.5,749,36,35.85858586,63.48314607,2.209302326,0.26,0.73,0.909722222,20
149,92,35,0.421,0.43,317,321,311,44738,1328,0.42975,301.5,21686,684,0.43,308.75,760,0.436,306.5,1071,53.28333333,32.33256351,50.81081081,2.570233114,0.31,0.67,0.76744186,20
150,95,150,0.421,0.44825,317,323,320,48741,1550,0.43825,308.5,21991,704,0.4435,312.5,633,0.445,325,816,44.33333333,28.83295195,63.31360947,2.005730659,0.33,0.52,0.610599078,20
151,100,141,0.421,0.4385,317,322,312,46940,1466,0.441,312,21798,728,0.4375,309,746,0.438,307,570,36.16666667,30.90705487,55.4973822,1.621621622,0.41,0.75,0.931034483,20
152,90,22,0.425,0.4455,317,321,312,55176,1713,0.44225,313.25,21187,766,0.44525,311.75,854,0.4425,308.5,952,46.33333333,27.50434279,54.11764706,2.362669817,0.27,0.76,0.717391304,19
153,88,70,0.421,0.433,317,321,301,39594,1129,0.42925,306,20303,749,0.43225,303,718,0.436,309.5,896,52.33333333,35.3314121,61.62162162,0.911039657,0.32,0.72,0.702576112,18
154,92,35,0.421,0.437329,317,320,313,49416,1335,0.4345,311.25,22666,714,0.43425,313.25,744,0.436,309.5,732,40.21666667,37.16452742,58.24175824,1.893287435,0.32,0.8,0.717539863,19
155,88,14,0.425,0.44275,317,320,315,48258,1421,0.43975,318.75,28984,872,0.4425,319.25,760,0.4465,313.5,707,49.23333333,31.90883191,50.88757396,2.092760181,0.2,0.51,0.681093394,20
156,92,13,0.421,0.43475,317,319,308,45984,1218,0.436,319.25,22409,532,0.43725,303,499,0.4315,312.5,718,41,39.04542841,76.60818713,2.074927954,0.28,0.56,0.745920746,18
157,92,121,0.425,0.42925,317,320,306,50300,1404,0.43575,304.75,21702,712,0.43075,304,654,0.441,287,513,37.5,33.16239316,68.86227545,1.993957704,0.25,0.66,0.945080092,21
158,100,124,0.417,0.44225,317,320,323,54930,1704,0.44475,316.5,23036,842,0.44925,318.75,634,0.442,318,527,25.66666667,29.17831191,59.44444444,2.253032929,0.3,0.6,0.918367347,18
159,98,92,0.417,0.44175,317,322,315,46024,1554,0.439,313.5,22220,742,0.44525,319.75,704,0.447,310,679,36.85,47.45075319,70.45454545,1.942926533,0.38,0.52,0.668903803,19
160,98,74,0.421,0.426,321,320,309,47599,1309,0.4255,299.75,20255,681,0.43175,301.5,598,0.4235,298,672,53.46666667,38.0952381,88.34355828,2.038439138,0.3,0.89,0.832183908,19
161,94,110,0.421,0.43,317,321,310,45976,1158,0.4285,297.5,22554,760,0.43575,305.5,677,0.428,290,518,38.01666667,22.78835386,47.02702703,4.134078212,0.36,0.53,0.629186603,20
162,85,77,0.421,0.42775,317,321,307,44095,1390,0.428,310.5,20657,646,0.4275,309.5,747,0.4275,310,914,59.43333333,47.9006505,76.43678161,0.976450316,0.24,0.58,0.693023256,20
163,100,45,0.417,0.4435,317,324,314,47085,1358,0.4465,327.75,24788,912,0.44675,322,900,0.4475,335,819,54.33333333,34.48464912,55.02392344,2.00927357,0.3,1.07,0.719457014,20
164,96,15,0.417,0.43375,317,320,310,47438,1729,0.429,305.25,20368,807,0.43575,300.5,662,0.4355,314.5,774,55,29.9522673,70.58823529,2.558139535,0.41,0.84,0.940229885,21
165,100,20,0.417,0.43125,317,320,304,43002,1507,0.4325,307.75,21396,892,0.433,309,700,0.444,327,644,40.16666667,27.68691589,48.82352941,2.915951973,0.42,0.75,0.630071599,20
166,80,14,0.425,0.425,317,319,293,44223,1110,0.42525,294.75,19162,502,0.42625,301,665,0.4255,309.5,1252,53.33333333,33.67816092,61.45251397,1.712707182,0.25,0.65,0.745762712,20
167,90,137,0.425,0.44325,317,322,314,52776,1498,0.4425,298,22698,668,0.4425,314.75,592,0.4515,312.5,504,35.23333333,38.66513234,67.93478261,2.614758861,0.4,0.76,0.733634312,20
168,90,98,0.421,0.43775,317,318,320,50911,1552,0.438,308.75,27264,858,0.4365,316.25,639,0.4385,302,504,35.21666667,34.39093484,55.02645503,2.293064877,0.35,0.62,0.81498829,24
169,88,96,0.421,0.4375,317,321,316,56360,1465,0.43525,309.75,20962,616,0.439,312.75,887,0.4415,309.5,724,41.28333333,29.79683973,57.60869565,2.190580504,0.2,0.71,0.75,18
170,88,96,0.421,0.43275,317,320,319,56328,1500,0.434,310.75,22425,686,0.431,312.5,730,0.4335,321.5,872,41.4,27.40440324,51.61290323,2.159468439,0.27,0.64,0.712264151,18
171,92,73,0.421,0.4265,317,320,311,45300,1816,0.4225,309.75,20384,789,0.426,307.5,754,0.424,314,945,66.16666667,26.60388464,54.11764706,1.471453796,0.35,0.72,0.778823529,19
172,100,113,0.425,0.44275,317,325,313,45976,1265,0.448,313.25,22522,761,0.4425,315.75,525,0.44,316.5,665,38.16666667,40.90909091,71.26436782,1.68444694,0.25,0.75,0.902222222,18
173,101,48,0.421,0.43925,317,321,320,49712,1640,0.4335,318,23695,718,0.4375,307.25,693,0.435,296.5,763,39.36666667,30.01138952,65.14285714,2.479338843,0.23,0.72,0.826879271,18
174,103,74,0.421,0.44675,317,319,315,47969,1742,0.44675,315.5,24354,863,0.44325,316,864,0.4425,312,931,40.66666667,36.53738055,58.24175824,4.021289178,0.33,0.57,0.683257919,20
175,92,12,0.425,0.4455,317,323,323,52984,1824,0.4455,314,24194,910,0.4495,312.5,800,0.4485,302,846,41.65,36.54178674,55.30726257,2.34375,0.36,0.6,0.68220339,20
176,100,47,0.417,0.44275,317,321,322,57936,1944,0.43975,315.75,21991,807,0.441,318.5,744,0.4395,317.5,784,40.16666667,30.07432819,58.42696629,2.535832415,0.28,0.57,0.727477477,20
177,88,59,0.425,0.43025,317,320,305,46265,1580,0.432,306.5,20271,642,0.4315,303.75,821,0.4325,309,1211,58.66666667,32.03214696,50.81967213,2.015411974,0.3,0.6,0.848623853,19
178,104,66,0.417,0.43775,317,323,315,49305,1680,0.4375,322,21895,744,0.43975,311,724,0.434,305,780,42.83333333,37.00234192,59.52380952,1.44092219,0.24,0.9,0.85778781,18
179,102,33,0.421,0.4355,317,319,320,54270,1647,0.43475,317.25,23342,618,0.44215,319.5,676,0.441,332.5,836,53.5,32.25083987,59.21787709,2.111111111,0.26,0.82,0.613839286,17
180,100,23,0.417,0.43075,317,319,313,49512,1646,0.4355,318.25,24354,676,0.431,311.5,861,0.4275,300,1092,45,38.52889667,59.3220339,2.485549133,0.25,0.86,0.661214953,18
181,104,81,0.417,0.44075,317,319,308,49608,1500,0.4315,297.75,19680,712,0.43775,305.25,665,0.4405,295.5,570,29.83333333,35.39358601,65.49707602,2.29226361,0.31,0.66,0.722222222,20
182,103,153,0.417,0.43025,317,321,302,45831,1433,0.4285,299,20818,730,0.42775,304,691,0.428,298,714,42.66666667,36.67439166,70.83333333,2.202380952,0.27,0.65,0.917620137,20
183,98,30,0.421,0.43375,317,319,308,48435,1638,0.43075,304.25,23752,639,0.43225,304.25,672,0.4385,313.5,1113,41,40.13040901,51.14942529,2.173913043,0.39,0.63,0.648275862,21
184,102,16,0.417,0.432,317,323,312,51152,1505,0.43,308,22296,744,0.42775,304,728,0.43,302,518,36.23333333,32.12589074,71.42857143,2.58780037,0.21,0.87,0.816091954,20
185,102,21,0.417,0.44175,327,322,318,51827,1456,0.44,309,25286,861,0.44425,322.25,550,0.447,322.5,486,37.98333333,35.06044905,56.52173913,2.121390689,0.31,0.91,0.764044944,20
186,102,153,0.417,0.4365,317,323,320,52647,1818,0.43225,315,22377,794,0.4375,314.75,768,0.442,319,651,46,29.63604853,58.52272727,2.024539877,0.29,0.73,0.754022989,19
187,102,24,0.417,0.437,317,322,317,48886,1533,0.44,310.75,24688,872,0.44025,315,666,0.45,312.5,479,44.83333333,33.29564726,54.4973545,2.248454188,0.35,0.72,0.95045045,19
188,105,150,0.417,0.44425,317,322,316,50782,1535,0.437,310.75,21091,724,0.44425,318,649,0.4415,323.5,514,31.33333333,42.09039548,71.42857143,1.594802126,0.24,0.84,NULL,20
189,101,32,0.421,0.44225,317,319,304,50911,1323,0.4395,306.25,21525,537,0.441,308.25,690,0.4445,306.5,805,36,19.87435751,39.20454545,2.005730659,0.35,0.68,0.657407407,20
190,102,63,0.417,0.441,317,321,308,50252,1542,0.4405,308.5,23502,796,0.44225,306,623,0.4475,316.5,581,32.83333333,34.93571828,62.23404255,2.370689655,0.36,0.81,0.700460829,21
191,104,17,0.419,0.42725,317,319,307,48757,1387,0.425,315.5,22940,606,0.42875,308.25,656,0.4295,312,640,37.83333333,39.19860627,50.27027027,2.5,0.17,0.82,0.645539906,18
192,105,94,0.421,0.43125,317,320,317,49480,1610,0.4365,309.5,21364,733,0.431,314.5,602,0.437,308,534,31.28333333,42.85714286,60.54054054,2.347161572,0.35,0.67,0.889952153,20
193,102,40,0.421,0.43425,317,323,325,52422,1629,0.43425,309.75,19676,565,0.43325,326,775,0.439,318,784,34.36666667,42.41573034,68.7150838,2.586206897,0.2,0.68,0.678082192,20
194,102,98,0.417,0.42775,317,321,306,45204,1367,0.42875,303.25,19226,653,0.4255,300.5,663,0.427,310,623,37.33333333,29.31844888,59.52380952,1.649746193,0.26,0.68,0.788235294,20
195,100,61,0.421,0.43325,317,322,318,50766,1558,0.431,310,21782,793,0.434,308.25,788,0.4365,302.5,1054,56.33333333,27.7998863,53.63128492,2.575587906,0.21,0.67,0.698823529,19
196,100,111,0.417,0.43575,317,322,311,48596,1500,0.436,301,19130,744,0.43875,299,756,0.442,307.5,1200,46.33333333,41.10465116,59.23913043,1.851851852,0.22,0.6,0.659090909,18
197,102,10,0.421,0.43525,317,320,329,56344,1890,0.43525,324,25479,914,0.43625,327.5,793,0.434,310.5,802,58.66666667,28.61789514,50,3.128621089,0.41,0.81,0.725118483,20
198,96,20,0.421,0.43725,317,319,323,54496,1550,0.4425,320.25,27682,831,0.4395,320.25,789,0.44465,317.5,882,44,30.05714286,52.84090909,3.428571429,0.25,0.66,0.570114943,22
199,100,142,0.421,0.4355,317,323,312,38244,1127,0.43875,317.5,22345,858,0.436,316.5,768,0.438,310,973,51.66666667,29.44162437,54.83870968,1.065989848,0.44,0.55,0.747706422,20
200,100,87,0.421,0.431,317,321,304,46217,1325,0.4315,294,18840,690,0.43075,307.25,780,0.4385,310,1186,49.83333333,33.14285714,61.875,1.483171706,0.35,0.92,0.777777778,19
201,100,44,0.421,0.435,318,321,314,56280,1759,0.434,320,23647,814,0.43575,303.5,705,0.439,324,1348,51.61666667,33.18129989,50.84745763,2.68378063,0.32,0.82,0.623501199,20
202,102,16,0.417,0.44675,317,322,320,51618,1302,0.43925,327.75,21621,602,0.443,313.75,537,0.442,324,476,28.15,47.21906924,58.52272727,1.860202931,0.43,0.78,0.755196305,21
203,95,2,0.417,0.42825,317,323,310,46876,1561,0.425,317.75,22345,798,0.43025,317.75,576,0.43,318.5,766,47.61666667,30.57996485,52.74725275,0.8,0.31,0.6,0.623556582,21
204,98,6,0.421,0.442,317,323,318,50380,1194,0.44325,318.75,23663,709,0.4395,315,705,0.4465,315,1057,57,32.43553009,42.39130435,0.275330396,0.27,0.41,0.769574944,21
205,70,1,0.433,0.43725,317,319,309,47937,1447,0.43825,306.25,26099,950,0.437,309.25,694,0.4345,327,651,54.26666667,32.58362168,44.44444444,2.540937324,0.3,0.7,0.493181818,21
206,104,32,0.415,0.439,317,321,314,51088,1659,0.4365,318.5,23567,793,0.4415,325,800,0.4445,317.5,998,49.61666667,37.74985722,48.38709677,3.07424594,0.3,0.5,0.703539823,21
207,95,42,0.421,0.43925,317,324,314,50557,1794,0.439,311.5,25029,906,0.434,319,821,0.435,311.5,1102,73.33333333,25.17281106,48.31460674,2.708933718,0.31,0.64,0.798657718,21
208,84,35,0.425,0.4255,317,320,305,46924,1407,0.42925,306,21268,663,0.4235,305.75,822,0.427,311.5,906,66.15,26.60388464,47.25274725,2.464985994,0.34,0.63,0.637647059,20
209,100,64,0.417,0.43525,317,423,316,46313,1384,0.4345,322.5,20528,891,0.4345,308.25,704,0.432,315,990,48.66666667,37.06253586,62.85714286,2.301369863,0.24,0.62,0.523041475,18
210,102,27,0.419,0.4335,317,319,317,54372,1686,0.43225,303.5,23164,672,0.43275,324,684,0.4335,310,987,58.16666667,31.875,57.37704918,3.337236534,0.32,0.89,0.823943662,22
211,99,18,0.421,0.44275,317,323,318,60508,1626,0.4395,315.75,23358,693,0.444,317.75,763,0.45,342,914,38.7,35.11576626,53.73134328,3.396809058,0.37,0.73,0.782909931,20
212,100,32,0.421,0.432,317,324,314,49978,1608,0.43375,312,22246,828,0.4365,315.25,1012,0.442,321.5,1015,63.33333333,27.23138147,51.47928994,2.716763006,0.4,0.74,0.661137441,20
213,100,46,0.417,0.43175,317,323,318,45044,1508,0.427,314,20576,719,0.4305,318.75,728,0.428,302.5,970,51.11666667,40.11560694,52.30769231,2.132312739,0.43,0.79,0.68321513,20
214,98,27,0.421,0.433,317,322,311,48837,1656,0.4355,319,21171,761,0.436,316,822,0.4375,317,1208,57,37.06015891,57.78894472,2.638664513,0.3,0.78,0.998842593,22
215,104,79,0.417,0.4355,317,320,310,47165,1540,0.438,314,22634,892,0.4365,309.25,746,0.444,325.5,1250,50.33333333,38.71693866,61.17021277,2.785838654,0.29,0.69,0.840546697,20
216,102,30,0.419,0.452,317,319,326,57630,1617,0.44675,328.25,28293,828,0.448,318.25,782,0.447,1800,931,51.33333333,42.56410256,46.44808743,0.171722954,0.22,0.5,0.737931034,21
217,102,50,0.421,0.44,317,319,344,61303,1864,0.438,314.25,25176,721,0.4445,328,840,0.4335,319,1130,59.83333333,24.66063348,48.63387978,3.723404255,0.24,0.79,0.660592255,20
218,102,64,0.421,0.4445,317,323,321,52952,1516,0.44725,327.75,22666,777,0.4435,316.75,791,0.444,319,994,41.66666667,34.92957746,52.17391304,2.866593164,0.15,0.62,0.745495495,20
219,100,37,0.421,0.4355,317,323,316,48966,1566,0.4305,315,18406,721,0.4325,316.75,754,0.43,313.5,984,61.83333333,27.49262537,54.03726708,2.327005511,0.23,0.65,0.84494382,20
220,105,30,0.417,0.43475,317,324,325,52727,1729,0.43575,323,23744,824,0.4325,311.75,737,0.436,310.5,861,45.01666667,35.68985177,51.12359551,3.18627451,0.27,1.51,0.853080569,20
221,103,47,0.417,0.4295,317,322,312,43548,1402,0.42675,308,19323,707,0.42925,305.75,714,0.436,319,1186,59.33333333,35.71844095,63.06818182,2.19017094,0.31,0.63,0.769784173,20
222,104,16,0.417,0.42875,317,321,301,45349,1577,0.429,307.75,20962,662,0.43425,321,735,0.437,312,896,44.7,34.20899008,33.33333333,2.827466821,0.35,0.78,0.773148148,21
223,104,92,0.421,0.4445,317,319,326,53129,1575,0.45025,324,26010,677,0.44725,324.5,676,0.4425,319,840,34,22.39641657,52.12121212,1.149425287,0.46,0.82,0.657471264,20
224,108,29,0.417,0.43225,317,319,324,54274,1564,0.43375,317.5,21396,628,0.4355,324.5,808,0.4405,328.5,1218,53.33333333,30.00573723,45.40540541,3.294797688,0.37,0.62,0.662068966,20
225,98,43,0.425,0.447,317,322,304,48339,1288,0.4475,312.25,20673,763,0.4465,310,670,0.4545,326,1253,35,34.54947485,54.54545455,1.767955801,0.45,0.88,0.733924612,19
226,104,38,0.417,0.43425,317,324,323,52100,1768,0.42825,307.75,20207,822,0.435,322,1040,0.433,313,1166,66.16666667,38.08724832,55.55555556,2.517162471,0.29,0.85,0.776978417,20
227,103,57,0.417,0.43025,317,321,315,49239,1950,0.4285,315.25,22474,901,0.4295,314.5,779,0.44,323.5,1054,41.55,32.21320973,49.45652174,2.549246813,0.38,0.62,0.694252874,21
228,109,41,0.416,0.438,317,320,306,47438,1530,0.43575,304.25,20440,782,0.44125,309,840,0.4395,307,1326,49.33333333,43.93939394,67.0212766,2.863559798,0.38,0.86,0.868965517,20
229,108,26,0.417,0.43375,317,323,306,48274,1398,0.43,308.25,23084,716,0.434,307.5,628,0.437,309,662,38.11666667,39.39220183,56.98324022,2.920560748,0.27,0.74,0.739030023,21
230,108,39,0.417,0.4445,317,321,320,48660,1608,0.445,321.5,21396,712,0.4425,320.25,668,0.437,317,654,37.45,28.66741321,58.38150289,3.00982801,0.28,0.55,0.862790698,20
231,102,35,0.421,0.433,317,319,320,50750,1587,0.43525,320.5,26573,788,0.43325,313.5,770,0.4365,320,1354,69.83333333,23.31969608,46.11111111,3.442340792,0.32,0.56,0.693548387,20
232,108,31,0.417,0.436,317,322,314,48602,1692,0.43025,310,21622,808,0.43575,311.5,826,0.4385,309,816,33.33333333,44.70655926,57.62711864,3.352601156,0.31,0.67,0.924137931,22
233,108,87,0.417,0.44825,317,323,313,49673,1377,0.44375,320.5,20512,623,0.4495,314.25,821,0.45,310,802,43.1,37.40661686,60.86956522,2.761550717,0.42,0.97,0.943262411,20
234,98,50,0.421,0.4305,317,323,312,46201,1432,0.42875,303.75,19387,618,0.4285,308.25,606,0.433,325.5,1092,52.18333333,23.9906378,40.33149171,2.390670554,0.39,0.86,0.796296296,20
235,106,19,0.417,0.43475,317,319,318,51272,1320,0.43525,307.25,20690,632,0.44275,317.25,723,0.4395,320,906,47.66666667,40.67121729,66.86046512,3.183962264,0.38,0.87,0.692307692,20
236,101,117,0.421,0.438,317,319,318,49110,1526,0.436,311.5,21589,864,0.43875,317.5,878,0.438,311.5,1032,54.16666667,37.03703704,54.65116279,2.790697674,0.36,0.79,0.712643678,19
237,100,50,0.417,0.427,317,319,316,53419,1572,0.42325,307.5,22666,684,0.42525,307,582,0.427,310.5,868,64.78333333,27.84810127,44.91017964,3.273809524,0.4,0.66,0.612903226,19
238,105,56,0.421,0.42125,317,321,305,42439,1312,0.42175,303.5,18326,648,0.41575,291.5,724,0.418,302.5,732,47.83333333,36.20791494,61.45251397,2.837290098,0.31,0.69,0.788732394,18
239,102,47,0.421,0.42575,317,321,310,41732,1506,0.425,305.75,19628,791,0.566333333,409.3333333,716,0.4305,303,850,53.5,40.47619048,62.3655914,2.705882353,0.41,0.66,0.813364055,20
240,102,16,0.417,0.43025,317,323,308,42310,1330,0.42925,315.5,21686,758,0.4285,306.5,800,0.4285,301.5,819,58.83333333,40.0234055,54.18994413,2.900232019,0.39,0.71,0.845454545,20
241,107,71,0.417,0.4495,317,320,318,49384,1692,0.449,327.5,25962,842,0.45075,316.5,761,0.453,326.5,994,48.5,28.7394958,49.7382199,3.174603175,0.4,0.74,0.827956989,20
242,104,40,0.417,0.45525,317,328,324,51875,1813,0.45725,320.5,24177,861,0.46,324,898,0.463,316.5,1088,53.83333333,34.01950163,60.82474227,3.249475891,0.42,0.94,0.633832976,20
243,107,15,0.413,0.43025,317,324,313,46008,1526,0.42275,297.5,20657,775,0.43325,308.75,754,0.4325,307.5,1238,55.2,30.50749712,56.81818182,3.550295858,0.31,0.36,0.874709977,20
244,106,30,0.417,0.44675,317,319,323,55839,1703,0.44325,318.5,23245,674,0.44975,325.75,679,0.4555,331.5,1144,49.33333333,33.60210538,63.07692308,4.371584699,0.38,0.71,0.623287671,22
245,105,92,0.421,0.4365,317,325,317,46097,1522,0.4305,306,20866,905,0.42675,309,752,0.423,304.5,882,47.66666667,33.19977104,47.84946237,2.591283863,0.35,0.74,0.705882353,21
246,80,21,0.433,0.435,317,319,310,46056,1330,0.43225,313.75,22490,672,0.43575,305.5,690,0.44,310,1246,54.66666667,28.26086957,53.55191257,2.688486265,0.25,0.83,0.630841121,19
247,106,52,0.421,0.418,317,320,312,48853,1573,0.4215,303.5,20464,686,0.42,308.5,802,0.427,317,1306,55,30.75571178,54.18994413,3.275862069,0.33,0.61,0.7470726,22
248,108,37,0.409,0.4265745,317,324,316,52342,1736,0.42825,313.5,21059,793,0.4295,322.25,1020,0.428,319,1026,74,30.58280439,59.89010989,3.333333333,0.35,0.74,0.683333333,20
249,106,43,0.413,0.44225,317,322,320,47840,1616,0.4445,309.75,22522,950,0.43925,312.5,774,0.446,319.5,1008,50.16666667,40.75144509,43.24324324,2.923076923,0.46,0.76,0.731707317,20
250,109,70,0.409,0.4345,317,321,306,47760,1498,0.43875,314.5,19451,698,0.434,308.75,735,0.4405,312.5,770,45.83333333,35.18621456,61.05263158,3.191489362,0.23,0.73,0.953917051,18
251,108,51,0.413,0.439,317,322,307,48821,1596,0.435,309.25,19805,763,0.4415,311,718,0.4485,326,606,52.16666667,43.82955174,67.20430108,3.852596315,0.35,0.85,0.941724942,19
252,104,39,0.409,0.4325,317,321,314,43998,1424,0.43325,314.5,18712,782,0.43275,310.25,705,0.441,318,644,58.66666667,42.84064665,68.64864865,2.415966387,0.23,0.73,0.967592593,20
253,100,46,0.425,0.42475,317,321,311,47985,1577,0.419,308.25,18744,738,0.42925,313.75,826,0.4265,301.5,1116,59.66666667,30.7735426,49.72972973,2.824267782,0.39,0.96,0.70521542,19
254,95,15,0.421,0.44675,317,319,309,46088,1176,0.448,302.75,22602,665,0.44675,308.75,648,0.446,299,1127,66.5,32.13483146,54.54545455,2.419808666,0.4,0.9,0.587973274,21
255,103,108,0.425,0.4185,317,320,312,46040,1628,0.4225,309.75,17908,814,0.422,302.25,819,0.42,286.5,1155,61.16666667,33.03834808,50.85714286,2.34939759,0.38,1.01,0.624676242,18
256,106,35,0.413,0.4345,317,320,315,47937,1384,0.43925,306,21992,761,0.437,312.5,847,0.4455,178.5,749,54.16666667,32.94930876,58.01104972,2.958579882,0.46,0.9,0.922897196,18
257,104,45,0.417,0.43675,317,320,310,47503,1400,0.43625,308.25,19644,644,0.43575,310.75,789,0.441,314.5,952,50.08333333,28.30613393,52.68817204,2.888503755,0.38,0.79,0.944567627,19
258,104,16,0.413,0.44525,317,320,314,44995,1502,0.44525,318.25,21460,866,0.44175,315,816,0.4475,320,980,58.16666667,38.18696884,50.50505051,2.717391304,0.42,0.93,0.769230769,20
259,102,39,0.421,0.44175,317,324,310,46410,1484,0.44425,310.75,19194,714,0.4375,317.75,847,0.4405,326,906,37.83333333,33.03964758,56.31578947,2.905982906,0.33,0.8,0.751662971,19
260,106,24,0.417,0.43675,317,319,305,49609,1656,0.43875,314.25,23326,665,0.433,304.25,779,0.4345,302.5,1071,46,27.9478458,52.84090909,3.05997552,0.32,0.79,0.618721461,20
261,104,31,0.419,0.44225,317,325,313,48773,1580,0.594,426.6666667,21948,866,0.4435,313.5,849,0.4405,307.5,889,52.33333333,41.57923799,62.37113402,2.936549554,0.35,0.64,0.730088496,19
262,103,47,0.417,0.43275,317,319,316,48902,1563,0.4265,314.75,22490,873,0.4325,321,868,0.4355,310,1144,57,34.20902342,65,3.406466513,0.26,0.61,0.650574713,20
263,106,37,0.417,0.441,317,322,306,46972,1575,0.4345,305.75,22634,842,0.43625,307,828,0.436,311.5,637,46.83333333,35.31122746,60.97560976,3.105590062,0.34,0.64,0.862302483,20
264,102,37,0.413,0.4245,317,322,307,48419,1514,0.422,297.75,20158,726,0.42725,309.75,875,0.4255,321,1036,54.16666667,33.60137852,55.11363636,2.89017341,0.2,0.75,0.82038835,20
265,106,64,0.417,0.4485,318,324,324,54239,1876,0.4475,322.75,25656,1031,0.4525,328.75,828,0.4575,326.5,1043,65.5,31.82308522,54.27135678,3.157894737,0.2,0.63,0.956018519,20
266,107,29,0.417,0.433,317,324,302,47551,1654,0.43375,302,20158,835,0.42975,295,779,0.4315,308,1239,57,42.25988701,56.31578947,1.685393258,0.21,0.67,0.72985782,19
267,103,90,0.421,0.4435,317,319,308,50187,1414,0.443,312.75,21749,658,0.44375,309.5,728,0.443,305.5,886,59.33333333,29.92081448,21.10552764,3.067484663,0.31,0.63,0.609865471,20
268,100,42,0.421,0.4585,317,320,312,47069,1404,0.456,309.5,21043,747,0.4555,304.25,698,0.457,307.5,984,31,39.06926407,67.77777778,3.409090909,0.32,0.78,0.986754967,21
269,108,32,0.419,0.454,317,319,306,48387,1410,0.45075,319.25,27062,859,0.4495,314.25,681,0.4575,1774,1400,34.66666667,33.98656215,51.35135135,3.431101273,0.35,0.66,0.611353712,20
270,102,27,0.417,0.437,317,320,310,50300,1687,0.43575,317,24852,1040,0.4325,315.75,798,0.43,304.5,819,62.16666667,29.42857143,40.11299435,2.98136646,0.31,0.75,0.748267898,20
271,108,40,0.413,0.428,317,323,302,49271,1293,0.42475,304.5,21412,784,0.42425,301.75,686,0.436,312,910,52.18333333,33.80447585,49.06832298,2.841918295,0.36,0.65,0.758949881,20
272,109,23,0.413,0.43125,317,322,316,48242,1479,0.432075,306.5,22522,704,0.43525,318.75,760,0.434,315.5,794,57.03333333,34.0546697,55.97826087,2.603613177,0.28,0.63,0.723809524,20
273,109,79,0.413,0.45,317,321,327,56248,1549,0.446,326,25480,774,0.441,319,863,0.4395,309,1004,48.68333333,31.90770962,62.42774566,2.923331495,0.24,0.69,0.749425287,20
274,104,92,0.417,0.4395,317,317,315,47607,1496,0.436,301.5,23792,660,0.444,317.25,814,0.4445,312,1060,58.16666667,24.06892718,49.45054945,2.023608769,0.38,0.76,0.670533643,20
275,104,111,0.421,0.42475,3.7,321,316,46088,1586,0.42325,295,19049,868,0.42375,305.75,672,0.428,310,760,63,33.55184744,50,2.869518138,0.23,0.88,0.545673077,19
276,103,26,0.417,0.452,317,319,316,48907,1578,0.4455,313.75,23004,726,0.45125,326,866,0.451,310.5,931,61.5,38.35242771,60.33519553,3.152173913,0.31,0.88,0.61790393,20
277,105,136,0.417,0.4343335,317,319,316,50702,1488,0.431,313.5,23470,752,0.4385,327,840,0.441,303,861,65.83333333,26.22196665,45.76271186,2.824858757,0.18,0.67,0.662870159,20
278,104,30,0.417,0.4485,317,324,309,50091,1536,0.4495,321.5,24531,929,0.44825,317.25,943,0.4555,310,752,62.66666667,27.42474916,56.21621622,3.136629452,0.46,0.74,0.958997722,20
