Batch,Diameter,Etch1,Film-Thickness,Etch2,Line-Width,Overlay,Volume
549,0.421,0.43075,61440,307,954,2070,305.5
550,0.433,0.4375,54094,303.25,858,1871,308
551,0.417,0.42775,45172,309.5,936,1484,305
552,0.417,0.4215,43918,302.75,872,1556,299
553,0.417,0.44625,47872,411.6666667,758,1456,308.5
554,0.417,0.434,47503,313.5,718,1549,283.5
555,0.417,0.456,57646,315.25,826,1771,326
556,0.417,0.4325,52100,310.5,766,1764,310.5
557,0.417,0.44075,42696,306.75,968,1461,319.5
558,0.413,0.42925,48338,316.75,679,1362,308.5
559,0.413,0.441,49190,316,649,1540,333.5
560,0.417,0.42825,42873,312,901,1438,309.5
561,0.433,0.435,47214,302,1200,1676,357.5
562,0.417,0.43225,52052,301.75,793,1657,317
563,0.415,0.43275,49239,317,896,1843,299
564,0.415,0.43,50428,313.5,1036,1740,308.5
565,0.413,0.441,44931,306.75,830,1586,307
566,0.433,0.45775,47728,323.25,740,1461,310
567,0.421,0.4465,52534,309.25,756,1852,312.5
568,0.417,0.4395,51522,308.25,698,1866,335.5
569,0.417,0.4295,52068,320.75,1031,1760,318.5
570,0.421,0.4405,48483,309.25,1074,1533,308
571,0.417,0.44725,53226,306.75,1015,1787,320.5
572,0.417,0.42175,42037,288.5,728,1345,299.5
573,0.421,0.41775,44320,284,728,1521,292
574,0.413,0.43425,47856,304.25,864,1439,299
575,0.417,0.43175,46780,306.25,971,1564,299
576,0.417,0.43,52599,306.25,870,1778,316
577,0.417,0.43375,53901,302.25,774,1759,297
578,0.417,0.45225,55267,312.75,744,1897,329.5
579,0.413,0.45325,47198,319.25,987,1521,308
580,0.421,0.4255,44963,306.5,804,1701,312
581,0.415,0.418,44658,304.75,868,1547,309.5
582,0.417,0.43925,54432,322.25,948,1811,306
583,0.417,0.4485,54142,326.25,1169,1934,312.5
584,0.417,0.4425,47149,328,1104,1620,323
585,0.417,0.4525,55572,308.5,872,1746,322
586,0.421,0.44225,48628,313.75,936,1624,302
587,0.409,0.44575,47117,323.75,905,1493,321.5
588,0.417,0.4505,50590,323.75,990,1738,310.5
589,0.417,0.44,58965,307.5,896,1899,311
590,0.417,0.43475,51972,313.75,882,1785,307
591,0.417,0.44325,48210,304.5,856,1564,309.5
592,0.421,0.435,51788,312,959,1421,329
593,0.409,0.44775,51554,313.25,780,1804,322.5
594,0.413,0.43,48178,314,817,1642,316.5
595,0.433,0.44175,49770,308,788,1577,305.5
596,0.417,0.45375,54801,311.5,821,1746,311
597,0.409,0.443,48596,306,693,1521,305
598,0.417,0.44275,51779,310,849,1687,310.5
599,0.417,0.44925,48226,302.75,850,1920,314
600,0.413,0.43925,51297,318.75,970,1846,307
601,0.417,0.43358,49046,314.75,970,1906,318
602,0.417,0.436,47294,313,971,1619,311.5
603,0.417,0.45,49834,313,896,1456,303
604,0.413,0.4375,43088,306,919,1497,314.5
605,0.415,0.463,58836,313.75,1004,2034,317.5
606,0.413,0.455,43902,317.25,912,1586,317
607,0.417,0.437,49721,305,761,1678,313.5
608,0.417,0.4345,44111,304,844,1720,312.5
609,0.417,0.4515,54334,316.5,877,1918,311
610,0.425,0.43825,44336,304.5,794,1418,318.5
611,0.413,0.42875,43998,305,802,1582,303
612,0.413,0.4445,47953,325,978,1549,317.5
613,0.417,0.45125,48387,326.5,966,1923,330.5
614,0.417,0.4365,55621,314.25,1040,2174,326.5
615,0.417,0.439,47891,302.75,1003,1657,320
616,0.413,0.43925,50782,311,696,1458,310.5
617,0.417,0.43675,52631,313.25,1080,1981,310
618,0.433,0.44725,54383,323,998,1783,330
619,0.425,0.44,48757,316,1024,1550,313
620,0.417,0.42875,48564,305.75,877,1880,299
621,0.425,0.44375,48001,310,945,1568,306
622,0.419,0.40975,46956,304.75,1076,1790,313
623,0.425,0.43875,51924,315,870,1684,303
624,0.425,0.42825,46780,302.5,842,1633,315.5
625,0.417,0.4435,46506,306.5,926,1568,307
626,0.417,0.44175,56328,320,1101,2116,304.5
627,0.417,0.42375,42150,313.5,901,1470,323.5
628,0.417,0.43425,45590,304.5,696,1446,309
629,0.421,0.4290525,52310,300.5,796,1687,316.5
630,0.417,0.4295,48644,417.6666667,833,1722,313
631,0.417,0.4555,48580,303.5,772,1419,293.5
632,0.417,0.4355,43548,299.75,807,1423,299.5
633,0.425,0.4215,43580,298.5,940,1516,299.5
634,0.425,0.445,48371,305,891,1568,312
635,0.425,0.44625,47664,315.5,884,1594,322.5
636,0.421,0.43525,45494,311.25,966,1620,305.5
637,0.421,0.438,52100,306,770,1724,314
638,0.421,0.44625,59334,316.25,912,2170,322
639,0.417,0.4425,48258,326,989,1799,314
640,0.421,0.43025,49126,311.75,1003,1526,300
641,0.413,0.4465,47053,316.75,761,1668,321
642,0.413,0.43975,45638,309.5,854,1517,315
643,0.421,0.4205,47374,299,863,1769,315
644,0.421,0.437,46522,300,842,1678,317
645,0.421,0.432,43146,297.75,747,1382,295.5
646,0.417,0.42925,46274,321.75,1018,1519,318
647,0.417,0.423,44208,304.75,980,1608,286.5
648,0.417,0.42525,47245,311.25,984,1535,301.5
649,0.425,0.46625,50139,314.25,910,1561,304
650,0.421,0.432,51747,312.75,872,1549,317.5
651,0.421,0.424,42278,307.25,854,1433,304
652,0.429,0.44425,50548,311.75,864,1496,313
653,0.421,0.42675,42970,294.25,770,1354,287.5
