DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,SD,36,"$42,795.31 ","$12,960.22 ","$11,059.17 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,HI,40,"$54,825.78 ","$17,747.85 ","$14,823.73 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,NH,40,"$57,787.73 ","$16,541.48 ","$14,473.13 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,MT,42,"$27,826.43 ","$11,394.24 ","$9,259.52 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,ND,55,"$29,029.36 ","$10,884.31 ","$9,765.60 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,ID,60,"$40,519.88 ","$12,540.95 ","$11,528.98 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,RI,62,"$41,948.61 ","$14,707.21 ","$13,090.94 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,DC,67,"$67,244.03 ","$18,909.75 ","$13,140.25 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,ME,71,"$37,789.75 ","$14,092.94 ","$11,913.62 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,DE,105,"$38,272.55 ","$11,645.00 ","$9,610.76 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,WV,115,"$35,537.43 ","$11,826.66 ","$9,837.40 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,UT,118,"$33,136.12 ","$10,823.36 ","$9,485.69 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,NE,123,"$45,787.54 ","$11,607.09 ","$10,270.80 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,NM,134,"$36,327.22 ","$12,808.82 ","$11,100.06 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,KS,148,"$48,067.58 ","$10,034.86 ","$9,121.18 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,CT,161,"$47,671.21 ","$14,769.79 ","$12,278.37 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,AR,162,"$35,170.52 ","$9,962.49 ","$8,799.85 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,IA,175,"$41,982.39 ","$11,331.46 ","$9,903.92 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,OR,183,"$35,781.17 ","$13,071.64 ","$11,899.37 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,MS,192,"$50,448.17 ","$10,822.16 ","$9,239.10 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,NV,210,"$71,012.74 ","$11,713.93 ","$10,041.14 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,WI,221,"$37,983.06 ","$11,686.85 ","$9,886.95 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,CO,234,"$62,549.69 ","$12,649.62 ","$10,730.38 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,LA,240,"$42,351.53 ","$10,892.66 ","$9,016.20 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,OK,257,"$43,474.47 ","$10,766.30 ","$9,481.35 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,AZ,265,"$56,227.69 ","$12,456.53 ","$11,168.31 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,MD,275,"$18,645.15 ","$17,353.66 ","$16,260.12 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,SC,291,"$50,673.59 ","$11,771.65 ","$9,932.40 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,MN,296,"$42,862.62 ","$13,827.27 ","$12,162.87 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,MA,310,"$29,671.81 ","$14,229.60 ","$12,330.74 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,AL,328,"$50,808.04 ","$9,514.45 ","$8,351.92 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,KY,332,"$42,278.04 ","$11,119.40 ","$9,362.46 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,NJ,342,"$82,390.98 ","$13,559.13 ","$11,814.01 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,WA,403,"$48,068.80 ","$13,346.62 ","$11,730.17 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,MO,404,"$45,662.04 ","$11,279.42 ","$9,873.12 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,VA,439,"$42,190.80 ","$11,641.61 ","$9,566.26 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,GA,445,"$44,342.85 ","$10,556.53 ","$9,439.77 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,IN,516,"$39,351.36 ","$11,244.56 ","$9,654.43 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,NC,518,"$35,983.00 ","$11,509.00 ","$9,500.89 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,TN,532,"$40,322.48 ","$9,990.51 ","$8,774.58 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,IL,558,"$50,705.55 ","$11,890.63 ","$10,093.96 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,PA,590,"$59,369.83 ","$12,380.05 ","$9,900.12 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,NY,642,"$55,431.10 ","$15,876.54 ","$13,651.71 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,OH,698,"$46,070.87 ","$12,027.34 ","$9,854.59 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,MI,760,"$32,661.90 ","$12,295.03 ","$10,584.99 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,FL,990,"$59,622.93 ","$10,549.83 ","$9,220.93 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,TX,"1,035","$61,395.94 ","$11,218.88 ","$9,598.91 "
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,CA,"1,483","$80,743.54 ","$15,371.23 ","$14,013.42 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,WY,35,"$23,138.54 ","$8,455.51 ","$7,222.20 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,HI,36,"$31,529.03 ","$10,973.03 ","$8,663.11 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,DC,40,"$51,568.30 ","$11,827.28 ","$8,295.80 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,SD,42,"$27,627.38 ","$7,367.69 ","$6,215.00 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,NH,46,"$28,031.74 ","$7,507.80 ","$6,211.67 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,ND,48,"$22,770.79 ","$7,336.71 ","$5,462.44 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,MT,50,"$19,002.36 ","$6,733.92 ","$5,637.96 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,ID,69,"$25,824.12 ","$7,516.20 ","$5,915.10 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,RI,69,"$27,081.07 ","$8,631.09 ","$6,942.91 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,ME,87,"$22,631.11 ","$7,670.32 ","$5,945.67 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,NM,114,"$27,995.47 ","$8,031.10 ","$6,478.44 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,WV,114,"$21,864.71 ","$7,437.25 ","$5,991.55 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,NE,135,"$25,664.91 ","$6,648.82 ","$5,474.55 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,UT,142,"$21,374.46 ","$7,213.18 ","$5,855.46 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,DE,144,"$25,767.68 ","$7,269.08 ","$5,369.94 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,KS,165,"$33,275.65 ","$6,514.76 ","$5,332.13 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,NV,166,"$58,939.23 ","$7,558.55 ","$6,463.23 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,IA,178,"$21,693.61 ","$6,881.08 ","$5,694.72 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,WI,182,"$24,380.05 ","$6,914.60 ","$5,464.46 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,AR,185,"$22,276.98 ","$5,910.96 ","$4,854.43 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,CT,186,"$29,055.77 ","$8,760.85 ","$7,246.03 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,LA,194,"$27,523.94 ","$7,238.27 ","$5,393.34 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,OR,204,"$23,599.51 ","$8,183.72 ","$6,796.38 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,MS,208,"$28,186.15 ","$5,978.74 ","$4,938.14 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,CO,228,"$40,919.86 ","$7,482.15 ","$5,964.26 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,AZ,236,"$40,674.47 ","$7,818.29 ","$6,302.85 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,OK,250,"$26,328.32 ","$6,736.70 ","$5,490.24 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,KY,271,"$26,337.31 ","$6,947.79 ","$5,682.52 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,SC,323,"$33,707.69 ","$7,190.95 ","$5,562.42 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,MA,329,"$19,275.49 ","$8,620.55 ","$7,544.18 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,MN,346,"$25,970.15 ","$8,094.51 ","$6,307.04 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,NJ,355,"$58,190.26 ","$8,448.01 ","$7,054.72 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,MO,366,"$28,676.86 ","$6,669.50 ","$5,472.12 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,AL,434,"$30,178.23 ","$6,010.24 ","$4,924.04 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,WA,448,"$32,320.45 ","$7,757.54 ","$6,547.36 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,MD,469,"$12,063.93 ","$11,143.84 ","$10,090.84 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,IN,483,"$27,312.90 ","$6,903.56 ","$5,754.13 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,GA,492,"$27,909.43 ","$6,488.40 ","$5,433.63 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,TN,496,"$22,807.45 ","$6,091.51 ","$5,028.07 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,VA,508,"$25,361.33 ","$7,093.90 ","$5,322.51 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,NC,525,"$23,374.57 ","$7,367.62 ","$5,608.07 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,IL,590,"$33,145.35 ","$7,456.30 ","$5,953.40 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,NY,692,"$34,219.84 ","$9,647.27 ","$7,777.78 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,PA,736,"$33,007.51 ","$7,380.47 ","$5,618.22 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,OH,758,"$27,578.03 ","$7,368.87 ","$5,743.99 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,MI,904,"$21,932.83 ","$7,569.52 ","$6,250.09 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,TX,"1,084","$38,913.30 ","$6,970.06 ","$5,516.43 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,FL,"1,286","$40,874.22 ","$6,792.70 ","$5,571.68 "
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,CA,"1,475","$53,803.24 ","$9,747.46 ","$8,487.48 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,HI,12,"$26,292.92 ","$10,179.25 ","$5,710.75 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,RI,13,"$18,147.08 ","$6,450.62 ","$5,468.08 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,SD,13,"$19,446.62 ","$5,432.69 ","$4,540.92 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,VT,13,"$21,666.00 ","$7,166.62 ","$5,970.38 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,DC,15,"$30,292.80 ","$8,181.93 ","$5,803.73 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,NH,15,"$30,705.73 ","$4,897.80 ","$3,914.33 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,MT,16,"$13,857.94 ","$4,877.94 ","$3,812.38 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,ND,17,"$15,945.71 ","$5,086.65 ","$3,852.18 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,ID,19,"$23,365.84 ","$6,712.21 ","$3,771.74 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,DE,21,"$18,448.62 ","$5,411.71 ","$4,052.33 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,NM,24,"$23,997.83 ","$5,532.13 ","$3,963.08 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,UT,24,"$20,346.58 ","$5,359.17 ","$4,191.92 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,ME,28,"$16,548.29 ","$5,209.61 ","$4,037.46 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,WV,28,"$16,493.79 ","$6,191.29 ","$4,784.71 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,IA,38,"$19,916.08 ","$5,409.26 ","$3,902.42 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,CT,39,"$22,866.64 ","$6,769.21 ","$5,039.77 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,OR,40,"$21,953.18 ","$5,987.13 ","$4,877.23 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,NE,41,"$28,508.37 ","$5,541.44 ","$3,856.51 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,KS,44,"$30,753.52 ","$5,073.18 ","$3,740.93 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,NV,47,"$41,181.81 ","$5,789.23 ","$4,636.04 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,AR,49,"$17,166.43 ","$4,476.86 ","$3,367.10 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,LA,53,"$23,410.74 ","$5,050.13 ","$3,640.49 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,WI,64,"$23,313.70 ","$5,609.84 ","$4,053.11 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,AZ,65,"$28,776.49 ","$5,232.54 ","$4,115.22 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,MS,65,"$21,585.49 ","$5,143.43 ","$3,669.22 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,OK,67,"$20,807.55 ","$5,046.21 ","$3,775.55 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,CO,71,"$33,858.20 ","$6,166.11 ","$4,297.51 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,KY,76,"$25,352.97 ","$5,336.89 ","$3,986.50 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,MN,82,"$19,719.73 ","$5,928.77 ","$4,404.94 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,WA,89,"$25,380.63 ","$5,812.67 ","$4,325.47 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,MD,91,"$8,590.65 ","$7,966.19 ","$6,729.02 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,SC,94,"$25,633.53 ","$5,243.23 ","$3,815.65 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,MA,97,"$14,644.09 ","$6,454.57 ","$5,068.87 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,GA,99,"$23,789.86 ","$5,059.79 ","$3,914.90 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,MO,102,"$25,695.63 ","$5,400.50 ","$3,504.13 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,IN,123,"$23,173.88 ","$5,186.24 ","$4,065.22 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,NJ,135,"$42,291.76 ","$5,915.54 ","$4,532.11 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,NC,138,"$18,799.33 ","$5,386.19 ","$3,941.93 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,VA,142,"$22,925.87 ","$5,263.18 ","$3,762.02 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,TN,145,"$23,309.94 ","$4,983.12 ","$3,782.52 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,IL,149,"$24,312.58 ","$6,398.05 ","$3,835.44 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,AL,150,"$26,807.23 ","$4,457.55 ","$3,328.64 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,MI,207,"$17,739.94 ","$5,878.39 ","$4,226.96 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,PA,208,"$28,748.76 ","$5,498.68 ","$3,809.89 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,OH,229,"$19,964.25 ","$5,381.41 ","$3,904.26 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,NY,244,"$27,703.48 ","$7,277.05 ","$5,431.36 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,TX,294,"$34,282.39 ","$5,318.96 ","$3,848.55 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,CA,413,"$43,848.16 ","$7,927.43 ","$5,986.74 "
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,FL,504,"$36,715.49 ","$5,411.38 ","$3,996.16 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,ME,11,"$37,181.82 ","$11,327.27 ","$10,106.27 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,UT,12,"$30,102.92 ","$12,180.75 ","$7,280.58 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,HI,13,"$82,172.23 ","$20,203.77 ","$15,890.15 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,ID,16,"$30,934.00 ","$10,137.06 ","$7,451.19 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,RI,17,"$30,266.29 ","$11,998.71 ","$10,902.82 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,WV,17,"$25,674.06 ","$9,097.12 ","$7,481.76 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,NM,18,"$30,474.94 ","$10,276.56 ","$9,393.22 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,DE,23,"$43,951.61 ","$12,818.83 ","$11,709.74 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,DC,30,"$47,041.30 ","$13,986.43 ","$11,602.23 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,NE,30,"$40,785.53 ","$12,616.00 ","$8,608.43 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,IA,32,"$38,131.25 ","$8,699.00 ","$7,754.09 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,NH,33,"$39,316.42 ","$10,609.24 ","$9,445.36 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,CO,48,"$57,062.90 ","$11,115.98 ","$9,058.42 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,AR,52,"$40,051.19 ","$9,291.85 ","$7,499.69 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,KS,58,"$40,124.83 ","$8,550.78 ","$7,642.91 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,OR,59,"$33,830.03 ","$12,093.37 ","$11,250.12 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,OK,61,"$40,595.30 ","$10,133.34 ","$8,312.16 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,NV,70,"$57,719.61 ","$9,999.14 ","$8,484.36 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,MN,72,"$39,403.29 ","$12,337.68 ","$10,726.28 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,WI,79,"$35,193.87 ","$10,832.94 ","$7,864.28 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,KY,85,"$30,442.33 ","$9,187.44 ","$7,944.82 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,CT,91,"$48,932.01 ","$13,437.27 ","$10,681.10 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,WA,96,"$35,416.38 ","$10,777.48 ","$9,305.20 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,AZ,100,"$43,782.15 ","$10,169.81 ","$9,134.98 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,LA,110,"$36,263.42 ","$9,467.45 ","$8,029.28 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,MS,118,"$45,276.98 ","$9,463.76 ","$7,946.42 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,MA,158,"$25,273.66 ","$12,447.08 ","$10,900.07 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,MD,165,"$16,472.75 ","$15,190.99 ","$14,426.84 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,SC,168,"$40,040.94 ","$9,808.99 ","$8,047.79 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,IN,172,"$33,343.08 ","$8,999.56 ","$7,853.42 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,TN,172,"$39,925.62 ","$8,928.57 ","$7,883.45 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,AL,174,"$34,355.94 ","$7,976.58 ","$7,157.49 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,MO,177,"$37,886.46 ","$9,715.14 ","$8,846.38 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,VA,192,"$36,707.78 ","$10,487.85 ","$8,448.09 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,PA,226,"$63,249.70 ","$12,445.65 ","$9,644.01 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,OH,236,"$32,588.23 ","$9,722.63 ","$8,074.30 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,NJ,244,"$65,227.68 ","$11,029.92 ","$9,708.81 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,NC,281,"$28,618.30 ","$9,594.52 ","$8,165.83 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,GA,287,"$38,712.76 ","$9,762.39 ","$8,527.67 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,MI,310,"$26,973.44 ","$10,153.35 ","$8,931.32 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,IL,312,"$43,886.14 ","$11,697.81 ","$8,712.77 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,NY,332,"$53,541.48 ","$14,850.88 ","$12,680.17 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,FL,491,"$53,591.25 ","$9,270.80 ","$8,138.40 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,TX,625,"$50,480.74 ","$9,731.05 ","$8,039.31 "
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,CA,807,"$66,930.69 ","$13,279.06 ","$11,512.71 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,SD,24,"$34,646.83 ","$7,339.83 ","$5,474.33 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,VT,31,"$18,774.23 ","$8,346.84 ","$7,025.94 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,ND,33,"$30,967.09 ","$7,282.00 ","$6,202.55 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,MT,34,"$15,486.53 ","$6,166.38 ","$4,781.06 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,HI,36,"$27,555.22 ","$11,199.61 ","$6,139.75 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,ID,37,"$27,775.57 ","$7,939.30 ","$5,726.43 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,UT,47,"$24,224.62 ","$7,903.57 ","$4,841.66 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,NM,53,"$26,322.21 ","$7,434.06 ","$5,619.02 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,ME,67,"$20,493.46 ","$7,472.76 ","$5,252.66 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,DC,71,"$33,240.28 ","$9,100.58 ","$6,720.96 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,RI,73,"$21,298.38 ","$8,259.04 ","$6,948.58 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,DE,79,"$17,375.25 ","$7,341.42 ","$5,255.29 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,NE,81,"$27,219.70 ","$6,684.49 ","$5,279.30 "
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,NH,93,"$26,441.42 ","$6,874.35 ","$5,842.05 "
