fm_code,sort_code,Era_Name,Coal Basin,fm_name,comments
324FRCL,3241265,Pennsylvanian,EKY,Fire Clay Coal Zone                                                                                                                                                                                                                                            ,
324MBRJ,3241280,Pennsylvanian,EKY,"Member J, Hyden Fm                                                                                                                                                                                                                                             ",
324WSBGU,3241285,Pennsylvanian,EKY,Upper Whitesburg Coal Zone                                                                                                                                                                                                                                     ,
324MBRI,3241290,Pennsylvanian,EKY,"Member I, Hyden Fm                                                                                                                                                                                                                                             ",
324WSBGL,3241295,Pennsylvanian,EKY,Lower Whitesburg Coal Zone                                                                                                                                                                                                                                     ,
324CRLW,3241300,Pennsylvanian,WKY,"Curlew Ls Mbr, Tradewater Fm                                                                                                                                                                                                                                   ",
324GRGR,3241300,Pennsylvanian,WKY,Granger Ss                                                                                                                                                                                                                                                     ,
324KDCK,3241300,Pennsylvanian,EKY,"Kendrick Sh Mbr, Hyden Fm                                                                                                                                                                                                                                      ",
324TRDTA,3241300,Pennsylvanian,WKY,"Tradewater ""A""                                                                                                                                                                                                                                                 ",
324MNGT,3241305,Pennsylvanian,WKY,"Mannington Coal, Tradewater Fm                                                                                                                                                                                                                                 ","S11, B2, P33, WKY #4 (MINING CITY & LEWISPORT COALS UNDIF)"
324EMPR,3241350,Pennsylvanian,WKY,Empire Coal                                                                                                                                                                                                                                                    ,"S11, B2"
324DNBR,3241360,Pennsylvanian,WKY,Dunbar Coal                                                                                                                                                                                                                                                    ,"S11, B2"
324EMLK,3241370,Pennsylvanian,WKY,Elm Lick Coal                                                                                                                                                                                                                                                  ,"S11, B2"
324ABRD,3241380,Pennsylvanian,WKY,Aberdeen Coal and Ss                                                                                                                                                                                                                                           ,"S11, B2"
324AMFS,3241390,Pennsylvanian,WKY,Amos and Foster Coal Zone                                                                                                                                                                                                                                      ,"S11, B2"
324AMBG,3241400,Pennsylvanian,EKY,"Amburgy Member, Pikeville Fm                                                                                                                                                                                                                                   ",
324AMBGU,3241400,Pennsylvanian,EKY,Upper Amburgy Coal Zone                                                                                                                                                                                                                                        ,
324PKVL,3241400,Pennsylvanian,EKY,Pikeville Fm                                                                                                                                                                                                                                                   ,
324AMBGL,3241425,Pennsylvanian,EKY,Lower Amburgy Coal Zone                                                                                                                                                                                                                                        ,
324ICEH,3241450,Pennsylvanian,WKY,"Ice House Coal, Tradewater Fm                                                                                                                                                                                                                                  ","S11, B2, P29, WKY #3"
324EKFK,3241500,Pennsylvanian,EKY,"Elkins Fork Sh, Pikeville Fm                                                                                                                                                                                                                                   ",
324FINN,3241500,Pennsylvanian,WKY,Finnie Ss                                                                                                                                                                                                                                                      ,
324FNGR,3241500,Pennsylvanian,WKY,Finnie & Grindstaff Ss Undif                                                                                                                                                                                                                                   ,"NW LIVINGSTON CO, ISGS 1975, B95, P165"
324LDCK,3241500,Pennsylvanian,WKY,"Lead Creek Ls Mbr, Tradewater Fm                                                                                                                                                                                                                               ",
324TRDTB,3241500,Pennsylvanian,WKY,"Tradewater ""B""                                                                                                                                                                                                                                                 ",
324DRBY,3241505,Pennsylvanian,EKY,Darby                                                                                                                                                                                                                                                          ,
324GRDS,3241505,Pennsylvanian,WKY,Grindstaff Ss                                                                                                                                                                                                                                                  ,"NW LIVINGSTON CO, ISGS 1975, B95, P165"
324WK02,3241510,Pennsylvanian,WKY,WKY #2 Coal,"S11, B2"
324DNFD,3241520,Pennsylvanian,WKY,Deanefield Coal                                                                                                                                                                                                                                                ,"S11, B2"
324HWSV,3241530,Pennsylvanian,WKY,Hawesville Coal                                                                                                                                                                                                                                                ,"S11, B2"
324DWLE,3241600,Pennsylvanian,EKY,"Dwale Shale, Pikeville Fm                                                                                                                                                                                                                                      ",
324ELKU3,3241605,Pennsylvanian,EKY,Upper Elkhorn No. 3 Coal Zone,
324MBRH,3241620,Pennsylvanian,EKY,"Member H, Pikeville Fm                                                                                                                                                                                                                                         ",
324ELKU2,3241625,Pennsylvanian,EKY,Upper Elkhorn No. 2 Coal Zone,
324MBRG,3241640,Pennsylvanian,EKY,"Member G, Pikeville Fm                                                                                                                                                                                                                                         ",
324ELKU1,3241645,Pennsylvanian,EKY,Upper Elkhorn No. 1 Coal Zone,
324UNSS,3241650,Pennsylvanian,WKY,Unnamed shale & sandstone Mbr                                                                                                                                                                                                                                  ,"NW LIVINGSTON CO, ISGS 1975, B95, P165 & AMOS, 1966, GQ-546"
324CBCK,3241660,Pennsylvanian,EKY,Campbell Creek Ls                                                                                                                                                                                                                                              ,
324CRMS,3241660,Pennsylvanian,EKY,"Crummies Shale Member, Pikeville Fm                                                                                                                                                                                                                            ",
324ELKL,3241665,Pennsylvanian,EKY,Lower Elkhorn Coal Zone                                                                                                                                                                                                                                        ,
324MBRF,3241680,Pennsylvanian,EKY,"Member F, Pikeville Fm                                                                                                                                                                                                                                         ",
324LBGC,3241685,Pennsylvanian,EKY,Little Blue Gem Coal Zone                                                                                                                                                                                                                                      ,
324BELL,3241700,Pennsylvanian,WKY,"Bell Coal Bed, Tradewater Fm                                                                                                                                                                                                                                   ",WKY #1B
324NIGR,3241700,Pennsylvanian,WKY,Niagara Sand                                                                                                                                                                                                                                                   ,
324TRDTC,3241700,Pennsylvanian,WKY,"Tradewater ""C""                                                                                                                                                                                                                                                 ",
324WLBG,3241800,Pennsylvanian,EKY,"Wheelersburg Shale, Pikeville Fm                                                                                                                                                                                                                               ",
324WLBGC,3241805,Pennsylvanian,EKY,Wheelersburg Coal                                                                                                                                                                                                                                              ,
324BTSI,3241900,Pennsylvanian,EKY,"Betsie Sh Mbr, Pikeville Fm                                                                                                                                                                                                                                    ",
324TRDTD,3241900,Pennsylvanian,WKY,"Tradewater ""D""                                                                                                                                                                                                                                                 ",
325DSMS,3250000,Pennsylvanian, ,DesMoines Series                                                                                                                                                                                                                                               ,
326ATKA,3260000,Pennsylvanian, ,Atoka Series                                                                                                                                                                                                                                                   ,
327PNLVL,3270100,Pennsylvanian, ,"Pennsylvanian, Lower Part                                                                                                                                                                                                                                      ",
327GACU,3270200,Pennsylvanian,EKY,Grundy & Alvy Creek Undif                                                                                                                                                                                                                                      ,GROUPED BY DGM PROJECT                                      
327GRND,3270200,Pennsylvanian,EKY,Grundy Fm                                                                                                                                                                                                                                                      ,
327MNCRC,3270200,Pennsylvanian,EKY,Manchester Coal Zone                                                                                                                                                                                                                                           ,
327VCLV,3270220,Pennsylvanian,EKY,"Vancleve Member, Grundy Fm                                                                                                                                                                                                                                     ",
327VCLVC,3270225,Pennsylvanian,EKY,Vancleve Coal                                                                                                                                                                                                                                                  ,
327CRBN,3270300,Pennsylvanian,EKY,"Corbin Ss Mbr, Grundy Fm                                                                                                                                                                                                                                       ",
327LEE,3270300,Pennsylvanian,EKY,Lee Sandstone                                                                                                                                                                                                                                                  ,NOT FORMATION NAME AFTER 1-JAN-1996
327WK01A,3270400,Pennsylvanian,WKY,WKY #1A coal,"S11, B2"
327CSVL,3270500,Pennsylvanian,WKY,Caseyville Fm                                                                                                                                                                                                                                                  ,
327PRDG,3270600,Pennsylvanian,EKY,"Partridge Shale Mbr, Grundy Fm                                                                                                                                                                                                                                 ",
327MSONC,3270605,Pennsylvanian,EKY,Mason Coal Zone                                                                                                                                                                                                                                                ,
327MLUS,3270620,Pennsylvanian,EKY,"Molus Shale Mbr, Grundy Fm                                                                                                                                                                                                                                     ",
327HAGYC,3270625,Pennsylvanian,EKY,Hagy Coal Zone                                                                                                                                                                                                                                                 ,
327MBRD,3270640,Pennsylvanian,EKY,"Member D, Grundy Fm                                                                                                                                                                                                                                            ",
327GRWKC,3270645,Pennsylvanian,EKY,Grayhawk Coal                                                                                                                                                                                                                                                  ,
327HZPC,3270660,Pennsylvanian,EKY,"Hazel Patch Ss Mbr, Grundy Fm                                                                                                                                                                                                                                  ",
327DVBC,3270680,Pennsylvanian,EKY,"Dave Branch Shale, Grundy Fm                                                                                                                                                                                                                                   ",
327CLFKC,3270685,Pennsylvanian,EKY,Clear Fork Coal Zone                                                                                                                                                                                                                                           ,
327YLCK,3270690,Pennsylvanian,EKY,"Yellow Creek Ss, Grundy Fm                                                                                                                                                                                                                                     ",
327OLVH,3270695,Pennsylvanian,EKY,Olive Hill Clay Bed (Grundy Fm?)                                                                                                                                                                                                                               ,"NOT PROPERLY DATED, EXACT STRATIGRAPHIC POSITION UNKNOWN    "
327BEVR,3270700,Pennsylvanian,EKY,Beaver Sd                                                                                                                                                                                                                                                      ,
327BIHLU,3270700,Pennsylvanian,WKY,Upper Biehl Ss                                                                                                                                                                                                                                                 ,
327PNDS,3270700,Pennsylvanian,WKY,"Pounds Ss Mbr, Caseyville Fm                                                                                                                                                                                                                                   ",
327SALT,3270700,Pennsylvanian,EKY,Salt Sd                                                                                                                                                                                                                                                        ,
327SALT1,3270700,Pennsylvanian,EKY,1st Salt Sd,
327WGES,3270700,Pennsylvanian,EKY,Wages                                                                                                                                                                                                                                                          ,
327UNSS,3270800,Pennsylvanian,WKY,Unnamed shale & sandstone Mbr                                                                                                                                                                                                                                  ,"NW LIVINGSTON CO, ISGS 1975, B95, P165 & AMOS, 1966, GQ-546"
327BIHLL,3270900,Pennsylvanian,WKY,Lower Biehl Ss                                                                                                                                                                                                                                                 ,
327BSPR,3270900,Pennsylvanian,WKY,"Bee Spring Ss Mbr, Caseyville Fm                                                                                                                                                                                                                               ",
327EPRS,3270900,Pennsylvanian,EKY,Epperson Sand                                                                                                                                                                                                                                                  ,
327HRTN,3270900,Pennsylvanian,EKY,Horton                                                                                                                                                                                                                                                         ,
327LVGS,3270900,Pennsylvanian,EKY,Livingston Cong                                                                                                                                                                                                                                                ,
327SALT2,3270900,Pennsylvanian,EKY,2nd Salt Sd,
327BRCK,3271100,Pennsylvanian,EKY,"Bee Rock Ss Fm, Breathitt Gp                                                                                                                                                                                                                                   ",
327BTRC,3271100,Pennsylvanian,WKY,Battery Rock Coal                                                                                                                                                                                                                                              ,"S11, B2"
327BTRK,3271100,Pennsylvanian,WKY,"Battery Rock Ss Mbr, Caseyville Fm                                                                                                                                                                                                                             ",
327JONS,3271100,Pennsylvanian,EKY,Jones Sand                                                                                                                                                                                                                                                     ,
327PCRK,3271100,Pennsylvanian,EKY,"Pine Creek Ss Mbr, Bee Rock Fm                                                                                                                                                                                                                                 ",
327PIKE,3271100,Pennsylvanian,EKY,Pike Sd                                                                                                                                                                                                                                                        ,
327SALT3,3271100,Pennsylvanian,EKY,3rd Salt Sd,
327BRKG,3271120,Pennsylvanian,WKY,Breckenridge Coal                                                                                                                                                                                                                                              ,"S11, B2"
327NOLN,3271140,Pennsylvanian,WKY,Nolin Coal                                                                                                                                                                                                                                                     ,"S11, B2"
327BRFK,3271200,Pennsylvanian,EKY,"Barren Fork Shale, Bee Rock Fm                                                                                                                                                                                                                                 ",
327BRFKC,3271205,Pennsylvanian,EKY,Barren Fork Coal                                                                                                                                                                                                                                               ,
327RCKC,3271220,Pennsylvanian,EKY,"Rockcastle Ss Mbr, Bee Rock Fm                                                                                                                                                                                                                                 ",
327MBRC,3271240,Pennsylvanian,EKY,"Member C, Bee Rock Fm                                                                                                                                                                                                                                          ",
327NESE,3271245,Pennsylvanian,EKY,Naese Coal                                                                                                                                                                                                                                                     ,
327AVCK,3271260,Pennsylvanian,EKY,Alvy Creek Fm                                                                                                                                                                                                                                                  ,
327HNSL,3271280,Pennsylvanian,EKY,"Hensley Mbr, Alvy Creek Fm                                                                                                                                                                                                                                     ",
327MDLB,3271280,Pennsylvanian,EKY,Middlesboro                                                                                                                                                                                                                                                    ,EQUALS SEWANEE AND WARREN POINT COMBINED                    
327BVCKC,3271285,Pennsylvanian,EKY,Beaver Creek Coal                                                                                                                                                                                                                                              ,
327KNOX,3271300,Pennsylvanian,EKY,Knox Sd                                                                                                                                                                                                                                                        ,
327KYRK,3271300,Pennsylvanian,WKY,"Kyrock Cong Mbr, Caseyville Fm                                                                                                                                                                                                                                 ",
327WMBG,3271300,Pennsylvanian,EKY,Williamsburg Sd                                                                                                                                                                                                                                                ,
327LUSK,3271310,Pennsylvanian,WKY,"Lusk Mbr, Caseyville Fm                                                                                                                                                                                                                                        ","NW LIVINGSTON CO, ISGS 1975, B95, P165 & AMOS, 1966, GQ-546"
327CLCF,3271400,Pennsylvanian,EKY,"Coal Cliff Member, Alvy Creek Fm                                                                                                                                                                                                                               ",
327STRN2,3271405,Pennsylvanian,EKY,Stearns No. 2 Coal Zone,
327MBRA,3271420,Pennsylvanian,EKY,"Member A, Alvy Creek Fm                                                                                                                                                                                                                                        ",
327STRN1,3271425,Pennsylvanian,EKY,Stearns No. 1 & 1.5 Coal Zone,
327SEWN,3271440,Pennsylvanian,EKY,"Sewanee Sandstone Fm, Breathitt Gp                                                                                                                                                                                                                             ",
327BMCK,3271460,Pennsylvanian,EKY,"Bottom Creek Fm, Breathitt Gp                                                                                                                                                                                                                                  ",
327DKRG,3271500,Pennsylvanian,EKY,"Dark Ridge Mbr, Bottom Creek Fm                                                                                                                                                                                                                                ",
327CBGPC,3271505,Pennsylvanian,EKY,Cumberland Gap Coal Bed                                                                                                                                                                                                                                        ,
327CDLL,3271600,Pennsylvanian,EKY,Chadwell                                                                                                                                                                                                                                                       ,
327WRCK,3271600,Pennsylvanian,EKY,White Rocks Ss                                                                                                                                                                                                                                                 ,
327WRNP,3271600,Pennsylvanian,EKY,"Warren Point Ss Fm, Breathitt Gp                                                                                                                                                                                                                               ",
327PCNS,3271800,Pennsylvanian,EKY,Pocahontas Fm                                                                                                                                                                                                                                                  ,NOT PRESENT IN KENTUCKY                                     
328MRRW,3280000,Pennsylvanian, ,Morrow Series                                                                                                                                                                                                                                                  ,
330CHRT,3300100,Mississippian, ,Limestone and Chert Rubble                                                                                                                                                                                                                                     ,
330MSSP,3300100,Mississippian, ,Mississippian System                                                                                                                                                                                                                                           ,
331MSSPU,3310000,Mississippian, ,Upper Mississippian Series                                                                                                                                                                                                                                     ,
332CSTR,3320000,Mississippian, ,Chester Series                                                                                                                                                                                                                                                 ,
332MSSPU,3320100,Mississippian, ,"Mississippian, Upper Part                                                                                                                                                                                                                                      ",
332CSTRU,3320300,Mississippian, ,Chester (Kinkaid thru Tar Springs)                                                                                                                                                                                                                             ,USED WHERE FORMATION AT TOTAL DEPTH IS UNCERTAIN            
332GVCC,3320300,Mississippian, ,Grove Church Sh                                                                                                                                                                                                                                                ,
332BFLW,3320500,Mississippian, ,Buffalo Wallow Fm                                                                                                                                                                                                                                              ,KINKAID LS TO TOP OF TAR SPRINGS SS                         
332BLSN,3320500,Mississippian, ,Bluestone Fm                                                                                                                                                                                                                                                   ,
332KDCP,3320500,Mississippian, ,"Kinkaid, Degonia, Clore, & Palestin                                                                                                                                                                                                                            ",Paducah area (Fluorspar District)                           
332KNDC,3320500,Mississippian, ,"Kinkaid, Degonia, & Clore Undif                                                                                                                                                                                                                                ",Fluorspar District Area                                     
332KNKD,3320500,Mississippian, ,Kinkaid Ls                                                                                                                                                                                                                                                     ,
332LHFD,3320500,Mississippian, ,Leitchfield Fm                                                                                                                                                                                                                                                 ,KINKAID LS TO TOP OF GLEN DEAN LS                           
332PNGT,3320500,Mississippian, ,Pennington Gp                                                                                                                                                                                                                                                  ,
332PRID,3320520,Mississippian, ,Pride Shale Member                                                                                                                                                                                                                                             ,
332PRNC,3320540,Mississippian, ,Princeton Sandstone                                                                                                                                                                                                                                            ,
332HNTN,3320560,Mississippian, ,"Hinton Fm, Pennington Gp                                                                                                                                                                                                                                       ",
332LTSG,3320560,Mississippian, ,"Little Stone Gap Mbr, Hinton Fm                                                                                                                                                                                                                                ",
332RVCF,3320700,Mississippian, ,Ravencliff Sd                                                                                                                                                                                                                                                  ,
332MAXN,3320900,Mississippian, ,Maxon Sd                                                                                                                                                                                                                                                       ,
332BRDL,3321100,Mississippian, ,Bradley Sd                                                                                                                                                                                                                                                     ,
332DGON,3321300,Mississippian, ,Degonia Ss                                                                                                                                                                                                                                                     ,
332DGPL,3321300,Mississippian, ,Degonia/Clore/Palestine Undif                                                                                                                                                                                                                                  ,
332CLOR,3321500,Mississippian, ,Clore Ls                                                                                                                                                                                                                                                       ,
332PLSN,3321700,Mississippian, ,Palestine Ss                                                                                                                                                                                                                                                   ,
332PMVW,3321700,Mississippian, ,"Palestine, Menard, Waltersburg, & Vienna                                                                                                                                                                                                                       ",Paducah area (Fluorspar District)                           
332CPMN,3321900,Mississippian, ,Chapman Sd (Stephens Sd)                                                                                                                                                                                                                                       ,
332MNRD,3321900,Mississippian, ,Menard Ls                                                                                                                                                                                                                                                      ,
332MWVT,3321900,Mississippian, ,"Menard, Waltersburg, Vienna, & Tar Springs                                                                                                                                                                                                                     ",Paducah area (Fluorspar District)                           
332WLBG,3322100,Mississippian, ,Waltersburg Ss                                                                                                                                                                                                                                                 ,
332WLVN,3322100,Mississippian, ,Waltersburg and Vienna Undif                                                                                                                                                                                                                                   ,Fluorspar District Area                                     
332STGP,3322300,Mississippian, ,"Stony Gap Mbr, Hinton Fm                                                                                                                                                                                                                                       ",
332VINN,3322300,Mississippian, ,Vienna Ls                                                                                                                                                                                                                                                      ,
332BLFD,3322400,Mississippian, ,Bluefield Fm                                                                                                                                                                                                                                                   ,
332PRGN,3322420,Mississippian, ,Paragon Fm (Outcrop Belt)                                                                                                                                                                                                                                      ,
332PRGUS,3322420,Mississippian, ,Upper Shale Member (Outcrop Belt)                                                                                                                                                                                                                              ,
332PRSL,3322420,Mississippian, ,Paragon and Slade Undif                                                                                                                                                                                                                                        ,
332PRGLS,3322440,Mississippian, ,Limestone Member (Outcrop Belt)                                                                                                                                                                                                                                ,
