ID,RecordNumber,Produces,Year,DaysOnLine,VolumeMCF,Time
1513,40646,GAS,1976,363,13338,36
1514,40646,GAS,1977,359,12483,37
1515,40646,GAS,1978,354,9893,38
1516,40646,GAS,1979,362,8565,39
1517,40646,GAS,1980,358,8052,40
1518,40646,GAS,1981,364,7883,41
1519,40680,GAS,1941,363,7828,1
1520,40680,GAS,1942,365,10295,2
1521,40680,GAS,1943,368,9026,3
1522,40680,GAS,1944,365,8391,4
1523,40680,GAS,1945,366,6934,5
1524,40680,GAS,1946,364,9332,6
1525,40680,GAS,1947,363,13471,7
1526,40680,GAS,1948,361,14022,8
1527,40680,GAS,1949,364,14090,9
1528,40680,GAS,1950,363,16722,10
1529,40680,GAS,1951,362,15320,11
1530,40680,GAS,1952,364,19032,12
1531,40680,GAS,1953,367,15779,13
1532,40680,GAS,1954,363,14089,14
1533,40680,GAS,1955,363,17623,15
1534,40680,GAS,1956,363,16395,16
1535,40680,GAS,1957,363,17153,17
1536,40680,GAS,1958,359,17306,18
1537,40680,GAS,1959,106,6299,19
1538,40680,GAS,1960,179,9394,20
1539,40680,GAS,1961,363,23170,21
1540,40680,GAS,1962,219,12383,22
1541,40680,GAS,1963,204,16120,23
1542,40680,GAS,1964,77,3677,24
1543,40680,GAS,1965,363,28018,25
1544,40680,GAS,1966,363,20525,26
1545,40680,GAS,1967,363,19764,27
1546,40680,GAS,1968,345,18984,28
1547,40680,GAS,1969,364,24058,29
1548,40680,GAS,1970,362,19460,30
1549,40680,GAS,1971,361,12956,31
1550,40680,GAS,1972,364,12683,32
1551,40680,GAS,1973,366,13759,33
1552,40680,GAS,1974,220,6228,34
1553,40680,GAS,1975,361,9346,35
1554,40680,GAS,1976,361,9148,36
1555,40680,GAS,1977,362,11389,37
1556,40680,GAS,1978,363,11758,38
1557,40680,GAS,1979,362,13379,39
1558,40680,GAS,1980,364,12415,40
1559,40680,GAS,1981,359,11279,41
1560,40708,GAS,1954,347,6520,1
1561,40708,GAS,1955,154,4655,2
1562,40708,GAS,1956,363,5033,3
1563,40708,GAS,1957,364,5669,4
1564,40708,GAS,1958,314,3768,5
1565,40708,GAS,1959,356,4318,6
1566,40708,GAS,1960,362,4166,7
1567,40708,GAS,1961,363,4648,8
1568,40708,GAS,1962,367,4981,9
1569,40708,GAS,1963,362,4717,10
1570,40708,GAS,1964,312,3956,11
1571,40708,GAS,1965,302,3084,12
1572,40708,GAS,1966,189,1909,13
1573,40708,GAS,1967,285,2687,14
1574,40708,GAS,1968,362,3478,15
1575,40708,GAS,1969,371,3441,16
1576,40708,GAS,1970,329,3705,17
1577,40708,GAS,1971,339,3715,18
1578,40708,GAS,1972,347,3717,19
1579,40708,GAS,1973,244,2247,20
1580,40708,GAS,1974,349,3302,21
1581,40708,GAS,1975,367,2786,22
1582,40708,GAS,1976,364,2783,23
1583,40708,GAS,1977,366,2468,24
1584,40708,GAS,1978,366,1016,25
1585,40708,GAS,1979,364,2712,26
1586,40708,GAS,1980,364,2030,27
1587,40708,GAS,1981,55,431,28
1588,40712,GAS,1977,355,21110,1
1589,40712,GAS,1978,114,7880,2
1590,40712,GAS,1979,366,26884,3
1591,40712,GAS,1980,364,27146,4
1592,40712,GAS,1981,335,26480,5
1593,40712,GAS,1982,361,25620,6
1594,40954,GAS,1947,358,5051,1
1595,40954,GAS,1948,355,4867,2
1596,40954,GAS,1949,363,4898,3
1597,40954,GAS,1950,362,4847,4
1598,40954,GAS,1951,362,4848,5
1599,40954,GAS,1952,365,4553,6
1600,40954,GAS,1953,365,3979,7
1601,40954,GAS,1954,332,3794,8
1602,40954,GAS,1955,363,3761,9
1603,40954,GAS,1956,363,3710,10
1604,40954,GAS,1957,361,3513,11
1605,40954,GAS,1958,362,3668,12
1606,40954,GAS,1959,362,3575,13
1607,40954,GAS,1960,365,3055,14
1608,40954,GAS,1961,364,2824,15
1609,40954,GAS,1962,371,3080,16
1610,40954,GAS,1963,362,3259,17
1611,40954,GAS,1964,362,1926,18
1612,40954,GAS,1965,362,2956,19
1613,40954,GAS,1966,362,2765,20
1614,40954,GAS,1967,365,2750,21
1615,40954,GAS,1968,362,3621,22
1616,40954,GAS,1969,362,3043,23
1617,40954,GAS,1970,363,2974,24
1618,40954,GAS,1971,365,2770,25
1619,40954,GAS,1972,364,3005,26
1620,40954,GAS,1973,362,2976,27
1621,40954,GAS,1974,326,2675,28
1622,40954,GAS,1975,362,2076,29
1623,40954,GAS,1976,360,5571,30
1624,40954,GAS,1977,362,6281,31
1625,40954,GAS,1978,255,4673,32
1626,40954,GAS,1979,362,6163,33
1627,40954,GAS,1980,363,6764,34
1628,40954,GAS,1981,118,2653,35
1629,40956,GAS,1950,343,9686,1
1630,40956,GAS,1951,360,8348,2
1631,40956,GAS,1952,140,2790,3
1632,40956,GAS,1953,365,9723,4
1633,40956,GAS,1954,362,10620,5
1634,40956,GAS,1955,362,10798,6
1635,40956,GAS,1956,362,10955,7
1636,40956,GAS,1957,362,11711,8
1637,40956,GAS,1958,371,12616,9
1638,40956,GAS,1959,364,12221,10
1639,40956,GAS,1960,362,12004,11
1640,40956,GAS,1961,362,12442,12
1641,40956,GAS,1962,364,10757,13
1642,40956,GAS,1963,362,12425,14
1643,40956,GAS,1964,362,13164,15
1644,40956,GAS,1965,363,13111,16
1645,40956,GAS,1966,12,564,17
1646,40956,GAS,1967,23,1050,18
1647,40956,GAS,1968,363,15651,19
1648,40956,GAS,1969,363,13661,20
1649,40956,GAS,1970,367,13668,21
1650,40956,GAS,1971,365,13963,22
1651,40956,GAS,1972,351,13403,23
1652,40956,GAS,1973,362,13382,24
1653,40956,GAS,1974,363,13412,25
1654,40956,GAS,1975,294,11131,26
1655,40956,GAS,1976,1,123,27
1656,40956,GAS,1977,362,10953,28
1657,40956,GAS,1978,363,8839,29
1658,40956,GAS,1979,364,11966,30
1659,40956,GAS,1980,364,11484,31
1660,40956,GAS,1981,359,7322,32
1661,40958,GAS,1948,363,10245,1
1662,40958,GAS,1949,342,13196,2
1663,40958,GAS,1950,358,12552,3
1664,40958,GAS,1951,356,14055,4
1665,40958,GAS,1952,321,11956,5
1666,40958,GAS,1953,363,16720,6
1667,40958,GAS,1954,359,13037,7
1668,40958,GAS,1955,362,11741,8
1669,40958,GAS,1956,363,12289,9
1670,40958,GAS,1957,362,11505,10
1671,40958,GAS,1958,85,2855,11
1672,40958,GAS,1959,362,0,12
1673,40958,GAS,1960,267,7864,13
1674,40958,GAS,1961,271,9687,14
1675,40958,GAS,1962,360,8192,15
1676,40958,GAS,1963,362,5773,16
1677,40958,GAS,1964,365,5607,17
1678,40958,GAS,1965,362,5488,18
1679,40958,GAS,1966,364,8199,19
1680,40958,GAS,1967,369,6977,20
1681,40958,GAS,1968,362,6392,21
1682,40958,GAS,1969,362,5810,22
1683,40958,GAS,1970,363,7704,23
1684,40958,GAS,1971,360,8078,24
1685,40958,GAS,1972,364,7080,25
1686,40958,GAS,1973,98,555,26
1687,40958,GAS,1974,111,1129,27
1688,40958,GAS,1975,360,7122,28
1689,40958,GAS,1976,366,5951,29
1690,40958,GAS,1977,299,2112,30
1691,40958,GAS,1978,350,6267,31
1692,40958,GAS,1979,365,6278,32
1693,40958,GAS,1980,353,6325,33
1694,41217,GAS,1979,358,4943,1
1695,41217,GAS,1980,358,5881,2
1696,41217,GAS,1981,365,5810,3
1697,41217,GAS,1982,365,9530,4
1698,41217,GAS,1983,100,2040,5
1699,41503,GAS,1974,350,5950,1
1700,41503,GAS,1975,351,2810,2
1701,41503,GAS,1976,365,4020,3
1702,41503,GAS,1977,181,20800,4
1703,41503,GAS,1978,365,15700,5
1704,41503,GAS,1979,365,16400,6
1705,41503,GAS,1980,366,13900,7
1706,41503,GAS,1981,349,18800,8
1707,41503,GAS,1982,353,7034,9
1708,41503,GAS,1983,350,9490,10
1709,45437,GAS,1942,361,31209,1
1710,45437,GAS,1943,367,36274,2
1711,45437,GAS,1944,361,38724,3
1712,45437,GAS,1945,364,35052,4
1713,45437,GAS,1946,363,33075,5
1714,45437,GAS,1947,363,33703,6
1715,45437,GAS,1948,359,29776,7
1716,45437,GAS,1949,337,34840,8
1717,45437,GAS,1950,364,31986,9
1718,45437,GAS,1951,364,33837,10
1719,45437,GAS,1952,346,34254,11
1720,45437,GAS,1953,361,37944,12
1721,45437,GAS,1954,362,43932,13
1722,45437,GAS,1955,369,41579,14
1723,45437,GAS,1956,363,38076,15
1724,45437,GAS,1957,362,45180,16
1725,45437,GAS,1958,363,48771,17
1726,45437,GAS,1959,360,44215,18
1727,45437,GAS,1960,361,44356,19
1728,45437,GAS,1961,361,44489,20
1729,45437,GAS,1962,56,5430,21
1730,45437,GAS,1963,363,45284,22
1731,45437,GAS,1964,363,41754,23
1732,45437,GAS,1965,364,39336,24
1733,45437,GAS,1966,363,38528,25
1734,45437,GAS,1967,358,40170,26
1735,45437,GAS,1968,357,44737,27
1736,45437,GAS,1969,363,44224,28
1737,45437,GAS,1970,363,41064,29
1738,45437,GAS,1971,302,32484,30
1739,45437,GAS,1972,232,27093,31
1740,45437,GAS,1973,240,29728,32
1741,45437,GAS,1974,361,45665,33
1742,45437,GAS,1975,361,44751,34
1743,45437,GAS,1976,366,42275,35
1744,45437,GAS,1977,362,39756,36
1745,45437,GAS,1978,362,48434,37
1746,45437,GAS,1979,363,54033,38
1747,45437,GAS,1980,362,34962,39
1748,45437,GAS,1981,358,42615,40
1749,45914,GAS,1984,153,4891,1
1750,45914,GAS,1985,0,0,2
1751,45914,GAS,1986,0,0,3
1752,47015,GAS,1977,108,842,1
1753,47015,GAS,1978,183,1300,2
1754,47015,GAS,1979,285,1835,3
1755,47015,GAS,1980,278,2110,4
1756,47015,GAS,1981,342,2229,5
1757,47015,GAS,1982,118,903,6
1758,47016,GAS,1977,308,3763,1
1759,47016,GAS,1978,130,1666,2
1760,47016,GAS,1979,107,1197,3
1761,47016,GAS,1980,282,2928,4
1762,47016,GAS,1981,275,3251,5
1763,47016,GAS,1982,203,2266,6
1764,47018,GAS,1977,98,252,1
1765,47018,GAS,1978,276,805,2
1766,47018,GAS,1979,191,457,3
1767,47018,GAS,1980,307,671,4
1768,47018,GAS,1981,284,682,5
1769,47018,GAS,1982,110,261,6
1770,47021,GAS,1980,109,5708,1
1771,47021,GAS,1981,284,10797,2
1772,47021,GAS,1982,0,0,3
1773,47022,GAS,1977,0,654,1
1774,47022,GAS,1978,188,1106,2
1775,47022,GAS,1979,262,1605,3
1776,47022,GAS,1980,201,1348,4
1777,47022,GAS,1981,107,749,5
1778,47023,GAS,1978,147,2079,1
1779,47023,GAS,1979,270,3075,2
1780,47023,GAS,1980,279,2375,3
1781,47023,GAS,1981,238,1883,4
1782,47025,GAS,1979,242,4350,1
1783,47025,GAS,1980,0,0,2
1784,47025,GAS,1981,366,2013,3
1785,47025,GAS,1982,365,1874,4
1786,47025,GAS,1983,365,3110,5
1787,47026,GAS,1979,365,12368,1
1788,47026,GAS,1980,364,2450,2
1789,47026,GAS,1981,366,19586,3
1790,47026,GAS,1982,242,1520,4
1791,47026,GAS,1983,311,2780,5
1792,47028,GAS,1978,122,2220,1
1793,47028,GAS,1979,240,3010,2
1794,47028,GAS,1980,243,3000,3
1795,47028,GAS,1981,365,2660,4
1796,47028,GAS,1982,366,2450,5
1797,47028,GAS,1983,365,2576,6
1798,47205,GAS,1979,311,820,1
1799,47205,GAS,1980,241,1750,2
1800,47205,GAS,1981,365,4114,3
1801,47205,GAS,1982,365,5330,4
1802,47205,GAS,1983,366,5625,5
1803,47208,GAS,1979,234,2930,1
1804,47208,GAS,1980,365,3400,2
1805,47208,GAS,1981,325,1580,3
1806,47208,GAS,1982,365,2976,4
1807,47208,GAS,1983,366,2348,5
1808,47209,GAS,1978,366,1843,1
1809,47209,GAS,1979,365,4000,2
1810,47209,GAS,1980,243,3390,3
1811,47209,GAS,1981,16,110,4
1812,47209,GAS,1982,365,2834,5
1813,47210,GAS,1978,243,3000,1
1814,47210,GAS,1979,16,100,2
1815,47210,GAS,1980,365,3210,3
1816,47210,GAS,1981,365,2415,4
1817,47210,GAS,1982,366,2253,5
1818,47211,GAS,1979,366,4895,1
1819,47211,GAS,1980,365,5732,2
1820,47211,GAS,1981,365,7270,3
1821,47211,GAS,1982,234,4050,4
1822,47220,GAS,1973,241,3740,1
1823,47220,GAS,1974,365,4594,2
1824,47220,GAS,1975,365,3620,3
1825,47220,GAS,1976,366,0,4
1826,47220,GAS,1977,126,5030,5
1827,47220,GAS,1978,126,47690,6
1828,47221,GAS,1977,119,4000,1
1829,47221,GAS,1978,240,4640,2
1830,47221,GAS,1979,297,33795,3
1831,47221,GAS,1980,364,7936,4
1832,47221,GAS,1981,365,6180,5
1833,47221,GAS,1982,243,4210,6
1834,47222,GAS,1977,240,2240,1
1835,47222,GAS,1978,122,4110,2
1836,47222,GAS,1979,243,630,3
1837,47222,GAS,1980,365,3570,4
1838,47222,GAS,1981,364,5138,5
1839,47222,GAS,1982,366,5153,6
1840,47224,GAS,1978,122,2880,1
1841,47224,GAS,1979,240,2880,2
1842,47224,GAS,1980,80,5910,3
1843,47224,GAS,1981,186,2710,4
1844,47224,GAS,1982,366,5748,5
1845,47224,GAS,1983,189,2268,6
1846,47227,GAS,1977,180,4400,1
1847,47227,GAS,1978,130,3140,2
1848,47227,GAS,1979,354,11220,3
1849,47227,GAS,1980,365,4040,4
1850,47227,GAS,1981,87,4274,5
1851,47228,GAS,1977,129,4660,1
1852,47228,GAS,1978,365,11010,2
1853,47228,GAS,1979,354,10740,3
1854,47228,GAS,1980,87,2633,4
1855,47228,GAS,1981,180,3740,5
1856,47229,GAS,1977,130,5220,1
1857,47229,GAS,1978,354,3900,2
1858,47229,GAS,1979,365,15420,3
1859,47229,GAS,1980,87,2918,4
1860,47229,GAS,1981,180,4840,5
1861,47230,GAS,1975,366,9820,1
1862,47230,GAS,1976,316,1570,2
1863,47230,GAS,1977,365,12140,3
1864,47230,GAS,1978,365,8650,4
1865,47230,GAS,1979,365,9110,5
1866,47230,GAS,1980,365,8007,6
1867,47230,GAS,1981,366,3182,7
1868,47231,GAS,1975,365,22660,1
1869,47231,GAS,1976,366,5020,2
1870,47231,GAS,1977,365,1060,3
1871,47231,GAS,1978,365,4405,4
1872,47231,GAS,1979,350,4780,5
1873,47231,GAS,1980,365,190,6
1874,47233,GAS,1979,289,3140,1
1875,47233,GAS,1980,365,1800,2
1876,47233,GAS,1981,183,1861,3
1877,47233,GAS,1982,365,1389,4
1878,47233,GAS,1983,365,124,5
1879,47235,GAS,1980,185,7203,1
1880,47235,GAS,1981,366,0,2
1881,47235,GAS,1982,0,0,3
1882,47547,GAS,1937,361,7504,1
1883,47547,GAS,1938,364,5622,2
1884,47547,GAS,1939,319,5657,3
1885,47547,GAS,1940,357,4211,4
1886,47547,GAS,1941,321,5983,5
1887,47547,GAS,1942,357,7367,6
1888,47547,GAS,1943,361,6492,7
1889,47547,GAS,1944,364,15822,8
1890,47547,GAS,1945,359,9085,9
1891,47547,GAS,1946,356,5010,10
1892,47547,GAS,1947,363,5218,11
1893,47547,GAS,1948,362,8338,12
1894,47547,GAS,1949,363,15618,13
1895,47547,GAS,1950,360,6212,14
1896,47547,GAS,1951,362,11982,15
1897,47547,GAS,1952,364,6133,16
1898,47547,GAS,1953,363,15686,17
1899,47547,GAS,1954,361,8992,18
1900,47547,GAS,1955,367,5736,19
1901,47547,GAS,1956,363,18366,20
1902,47547,GAS,1957,192,3306,21
1903,47547,GAS,1958,364,5508,22
1904,47547,GAS,1959,363,8230,23
1905,47547,GAS,1960,91,4857,24
1906,47547,GAS,1961,342,5715,25
1907,47547,GAS,1962,359,9832,26
1908,47547,GAS,1963,361,8336,27
1909,47547,GAS,1964,369,7355,28
1910,47547,GAS,1965,362,8361,29
1911,47547,GAS,1966,365,6551,30
1912,47547,GAS,1967,369,5396,31
1913,47547,GAS,1968,363,7777,32
1914,47547,GAS,1969,363,8711,33
1915,47547,GAS,1970,358,9472,34
1916,47547,GAS,1971,359,8388,35
1917,47547,GAS,1972,362,7832,36
1918,47547,GAS,1973,361,7415,37
1919,47547,GAS,1974,363,9631,38
1920,47547,GAS,1975,342,5944,39
1921,47547,GAS,1976,366,5297,40
1922,47547,GAS,1977,357,10848,41
1923,47547,GAS,1978,363,17161,42
1924,47547,GAS,1979,362,5300,43
1925,47547,GAS,1980,365,5086,44
1926,47547,GAS,1981,314,13364,45
1927,47547,GAS,1982,363,8222,46
1928,47549,GAS,1937,365,9847,1
1929,47549,GAS,1938,235,41316,2
1930,47549,GAS,1939,366,5355,3
1931,47549,GAS,1940,365,7266,4
1932,47549,GAS,1941,365,10792,5
1933,47549,GAS,1942,318,10942,6
1934,47549,GAS,1943,364,9852,7
1935,47549,GAS,1944,361,18818,8
1936,47549,GAS,1945,369,10487,9
1937,47549,GAS,1946,361,8995,10
1938,47549,GAS,1947,359,8398,11
1939,47549,GAS,1948,361,11587,12
1940,47549,GAS,1949,361,11605,13
1941,47549,GAS,1950,342,9008,14
1942,47549,GAS,1951,363,9141,15
1943,47549,GAS,1952,273,43132,16
1944,47549,GAS,1953,363,17362,17
1945,47549,GAS,1954,363,14850,18
1946,47549,GAS,1955,359,14782,19
1947,47549,GAS,1956,363,21905,20
1948,47549,GAS,1957,363,26335,21
1949,47549,GAS,1958,355,22033,22
1950,47549,GAS,1959,363,15375,23
1951,47549,GAS,1960,363,41225,24
1952,47549,GAS,1961,365,12067,25
1953,47549,GAS,1962,357,11875,26
1954,47549,GAS,1963,363,20456,27
1955,47549,GAS,1964,109,30275,28
1956,47549,GAS,1965,364,8955,29
1957,47549,GAS,1966,346,8489,30
1958,47549,GAS,1967,362,7201,31
1959,47549,GAS,1968,364,7554,32
1960,47549,GAS,1969,340,9274,33
1961,47549,GAS,1970,362,12846,34
1962,47549,GAS,1971,301,46215,35
1963,47549,GAS,1972,358,23808,36
1964,47549,GAS,1973,359,17318,37
1965,47549,GAS,1974,360,12856,38
1966,47549,GAS,1975,362,11268,39
1967,47549,GAS,1976,361,10396,40
1968,47549,GAS,1977,364,33325,41
1969,47549,GAS,1978,357,11059,42
1970,47549,GAS,1979,225,29663,43
1971,47549,GAS,1980,225,33604,44
1972,47549,GAS,1981,362,13505,45
1973,47549,GAS,1982,361,18230,46
1974,49629,,1971,30,517,1
1975,49629,,1972,366,4548,2
1976,49629,,1973,347,4651,3
1977,49629,,1974,288,3618,4
1978,49629,,1975,345,3618,5
1979,49629,,1976,288,2377,6
1980,49629,,1977,333,3101,7
1981,49629,,1978,352,3170,8
1982,49629,,1979,362,2900,9
1983,49629,,1980,365,2190,10
1984,49629,,1981,349,3140,11
1985,49629,,1982,293,2640,12
1986,49629,,1983,186,1563,13
1987,49629,,1984,299,2053,14
1988,50553,GAS,1934,367,13326,1
1989,50553,GAS,1935,362,14877,2
1990,50553,GAS,1936,360,15537,3
1991,50553,GAS,1937,364,49369,4
1992,50553,GAS,1938,363,25742,5
1993,50553,GAS,1939,362,12255,6
1994,50553,GAS,1940,362,19337,7
1995,50553,GAS,1941,346,13295,8
1996,50553,GAS,1942,362,13685,9
1997,50553,GAS,1943,360,20224,10
1998,50553,GAS,1944,259,57191,11
1999,50553,GAS,1945,363,39368,12
2000,50553,GAS,1946,49,12922,13
2001,50553,GAS,1947,360,14533,14
2002,50553,GAS,1948,342,12952,15
2003,50553,GAS,1949,355,13955,16
2004,50553,GAS,1950,362,22743,17
2005,50553,GAS,1951,365,10034,18
2006,50553,GAS,1952,346,12458,19
2007,50553,GAS,1953,220,53359,20
2008,50553,GAS,1954,363,49134,21
2009,50553,GAS,1955,359,21547,22
2010,50553,GAS,1956,362,12677,23
2011,50553,GAS,1957,364,31436,24
2012,50553,GAS,1958,312,41737,25
2013,50553,GAS,1959,362,15497,26
2014,50553,GAS,1960,348,9998,27
2015,50553,GAS,1961,363,23913,28
2016,50553,GAS,1962,366,17441,29
2017,50553,GAS,1963,365,15333,30
2018,50553,GAS,1964,185,7554,31
2019,50553,GAS,1965,352,19118,32
2020,50553,GAS,1966,362,12270,33
2021,50553,GAS,1967,359,14211,34
2022,50553,GAS,1968,355,15460,35
2023,50553,GAS,1969,353,43787,36
2024,50553,GAS,1970,359,18593,37
2025,50553,GAS,1971,369,14878,38
2026,50553,GAS,1972,360,25105,39
2027,50553,GAS,1973,361,16954,40
2028,50553,GAS,1974,363,33676,41
2029,50553,GAS,1975,350,65778,42
2030,50553,GAS,1976,363,24626,43
2031,50553,GAS,1977,360,20647,44
2032,50553,GAS,1978,315,12011,45
2033,50553,GAS,1979,363,19043,46
2034,50553,GAS,1980,329,12339,47
2035,50553,GAS,1981,362,18613,48
2036,50553,GAS,1982,362,22870,49
2037,50771,GAS,1942,54,4000,1
2038,50771,GAS,1943,360,6239,2
2039,50771,GAS,1944,363,4862,3
2040,50771,GAS,1945,347,4686,4
2041,50771,GAS,1946,363,19622,5
2042,50771,GAS,1947,364,24857,6
2043,50771,GAS,1948,363,20726,7
2044,50771,GAS,1949,363,20071,8
2045,50771,GAS,1950,363,28350,9
2046,50771,GAS,1951,355,14229,10
2047,50771,GAS,1952,361,15861,11
2048,50771,GAS,1953,366,18518,12
2049,50771,GAS,1954,361,14319,13
2050,50771,GAS,1955,363,13413,14
2051,50771,GAS,1956,358,22283,15
2052,50771,GAS,1957,363,20582,16
2053,50771,GAS,1958,353,20030,17
2054,50771,GAS,1959,363,20290,18
2055,50771,GAS,1960,362,14729,19
2056,50771,GAS,1961,362,18909,20
2057,50771,GAS,1962,278,13768,21
2058,50771,GAS,1963,363,25960,22
2059,50771,GAS,1964,361,21977,23
2060,50771,GAS,1965,362,23462,24
2061,50771,GAS,1966,271,14807,25
2062,50771,GAS,1967,365,15452,26
2063,50771,GAS,1968,355,11547,27
2064,50771,GAS,1969,343,12629,28
2065,50771,GAS,1970,316,11163,29
2066,50771,GAS,1971,342,12836,30
2067,50771,GAS,1972,348,7615,31
2068,50771,GAS,1973,329,10941,32
2069,50771,GAS,1974,369,13191,33
2070,50771,GAS,1975,362,11054,34
2071,50771,GAS,1976,357,6086,35
2072,50771,GAS,1977,233,6763,36
2073,50771,GAS,1978,363,8028,37
2074,50771,GAS,1979,361,8523,38
2075,50771,GAS,1980,360,11317,39
2076,50771,GAS,1981,362,13673,40
2077,50775,GAS,1939,318,14039,1
2078,50775,GAS,1940,362,51925,2
2079,50775,GAS,1941,344,14709,3
2080,50775,GAS,1942,362,17872,4
2081,50775,GAS,1943,362,40687,5
2082,50775,GAS,1944,362,10796,6
2083,50775,GAS,1945,362,10626,7
2084,50775,GAS,1946,342,15584,8
2085,50775,GAS,1947,337,14455,9
2086,50775,GAS,1948,132,30321,10
2087,50775,GAS,1949,369,16656,11
2088,50775,GAS,1950,328,50820,12
2089,50775,GAS,1951,367,9162,13
2090,50775,GAS,1952,362,17488,14
2091,50775,GAS,1953,360,14490,15
2092,50775,GAS,1954,365,15287,16
2093,50775,GAS,1955,364,15535,17
2094,50775,GAS,1956,365,13842,18
2095,50775,GAS,1957,367,13022,19
2096,50775,GAS,1958,365,14205,20
2097,50775,GAS,1959,366,14959,21
2098,50775,GAS,1960,210,7217,22
2099,50775,GAS,1961,353,25030,23
2100,50775,GAS,1962,362,33022,24
2101,50775,GAS,1963,360,17097,25
2102,50775,GAS,1964,355,26411,26
2103,50775,GAS,1965,367,18811,27
2104,50775,GAS,1966,356,25724,28
2105,50775,GAS,1967,362,18151,29
2106,50775,GAS,1968,362,19927,30
2107,50775,GAS,1969,359,18887,31
2108,50775,GAS,1970,363,20455,32
2109,50775,GAS,1971,272,16161,33
2110,50775,GAS,1972,354,18238,34
2111,50775,GAS,1973,363,35280,35
2112,50775,GAS,1974,355,16888,36
2113,50775,GAS,1975,363,20388,37
2114,50775,GAS,1976,364,21205,38
2115,50775,GAS,1977,361,31002,39
2116,50775,GAS,1978,363,26639,40
2117,50775,GAS,1979,361,22019,41
2118,50775,GAS,1980,358,21128,42
2119,50775,GAS,1981,359,25000,43
2120,50775,GAS,1982,362,25347,44
2121,50969,,1973,365,10853,1
2122,50969,,1974,288,7649,2
2123,50969,,1975,345,8889,3
2124,50969,,1976,366,6925,4
2125,50969,,1977,365,8992,5
2126,50969,,1978,365,7210,6
2127,50969,,1979,343,7110,7
2128,50969,,1980,361,6060,8
2129,50969,,1981,362,6740,9
2130,50969,,1982,350,5910,10
2131,50969,,1983,193,3362,11
2132,50969,,1984,339,6192,12
2133,50969,,1985,0,0,13
2134,50969,,1986,0,0,14
2135,50972,,1971,30,413,1
2136,50972,,1972,366,6202,2
2137,50972,,1973,326,4238,3
2138,50972,,1974,288,3307,4
2139,50972,,1975,344,4031,5
2140,50972,,1976,288,3101,6
2141,50972,,1977,364,4031,7
2142,50972,,1978,365,3890,8
2143,50972,,1979,365,3390,9
2144,50972,,1980,362,3170,10
2145,50972,,1981,331,3740,11
2146,50972,,1982,361,2820,12
2147,50972,,1983,194,1976,13
2148,50972,,1984,343,3022,14
2149,50985,GAS,1951,346,8239,1
2150,50985,GAS,1952,361,9664,2
2151,50985,GAS,1953,357,9603,3
2152,50985,GAS,1954,355,10005,4
2153,50985,GAS,1955,363,9635,5
2154,50985,GAS,1956,360,9898,6
2155,50985,GAS,1957,363,9910,7
2156,50985,GAS,1958,367,10563,8
2157,50985,GAS,1959,363,10501,9
2158,50985,GAS,1960,363,11014,10
2159,50985,GAS,1961,363,9915,11
2160,50985,GAS,1962,363,10503,12
2161,50985,GAS,1963,359,11475,13
2162,50985,GAS,1964,359,10939,14
2163,50985,GAS,1965,201,6926,15
2164,50985,GAS,1966,362,7634,16
2165,50985,GAS,1967,365,7917,17
2166,50985,GAS,1968,362,7965,18
2167,50985,GAS,1969,361,8599,19
2168,50985,GAS,1970,362,8364,20
2169,50985,GAS,1971,365,8777,21
2170,50985,GAS,1972,320,7538,22
2171,50985,GAS,1973,361,9548,23
2172,50985,GAS,1974,347,6354,24
2173,50985,GAS,1975,339,7367,25
2174,50985,GAS,1976,333,7110,26
2175,50985,GAS,1977,336,9250,27
2176,50985,GAS,1978,327,9239,28
2177,50985,GAS,1979,324,8741,29
2178,50985,GAS,1980,318,8109,30
2179,51259,GAS,1937,363,30308,1
2180,51259,GAS,1938,208,21561,2
2181,51259,GAS,1939,275,8759,3
2182,51259,GAS,1940,363,19477,4
2183,51259,GAS,1941,178,7031,5
2184,51259,GAS,1942,363,11208,6
2185,51259,GAS,1943,361,11216,7
2186,51259,GAS,1944,363,14848,8
2187,51259,GAS,1945,364,33526,9
2188,51259,GAS,1946,363,39874,10
2189,51259,GAS,1947,364,17207,11
2190,51259,GAS,1948,362,14250,12
2191,51259,GAS,1949,362,11067,13
2192,51259,GAS,1950,362,10968,14
2193,51259,GAS,1951,368,10054,15
2194,51259,GAS,1952,360,11163,16
2195,51259,GAS,1953,362,9358,17
2196,51259,GAS,1954,360,8811,18
2197,51259,GAS,1955,355,10859,19
2198,51259,GAS,1956,358,23115,20
2199,51259,GAS,1957,348,12304,21
2200,51259,GAS,1958,352,8343,22
2201,51259,GAS,1959,354,9467,23
2202,51259,GAS,1960,362,9784,24
2203,51259,GAS,1961,344,6802,25
2204,51259,GAS,1962,317,8662,26
2205,51259,GAS,1963,369,8093,27
2206,51259,GAS,1964,348,7297,28
2207,51259,GAS,1965,323,6951,29
2208,51259,GAS,1966,367,5809,30
2209,51259,GAS,1967,304,4904,31
2210,51259,GAS,1968,327,4566,32
2211,51259,GAS,1969,362,7840,33
2212,51259,GAS,1970,357,6018,34
2213,51259,GAS,1971,363,7537,35
2214,51259,GAS,1972,362,6517,36
2215,51259,GAS,1973,364,7153,37
2216,51259,GAS,1974,359,7147,38
2217,51259,GAS,1975,367,6025,39
2218,51259,GAS,1976,361,7036,40
