,ngram,company,value
537,credit_file,SYNCHRONY FINANCIAL,6
538,year_ago,SYNCHRONY FINANCIAL,10
539,say_would,SYNCHRONY FINANCIAL,8
540,debt_collection,SYNCHRONY FINANCIAL,4
541,mortgage_company,SYNCHRONY FINANCIAL,1
542,debt_collector,SYNCHRONY FINANCIAL,7
543,collect_debt,SYNCHRONY FINANCIAL,5
544,receive_call,SYNCHRONY FINANCIAL,13
545,try_get,SYNCHRONY FINANCIAL,6
546,short_sale,SYNCHRONY FINANCIAL,0
547,information_credit,SYNCHRONY FINANCIAL,10
548,day_late,SYNCHRONY FINANCIAL,10
549,us_bank,SYNCHRONY FINANCIAL,1
