,County,County Code,Year,Year Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
2294,Columbia County, AR,05027,2007,2007,,24847,,,,,,
2295,Columbia County, AR,05027,2008,2008,,24666,,,,,,
2296,Columbia County, AR,05027,2009,2009,,24622,,,,,,
2297,Columbia County, AR,05027,2010,2010,,24552,,,,,,
2298,Columbia County, AR,05027,2011,2011,,24696,,,,,,
2299,Columbia County, AR,05027,2012,2012,,24429,,,,,,
2300,Columbia County, AR,05027,2013,2013,,24294,,,,,,
2301,Columbia County, AR,05027,2014,2014,,24078,,,,,,
2302,Columbia County, AR,05027,2015,2015,,24140,,,,,,
2303,Columbia County, AR,05027,2016,2016,,23901,,,,,,
2304,Conway County, AR,05029,1999,1999,,20275,,,,,,
2305,Conway County, AR,05029,2000,2000,,20336,,,,,,
2306,Conway County, AR,05029,2001,2001,,20362,,,,,,
2307,Conway County, AR,05029,2002,2002,,20366,,,,,,
2308,Conway County, AR,05029,2003,2003,,20461,,,,,,
2309,Conway County, AR,05029,2004,2004,,20519,,,,,,
2310,Conway County, AR,05029,2005,2005,,20683,,,,,,
2311,Conway County, AR,05029,2006,2006,,20753,,,,,,
2312,Conway County, AR,05029,2007,2007,,20992,,,,,,
2313,Conway County, AR,05029,2008,2008,,21025,,,,,,
2314,Conway County, AR,05029,2009,2009,,21257,,,,,,
2315,Conway County, AR,05029,2010,2010,,21273,,,,,,
2316,Conway County, AR,05029,2011,2011,,21146,,,,,,
2317,Conway County, AR,05029,2012,2012,,21205,,,,,,
2318,Conway County, AR,05029,2013,2013,,21145,,,,,,
2319,Conway County, AR,05029,2014,2014,,21019,,,,,,
2320,Conway County, AR,05029,2015,2015,,20994,,,,,,
2321,Conway County, AR,05029,2016,2016,,20937,,,,,,
2322,Craighead County, AR,05031,1999,1999,,81038,,,,,,
2323,Craighead County, AR,05031,2000,2000,,82148,,,,,,
2324,Craighead County, AR,05031,2001,2001,,83276,,,,,,
2325,Craighead County, AR,05031,2002,2002,,83978,,,,,,
2326,Craighead County, AR,05031,2003,2003,,85000,,,,,,
2327,Craighead County, AR,05031,2004,2004,,86331,,,,,,
2328,Craighead County, AR,05031,2005,2005,,87512,,,,,,
2329,Craighead County, AR,05031,2006,2006,13,89725,14.5 (Unreliable),7.7,24.8,14.5 (Unreliable),7.7,24.8
2330,Craighead County, AR,05031,2007,2007,,91350,,,,,,
2331,Craighead County, AR,05031,2008,2008,17,93316,18.2 (Unreliable),10.6,29.2,20.1 (Unreliable),11.7,32.1
2332,Craighead County, AR,05031,2009,2009,20,95482,20.9,12.8,32.3,21.8,13.3,33.7
2333,Craighead County, AR,05031,2010,2010,13,96443,13.5 (Unreliable),7.2,23.1,14.7 (Unreliable),7.8,25.1
2334,Craighead County, AR,05031,2011,2011,13,98371,13.2 (Unreliable),7.0,22.6,14.9 (Unreliable),7.9,25.5
2335,Craighead County, AR,05031,2012,2012,10,99948,10.0 (Unreliable),4.8,18.4,9.6 (Unreliable),4.6,17.7
2336,Craighead County, AR,05031,2013,2013,19,101654,18.7 (Unreliable),11.3,29.2,19.5 (Unreliable),11.5,30.8
2337,Craighead County, AR,05031,2014,2014,,102621,,,,,,
2338,Craighead County, AR,05031,2015,2015,14,104362,13.4 (Unreliable),7.3,22.5,14.6 (Unreliable),8.0,24.5
2339,Craighead County, AR,05031,2016,2016,,105835,,,,,,
2340,Crawford County, AR,05033,1999,1999,,52708,,,,,,
2341,Crawford County, AR,05033,2000,2000,,53247,,,,,,
2342,Crawford County, AR,05033,2001,2001,,54273,,,,,,
2343,Crawford County, AR,05033,2002,2002,,55026,,,,,,
2344,Crawford County, AR,05033,2003,2003,,55836,,,,,,
2345,Crawford County, AR,05033,2004,2004,,56832,,,,,,
2346,Crawford County, AR,05033,2005,2005,11,57779,19.0 (Unreliable),9.5,34.1,20.2 (Unreliable),10.1,36.2
2347,Crawford County, AR,05033,2006,2006,,59126,,,,,,
2348,Crawford County, AR,05033,2007,2007,14,60210,23.3 (Unreliable),12.7,39.0,24.6 (Unreliable),13.4,41.3
2349,Crawford County, AR,05033,2008,2008,12,60933,19.7 (Unreliable),10.2,34.4,21.4 (Unreliable),11.1,37.4
2350,Crawford County, AR,05033,2009,2009,19,61595,30.8 (Unreliable),18.6,48.2,32.2 (Unreliable),19.4,50.3
2351,Crawford County, AR,05033,2010,2010,13,61948,21.0 (Unreliable),11.2,35.9,22.8 (Unreliable),12.2,39.1
2352,Crawford County, AR,05033,2011,2011,19,61829,30.7 (Unreliable),18.5,48.0,33.0 (Unreliable),19.6,52.2
2353,Crawford County, AR,05033,2012,2012,,61940,,,,,,
2354,Crawford County, AR,05033,2013,2013,12,61696,19.5 (Unreliable),10.1,34.0,19.9 (Unreliable),9.9,35.6
2355,Crawford County, AR,05033,2014,2014,10,61840,16.2 (Unreliable),7.8,29.7,16.3 (Unreliable),7.5,31.0
2356,Crawford County, AR,05033,2015,2015,12,61894,19.4 (Unreliable),10.0,33.9,20.0 (Unreliable),10.0,35.8
2357,Crawford County, AR,05033,2016,2016,10,62267,16.1 (Unreliable),7.7,29.5,15.0 (Unreliable),7.2,27.7
2358,Crittenden County, AR,05035,1999,1999,,50530,,,,,,
2359,Crittenden County, AR,05035,2000,2000,,50866,,,,,,
2360,Crittenden County, AR,05035,2001,2001,,50919,,,,,,
2361,Crittenden County, AR,05035,2002,2002,,50622,,,,,,
2362,Crittenden County, AR,05035,2003,2003,,50252,,,,,,
2363,Crittenden County, AR,05035,2004,2004,,50266,,,,,,
2364,Crittenden County, AR,05035,2005,2005,,50244,,,,,,
2365,Crittenden County, AR,05035,2006,2006,,50360,,,,,,
2366,Crittenden County, AR,05035,2007,2007,,50438,,,,,,
2367,Crittenden County, AR,05035,2008,2008,,50699,,,,,,
2368,Crittenden County, AR,05035,2009,2009,,50929,,,,,,
2369,Crittenden County, AR,05035,2010,2010,,50902,,,,,,
2370,Crittenden County, AR,05035,2011,2011,,50520,,,,,,
2371,Crittenden County, AR,05035,2012,2012,,50065,,,,,,
2372,Crittenden County, AR,05035,2013,2013,,49730,,,,,,
2373,Crittenden County, AR,05035,2014,2014,,49538,,,,,,
2374,Crittenden County, AR,05035,2015,2015,,48985,,,,,,
2375,Crittenden County, AR,05035,2016,2016,,49235,,,,,,
2376,Cross County, AR,05037,1999,1999,,19589,,,,,,
2377,Cross County, AR,05037,2000,2000,,19526,,,,,,
2378,Cross County, AR,05037,2001,2001,,19382,,,,,,
2379,Cross County, AR,05037,2002,2002,,19106,,,,,,
2380,Cross County, AR,05037,2003,2003,,18896,,,,,,
2381,Cross County, AR,05037,2004,2004,,18782,,,,,,
2382,Cross County, AR,05037,2005,2005,,18883,,,,,,
2383,Cross County, AR,05037,2006,2006,,18525,,,,,,
2384,Cross County, AR,05037,2007,2007,,18172,,,,,,
2385,Cross County, AR,05037,2008,2008,,18200,,,,,,
2386,Cross County, AR,05037,2009,2009,,17971,,,,,,
2387,Cross County, AR,05037,2010,2010,,17870,,,,,,
2388,Cross County, AR,05037,2011,2011,,17746,,,,,,
2389,Cross County, AR,05037,2012,2012,,17651,,,,,,
2390,Cross County, AR,05037,2013,2013,,17492,,,,,,
2391,Cross County, AR,05037,2014,2014,,17182,,,,,,
2392,Cross County, AR,05037,2015,2015,,17282,,,,,,
2393,Cross County, AR,05037,2016,2016,,17037,,,,,,
2394,Dallas County, AR,05039,1999,1999,,9272,,,,,,
2395,Dallas County, AR,05039,2000,2000,,9210,,,,,,
2396,Dallas County, AR,05039,2001,2001,,9005,,,,,,
2397,Dallas County, AR,05039,2002,2002,,8826,,,,,,
2398,Dallas County, AR,05039,2003,2003,,8740,,,,,,
2399,Dallas County, AR,05039,2004,2004,,8740,,,,,,
2400,Dallas County, AR,05039,2005,2005,,8589,,,,,,
2401,Dallas County, AR,05039,2006,2006,,8477,,,,,,
2402,Dallas County, AR,05039,2007,2007,,8367,,,,,,
2403,Dallas County, AR,05039,2008,2008,,8282,,,,,,
2404,Dallas County, AR,05039,2009,2009,,8188,,,,,,
2405,Dallas County, AR,05039,2010,2010,,8116,,,,,,
2406,Dallas County, AR,05039,2011,2011,,8078,,,,,,
2407,Dallas County, AR,05039,2012,2012,,7979,,,,,,
2408,Dallas County, AR,05039,2013,2013,,7922,,,,,,
2409,Dallas County, AR,05039,2014,2014,,7735,,,,,,
2410,Dallas County, AR,05039,2015,2015,,7583,,,,,,
2411,Dallas County, AR,05039,2016,2016,,7469,,,,,,
2412,Desha County, AR,05041,1999,1999,,15351,,,,,,
2413,Desha County, AR,05041,2000,2000,,15341,,,,,,
2414,Desha County, AR,05041,2001,2001,,14958,,,,,,
2415,Desha County, AR,05041,2002,2002,,14583,,,,,,
2416,Desha County, AR,05041,2003,2003,,14405,,,,,,
2417,Desha County, AR,05041,2004,2004,,14270,,,,,,
2418,Desha County, AR,05041,2005,2005,,13992,,,,,,
2419,Desha County, AR,05041,2006,2006,,13870,,,,,,
2420,Desha County, AR,05041,2007,2007,,13523,,,,,,
2421,Desha County, AR,05041,2008,2008,,13273,,,,,,
2422,Desha County, AR,05041,2009,2009,,13108,,,,,,
2423,Desha County, AR,05041,2010,2010,,13008,,,,,,
2424,Desha County, AR,05041,2011,2011,,12709,,,,,,
2425,Desha County, AR,05041,2012,2012,,12575,,,,,,
2426,Desha County, AR,05041,2013,2013,,12467,,,,,,
2427,Desha County, AR,05041,2014,2014,,12245,,,,,,
2428,Desha County, AR,05041,2015,2015,,12007,,,,,,
2429,Desha County, AR,05041,2016,2016,,11876,,,,,,
2430,Drew County, AR,05043,1999,1999,,18683,,,,,,
2431,Drew County, AR,05043,2000,2000,,18723,,,,,,
2432,Drew County, AR,05043,2001,2001,,18660,,,,,,
2433,Drew County, AR,05043,2002,2002,,18410,,,,,,
2434,Drew County, AR,05043,2003,2003,,18537,,,,,,
2435,Drew County, AR,05043,2004,2004,,18595,,,,,,
2436,Drew County, AR,05043,2005,2005,,18618,,,,,,
2437,Drew County, AR,05043,2006,2006,,18705,,,,,,
2438,Drew County, AR,05043,2007,2007,,18535,,,,,,
2439,Drew County, AR,05043,2008,2008,,18481,,,,,,
2440,Drew County, AR,05043,2009,2009,,18495,,,,,,
2441,Drew County, AR,05043,2010,2010,,18509,,,,,,
2442,Drew County, AR,05043,2011,2011,,18721,,,,,,
2443,Drew County, AR,05043,2012,2012,,18762,,,,,,
2444,Drew County, AR,05043,2013,2013,,18682,,,,,,
2445,Drew County, AR,05043,2014,2014,,18669,,,,,,
2446,Drew County, AR,05043,2015,2015,,18675,,,,,,
2447,Drew County, AR,05043,2016,2016,,18651,,,,,,
2448,Faulkner County, AR,05045,1999,1999,,84633,,,,,,
2449,Faulkner County, AR,05045,2000,2000,,86014,,,,,,
2450,Faulkner County, AR,05045,2001,2001,,88830,,,,,,
2451,Faulkner County, AR,05045,2002,2002,,90624,,,,,,
2452,Faulkner County, AR,05045,2003,2003,,93618,,,,,,
2453,Faulkner County, AR,05045,2004,2004,,96162,,,,,,
2454,Faulkner County, AR,05045,2005,2005,,99192,,,,,,
2455,Faulkner County, AR,05045,2006,2006,11,102969,10.7 (Unreliable),5.3,19.1,11.2 (Unreliable),5.4,20.7
2456,Faulkner County, AR,05045,2007,2007,10,105637,9.5 (Unreliable),4.5,17.4,10.3 (Unreliable),4.9,18.9
2457,Faulkner County, AR,05045,2008,2008,15,108477,13.8 (Unreliable),7.7,22.8,13.9 (Unreliable),7.8,22.8
2458,Faulkner County, AR,05045,2009,2009,13,110813,11.7 (Unreliable),6.2,20.1,13.0 (Unreliable),6.9,22.2
2459,Faulkner County, AR,05045,2010,2010,16,113237,14.1 (Unreliable),8.1,22.9,14.6 (Unreliable),8.2,24.0
2460,Faulkner County, AR,05045,2011,2011,14,116297,12.0 (Unreliable),6.6,20.2,12.6 (Unreliable),6.9,21.1
2461,Faulkner County, AR,05045,2012,2012,15,118534,12.7 (Unreliable),7.1,20.9,13.0 (Unreliable),7.1,21.8
2462,Faulkner County, AR,05045,2013,2013,,119299,,,,,,
2463,Faulkner County, AR,05045,2014,2014,16,120683,13.3 (Unreliable),7.6,21.5,13.7 (Unreliable),7.8,22.3
2464,Faulkner County, AR,05045,2015,2015,10,121343,8.2 (Unreliable),4.0,15.2,9.2 (Unreliable),4.4,16.9
2465,Faulkner County, AR,05045,2016,2016,15,122227,12.3 (Unreliable),6.9,20.2,14.1 (Unreliable),7.7,23.6
2466,Franklin County, AR,05047,1999,1999,,17779,,,,,,
2467,Franklin County, AR,05047,2000,2000,,17771,,,,,,
2468,Franklin County, AR,05047,2001,2001,,17830,,,,,,
2469,Franklin County, AR,05047,2002,2002,,17856,,,,,,
2470,Franklin County, AR,05047,2003,2003,,17913,,,,,,
2471,Franklin County, AR,05047,2004,2004,,17955,,,,,,
2472,Franklin County, AR,05047,2005,2005,,18073,,,,,,
2473,Franklin County, AR,05047,2006,2006,,18151,,,,,,
2474,Franklin County, AR,05047,2007,2007,,18237,,,,,,
2475,Franklin County, AR,05047,2008,2008,,18229,,,,,,
2476,Franklin County, AR,05047,2009,2009,,18145,,,,,,
2477,Franklin County, AR,05047,2010,2010,,18125,,,,,,
2478,Franklin County, AR,05047,2011,2011,,18002,,,,,,
2479,Franklin County, AR,05047,2012,2012,,17957,,,,,,
2480,Franklin County, AR,05047,2013,2013,,17934,,,,,,
2481,Franklin County, AR,05047,2014,2014,,17767,,,,,,
2482,Franklin County, AR,05047,2015,2015,,17709,,,,,,
2483,Franklin County, AR,05047,2016,2016,,17626,,,,,,
2484,Fulton County, AR,05049,1999,1999,,11519,,,,,,
2485,Fulton County, AR,05049,2000,2000,,11642,,,,,,
2486,Fulton County, AR,05049,2001,2001,,11676,,,,,,
2487,Fulton County, AR,05049,2002,2002,,11737,,,,,,
2488,Fulton County, AR,05049,2003,2003,,11831,,,,,,
2489,Fulton County, AR,05049,2004,2004,,12079,,,,,,
2490,Fulton County, AR,05049,2005,2005,,12127,,,,,,
2491,Fulton County, AR,05049,2006,2006,,12119,,,,,,
2492,Fulton County, AR,05049,2007,2007,,12354,,,,,,
2493,Fulton County, AR,05049,2008,2008,,12382,,,,,,
2494,Fulton County, AR,05049,2009,2009,,12231,,,,,,
2495,Fulton County, AR,05049,2010,2010,,12245,,,,,,
2496,Fulton County, AR,05049,2011,2011,,12296,,,,,,
2497,Fulton County, AR,05049,2012,2012,,12246,,,,,,
2498,Fulton County, AR,05049,2013,2013,,12243,,,,,,
2499,Fulton County, AR,05049,2014,2014,,12130,,,,,,
2500,Fulton County, AR,05049,2015,2015,,12188,,,,,,
2501,Fulton County, AR,05049,2016,2016,,12123,,,,,,
2502,Garland County, AR,05051,1999,1999,,87177,,,,,,
2503,Garland County, AR,05051,2000,2000,,88068,,,,,,
2504,Garland County, AR,05051,2001,2001,13,89032,14.6 (Unreliable),7.8,25.0,17.5 (Unreliable),9.3,30.0
2505,Garland County, AR,05051,2002,2002,,89630,,,,,,
2506,Garland County, AR,05051,2003,2003,11,90483,12.2 (Unreliable),6.1,21.8,14.2 (Unreliable),7.1,25.5
2507,Garland County, AR,05051,2004,2004,10,91084,11.0 (Unreliable),5.3,20.2,11.0 (Unreliable),5.1,21.0
2508,Garland County, AR,05051,2005,2005,14,92096,15.2 (Unreliable),8.3,25.5,15.5 (Unreliable),8.3,26.5
2509,Garland County, AR,05051,2006,2006,16,94077,17.0 (Unreliable),9.7,27.6,17.8 (Unreliable),10.0,29.3
2510,Garland County, AR,05051,2007,2007,22,94753,23.2,14.6,35.2,24.1,14.7,37.3
2511,Garland County, AR,05051,2008,2008,23,95636,24.0,15.2,36.1,25.7,16.1,38.9
2512,Garland County, AR,05051,2009,2009,19,95840,19.8 (Unreliable),11.9,31.0,19.4 (Unreliable),11.5,30.6
2513,Garland County, AR,05051,2010,2010,28,96024,29.2,19.4,42.1,27.7,18.0,40.9
2514,Garland County, AR,05051,2011,2011,21,96617,21.7,13.5,33.2,24.1,14.7,37.2
2515,Garland County, AR,05051,2012,2012,24,96794,24.8,15.9,36.9,25.9,16.0,39.6
2516,Garland County, AR,05051,2013,2013,22,96986,22.7,14.2,34.3,21.4,13.0,33.0
2517,Garland County, AR,05051,2014,2014,26,97183,26.8,17.5,39.2,31.1,19.9,46.2
2518,Garland County, AR,05051,2015,2015,26,97154,26.8,17.5,39.2,28.5,18.1,42.8
2519,Garland County, AR,05051,2016,2016,23,97477,23.6,15.0,35.4,24.7,15.3,37.8
2520,Grant County, AR,05053,1999,1999,,16312,,,,,,
2521,Grant County, AR,05053,2000,2000,,16464,,,,,,
2522,Grant County, AR,05053,2001,2001,,16608,,,,,,
2523,Grant County, AR,05053,2002,2002,,16637,,,,,,
2524,Grant County, AR,05053,2003,2003,,16731,,,,,,
2525,Grant County, AR,05053,2004,2004,,17026,,,,,,
2526,Grant County, AR,05053,2005,2005,,17244,,,,,,
2527,Grant County, AR,05053,2006,2006,,17442,,,,,,
2528,Grant County, AR,05053,2007,2007,,17483,,,,,,
2529,Grant County, AR,05053,2008,2008,,17718,,,,,,
2530,Grant County, AR,05053,2009,2009,,17751,,,,,,
2531,Grant County, AR,05053,2010,2010,,17853,,,,,,
2532,Grant County, AR,05053,2011,2011,,17954,,,,,,
2533,Grant County, AR,05053,2012,2012,,18026,,,,,,
2534,Grant County, AR,05053,2013,2013,,18035,,,,,,
2535,Grant County, AR,05053,2014,2014,,18059,,,,,,
2536,Grant County, AR,05053,2015,2015,,18030,,,,,,
2537,Grant County, AR,05053,2016,2016,,18082,,,,,,
2538,Greene County, AR,05055,1999,1999,,36881,,,,,,
2539,Greene County, AR,05055,2000,2000,,37331,,,,,,
2540,Greene County, AR,05055,2001,2001,,37934,,,,,,
2541,Greene County, AR,05055,2002,2002,,38229,,,,,,
2542,Greene County, AR,05055,2003,2003,,38604,,,,,,
2543,Greene County, AR,05055,2004,2004,,39046,,,,,,
2544,Greene County, AR,05055,2005,2005,11,39599,27.8 (Unreliable),13.9,49.7,28.8 (Unreliable),14.4,51.6
2545,Greene County, AR,05055,2006,2006,,40469,,,,,,
2546,Greene County, AR,05055,2007,2007,,40918,,,,,,
2547,Greene County, AR,05055,2008,2008,,41286,,,,,,
2548,Greene County, AR,05055,2009,2009,,41723,,,,,,
2549,Greene County, AR,05055,2010,2010,,42090,,,,,,
2550,Greene County, AR,05055,2011,2011,,42732,,,,,,
2551,Greene County, AR,05055,2012,2012,,43166,,,,,,
2552,Greene County, AR,05055,2013,2013,,43078,,,,,,
2553,Greene County, AR,05055,2014,2014,,43717,,,,,,
2554,Greene County, AR,05055,2015,2015,10,44167,22.6 (Unreliable),10.9,41.6,23.2 (Unreliable),11.1,42.7
2555,Greene County, AR,05055,2016,2016,,44598,,,,,,
2556,Hempstead County, AR,05057,1999,1999,,23536,,,,,,
2557,Hempstead County, AR,05057,2000,2000,,23587,,,,,,
2558,Hempstead County, AR,05057,2001,2001,,23318,,,,,,
2559,Hempstead County, AR,05057,2002,2002,,23199,,,,,,
2560,Hempstead County, AR,05057,2003,2003,,23090,,,,,,
2561,Hempstead County, AR,05057,2004,2004,,22971,,,,,,
2562,Hempstead County, AR,05057,2005,2005,,22924,,,,,,
2563,Hempstead County, AR,05057,2006,2006,,22957,,,,,,
2564,Hempstead County, AR,05057,2007,2007,,22918,,,,,,
2565,Hempstead County, AR,05057,2008,2008,,22624,,,,,,
2566,Hempstead County, AR,05057,2009,2009,,22615,,,,,,
2567,Hempstead County, AR,05057,2010,2010,,22609,,,,,,
2568,Hempstead County, AR,05057,2011,2011,,22507,,,,,,
2569,Hempstead County, AR,05057,2012,2012,,22346,,,,,,
2570,Hempstead County, AR,05057,2013,2013,,22392,,,,,,
2571,Hempstead County, AR,05057,2014,2014,,22289,,,,,,
2572,Hempstead County, AR,05057,2015,2015,,22038,,,,,,
2573,Hempstead County, AR,05057,2016,2016,,21974,,,,,,
2574,Hot Spring County, AR,05059,1999,1999,,30155,,,,,,
2575,Hot Spring County, AR,05059,2000,2000,,30353,,,,,,
2576,Hot Spring County, AR,05059,2001,2001,,30615,,,,,,
2577,Hot Spring County, AR,05059,2002,2002,,30877,,,,,,
2578,Hot Spring County, AR,05059,2003,2003,,30821,,,,,,
2579,Hot Spring County, AR,05059,2004,2004,,31071,,,,,,
2580,Hot Spring County, AR,05059,2005,2005,,31565,,,,,,
2581,Hot Spring County, AR,05059,2006,2006,,32248,,,,,,
2582,Hot Spring County, AR,05059,2007,2007,,32631,,,,,,
2583,Hot Spring County, AR,05059,2008,2008,,32737,,,,,,
2584,Hot Spring County, AR,05059,2009,2009,,32797,,,,,,
2585,Hot Spring County, AR,05059,2010,2010,,32923,,,,,,
2586,Hot Spring County, AR,05059,2011,2011,,33115,,,,,,
2587,Hot Spring County, AR,05059,2012,2012,,33457,,,,,,
2588,Hot Spring County, AR,05059,2013,2013,,33495,,,,,,
2589,Hot Spring County, AR,05059,2014,2014,,33389,,,,,,
2590,Hot Spring County, AR,05059,2015,2015,,33483,,,,,,
2591,Hot Spring County, AR,05059,2016,2016,,33374,,,,,,
2592,Howard County, AR,05061,1999,1999,,14371,,,,,,
2593,Howard County, AR,05061,2000,2000,,14300,,,,,,
2594,Howard County, AR,05061,2001,2001,,14146,,,,,,
2595,Howard County, AR,05061,2002,2002,,14070,,,,,,
2596,Howard County, AR,05061,2003,2003,,14098,,,,,,
2597,Howard County, AR,05061,2004,2004,,13991,,,,,,
2598,Howard County, AR,05061,2005,2005,,14025,,,,,,
2599,Howard County, AR,05061,2006,2006,,13843,,,,,,
2600,Howard County, AR,05061,2007,2007,,13680,,,,,,
2601,Howard County, AR,05061,2008,2008,,13804,,,,,,
2602,Howard County, AR,05061,2009,2009,,13741,,,,,,
2603,Howard County, AR,05061,2010,2010,,13789,,,,,,
2604,Howard County, AR,05061,2011,2011,,13821,,,,,,
2605,Howard County, AR,05061,2012,2012,,13693,,,,,,
2606,Howard County, AR,05061,2013,2013,,13527,,,,,,
2607,Howard County, AR,05061,2014,2014,,13488,,,,,,
2608,Howard County, AR,05061,2015,2015,,13350,,,,,,
2609,Howard County, AR,05061,2016,2016,,13377,,,,,,
2610,Independence County, AR,05063,1999,1999,,33951,,,,,,
2611,Independence County, AR,05063,2000,2000,,34233,,,,,,
2612,Independence County, AR,05063,2001,2001,,34374,,,,,,
2613,Independence County, AR,05063,2002,2002,,34512,,,,,,
2614,Independence County, AR,05063,2003,2003,,34652,,,,,,
2615,Independence County, AR,05063,2004,2004,,34989,,,,,,
2616,Independence County, AR,05063,2005,2005,,35155,,,,,,
2617,Independence County, AR,05063,2006,2006,,35426,,,,,,
2618,Independence County, AR,05063,2007,2007,,35690,,,,,,
2619,Independence County, AR,05063,2008,2008,,35859,,,,,,
2620,Independence County, AR,05063,2009,2009,,36259,,,,,,
2621,Independence County, AR,05063,2010,2010,,36647,,,,,,
2622,Independence County, AR,05063,2011,2011,,36831,,,,,,
2623,Independence County, AR,05063,2012,2012,,36925,,,,,,
2624,Independence County, AR,05063,2013,2013,,36873,,,,,,
2625,Independence County, AR,05063,2014,2014,,37113,,,,,,
2626,Independence County, AR,05063,2015,2015,,37073,,,,,,
2627,Independence County, AR,05063,2016,2016,,37168,,,,,,
2628,Izard County, AR,05065,1999,1999,,13145,,,,,,
2629,Izard County, AR,05065,2000,2000,,13249,,,,,,
2630,Izard County, AR,05065,2001,2001,,13289,,,,,,
2631,Izard County, AR,05065,2002,2002,,13273,,,,,,
2632,Izard County, AR,05065,2003,2003,,13467,,,,,,
2633,Izard County, AR,05065,2004,2004,,13512,,,,,,
2634,Izard County, AR,05065,2005,2005,,13524,,,,,,
2635,Izard County, AR,05065,2006,2006,,13583,,,,,,
2636,Izard County, AR,05065,2007,2007,,13552,,,,,,
2637,Izard County, AR,05065,2008,2008,,13681,,,,,,
2638,Izard County, AR,05065,2009,2009,,13679,,,,,,
2639,Izard County, AR,05065,2010,2010,,13696,,,,,,
2640,Izard County, AR,05065,2011,2011,,13579,,,,,,
2641,Izard County, AR,05065,2012,2012,,13522,,,,,,
2642,Izard County, AR,05065,2013,2013,,13386,,,,,,
2643,Izard County, AR,05065,2014,2014,,13508,,,,,,
2644,Izard County, AR,05065,2015,2015,,13454,,,,,,
2645,Izard County, AR,05065,2016,2016,,13433,,,,,,
2646,Jackson County, AR,05067,1999,1999,,18617,,,,,,
2647,Jackson County, AR,05067,2000,2000,,18418,,,,,,
2648,Jackson County, AR,05067,2001,2001,,18029,,,,,,
2649,Jackson County, AR,05067,2002,2002,,18054,,,,,,
2650,Jackson County, AR,05067,2003,2003,,17914,,,,,,
2651,Jackson County, AR,05067,2004,2004,,18159,,,,,,
2652,Jackson County, AR,05067,2005,2005,,18269,,,,,,
2653,Jackson County, AR,05067,2006,2006,,18092,,,,,,
2654,Jackson County, AR,05067,2007,2007,,18098,,,,,,
2655,Jackson County, AR,05067,2008,2008,,17966,,,,,,
2656,Jackson County, AR,05067,2009,2009,,17945,,,,,,
2657,Jackson County, AR,05067,2010,2010,,17997,,,,,,
2658,Jackson County, AR,05067,2011,2011,,17854,,,,,,
2659,Jackson County, AR,05067,2012,2012,,17649,,,,,,
2660,Jackson County, AR,05067,2013,2013,,17690,,,,,,
2661,Jackson County, AR,05067,2014,2014,,17565,,,,,,
2662,Jackson County, AR,05067,2015,2015,,17350,,,,,,
2663,Jackson County, AR,05067,2016,2016,,17221,,,,,,
2664,Jefferson County, AR,05069,1999,1999,,84178,,,,,,
2665,Jefferson County, AR,05069,2000,2000,,84278,,,,,,
2666,Jefferson County, AR,05069,2001,2001,,83322,,,,,,
2667,Jefferson County, AR,05069,2002,2002,,82760,,,,,,
2668,Jefferson County, AR,05069,2003,2003,,82193,,,,,,
2669,Jefferson County, AR,05069,2004,2004,,81455,,,,,,
2670,Jefferson County, AR,05069,2005,2005,,80562,,,,,,
2671,Jefferson County, AR,05069,2006,2006,,79977,,,,,,
2672,Jefferson County, AR,05069,2007,2007,,78788,,,,,,
2673,Jefferson County, AR,05069,2008,2008,,78354,,,,,,
2674,Jefferson County, AR,05069,2009,2009,,77759,,,,,,
2675,Jefferson County, AR,05069,2010,2010,,77435,,,,,,
2676,Jefferson County, AR,05069,2011,2011,,76033,,,,,,
2677,Jefferson County, AR,05069,2012,2012,,74618,,,,,,
2678,Jefferson County, AR,05069,2013,2013,,73150,,,,,,
2679,Jefferson County, AR,05069,2014,2014,,72376,,,,,,
2680,Jefferson County, AR,05069,2015,2015,10,71764,13.9 (Unreliable),6.7,25.6,15.0 (Unreliable),6.9,28.5
2681,Jefferson County, AR,05069,2016,2016,,70016,,,,,,
2682,Johnson County, AR,05071,1999,1999,,22656,,,,,,
2683,Johnson County, AR,05071,2000,2000,,22781,,,,,,
2684,Johnson County, AR,05071,2001,2001,,22977,,,,,,
2685,Johnson County, AR,05071,2002,2002,,23293,,,,,,
2686,Johnson County, AR,05071,2003,2003,,23587,,,,,,
2687,Johnson County, AR,05071,2004,2004,,23850,,,,,,
2688,Johnson County, AR,05071,2005,2005,,24173,,,,,,
2689,Johnson County, AR,05071,2006,2006,,24596,,,,,,
2690,Johnson County, AR,05071,2007,2007,,25109,,,,,,
2691,Johnson County, AR,05071,2008,2008,,25236,,,,,,
2692,Johnson County, AR,05071,2009,2009,,25374,,,,,,
2693,Johnson County, AR,05071,2010,2010,,25540,,,,,,
2694,Johnson County, AR,05071,2011,2011,,25692,,,,,,
2695,Johnson County, AR,05071,2012,2012,,25911,,,,,,
2696,Johnson County, AR,05071,2013,2013,,25896,,,,,,
2697,Johnson County, AR,05071,2014,2014,,25998,,,,,,
2698,Johnson County, AR,05071,2015,2015,,26146,,,,,,
